年,月,日,標題,內容,報社
2021,4,28,瑞莎攜女拍廣告 與男躺床有障礙,瑞莎出席寢具代言活動。圖╱3M提供 瑞莎愛女Nika 。圖╱3M提供 張文綺和張媽媽一起出席活動。圖╱時代創藝提供 瑞莎愛女Nika 。圖╱3M提供 名模瑞莎與鞋業小開Mike結婚6年，育有4歲女兒Nika，她首次和女兒合體代言寢具，母女倆拍廣告時趣事一籮筐，笑言女兒平常很有表演欲，「感覺都可以得奧斯卡了！」但拍攝時，因必須與一男模躺在床上，營造家庭氣氛，女兒竟「罷工」半小時，十分排斥地說：「我不認識他！我不要跟他上床！」讓瑞莎哭笑不得。嫁作台灣媳婦，瑞莎自認個性保守，老公反而比較像美國人，在性格互補下，經過磨合，彼此愈來愈像，如何維持異國婚？她和老公約定每周五將孩子交給長輩帶，夫妻一起去看電影、吃飯，享受專屬於夫妻的共有時間，是否生二寶？她笑稱的確有在想，但一切隨緣，倒是女兒一直想要有個玩伴。而張文綺日前出席調理機一日店長的活動。母親節將近，張文綺說打算送調理機給媽媽當禮物。另外張文綺還提前一個月就跟公司告假，將帶爸媽前往澎湖渡假，同時也邀請了許多好友家人齊聚。,聯合報
2020,2,11,瘟疫的三張臉 資深媒體人專欄,法國作家卡繆在《瘟疫》這本寫於1947年的小說中，描寫了阿爾及利亞一個名為奧蘭的城市發生了一場突如其來的瘟疫，而後奧蘭被封城，沒有人能夠自由進出。瘟疫帶來了死亡。哥倫比亞作家馬奎斯在1985年出版《愛在瘟疫蔓延時》，書中的男女主角阿里薩與費米娜，歷經一場嚴重的瘟疫，陰錯陽差，51年9個月又4天後重逢。愛情穿越了瘟疫。在剛拿下第92屆奧斯卡金像獎最佳影片、最佳國際電影、最佳導演與最佳原創劇本4項大獎的南韓導演奉俊昊的電影《寄生上流》裡，也有一種瘟疫─貧窮的味道，揮之不去且正在蔓延。卡繆藉著因為鼠疫而被封鎖的奧蘭城，描繪各種人性的表現：宣告鼠疫是上帝對奧蘭居民的懲罰的神父；嘗試非法逃離封城的記者；投身抗疫第一線的醫生；還有一個「眾人皆苦我獨樂」的無業遊民，封城前他因犯罪，每天都擔心被抓去坐牢，封城後沒有人有空再管他了，因為此時人人都活在無盡的擔驚受怕中。《愛在瘟疫蔓延時》裡的費米娜和阿里薩在年少時就相遇且私訂終生，但因為一場瘟疫，費米娜認識了前途更好的醫生，在父親極力撮合下，她嫁給醫生。50多年婚姻生活裡幸與不幸參半。費米娜的醫生丈夫過世後，終身未婚的阿里薩再次告白。經歷波折，兩人決定搭船同遊散心，不料又遇到瘟疫，沒有港口准許這艘船靠岸，於是76歲的阿里薩和72歲的費米娜這對遲暮的戀人，就被迫待在船上。船一直在海上航行，一直航行下去…阿里薩終於得以和費米娜偕手永恆。《寄生上流》裡有意藉著假裝學歷等，混入有錢人家的窮人一家人，本來有著堪稱完美的計畫，卻因窮人生活裡長久累積的一種窮酸氣味飄出而被識破身分。《寄生上流》在台灣上演時的廣告詞是：「比怪物更駭人的是人性。」為了能過上流的生活，不惜說謊、瞞騙、愚弄他人，甚至自我催眠。這是人性。但這樣的人性可怕嗎？或許卡繆並不這麼認為。在他看來，人類窮盡一切努力想要活下來的欲望，既非善也非惡，只是一種與荒繆對抗的行動。如同《薛西弗斯的神話》裡，那個天天推石上山、第2天石頭又會滾下的薛西弗斯。卡繆說，人生唯一的真理就是「思考人生是否值得活下去並給予肯定的答案後」，即使知道最後必會面臨死亡，一切終會一筆勾消，但仍願意把握當下生命。因此在《瘟疫》這部小說裡，沒有壞人也沒有英雄，為了活下來，使盡詐術的人不是什麼十惡不赦的人，而救人的醫生所做的一切也無關乎英雄主義，只是一種對抗瘟疫的方法。在瘟疫中，每個人所能做的就是盡本分，然後直視死亡、對抗死亡。這樣的生命態度雖有某種積極性，卻經不起終極的叩問：對抗之後呢？人類真的能夠在「一切都沒有意義，沒有永恆且無善也無惡」之中安身立命、無怨無悔的力竭而終嗎？不過，或許《寄生上流》裡的金家一家人，可以試著用力攀住卡繆的《瘟疫》吧！這樣他們肯定會更踏實些。但更令人羨慕的其實是阿里薩與費米娜。他們的愛情，敗也瘟疫、成也瘟疫，令人心碎卻也懷抱希望。愛、恨、嗔、癡方是人生滋味。 ,中國時報
2019,3,6,楊紫瓊飛巴黎挺夏姿 秋冬深情「鑲守」優雅充滿運動感,才剛擔任完奧斯卡頒獎人，楊紫瓊接著飛往巴黎，力挺好友王陳彩霞在東京宮舉辦的2019 SHIATZY CHEN（夏姿．陳）秋冬時裝大秀。楊紫瓊多次在大型紅毯穿上品牌禮服，她認為這次新品既女性化又充滿運動感，「很多女孩子會很開心，因為不需要穿高跟鞋就能展現女性優雅。」SHIATZY CHEN本季概念為「鑲守」，以苗族背兒帶（母親背負孩子所用的包布）與傳說中的龍頭魚身、鳳凰、生命之花、九個太陽等神話圖騰為意象，讓外套有太陽紋車格、裙裝多了潮流飾帶、連身小帽上飛有立體蝴蝶刺繡，並有釘珠、蕾絲拼接在金屬紗線營與獨家開版布料上創造繁複層次。鞋履設計上，SHIATZY CHEN呼應苗族神話中的「遷徙」文化，將邁步移動的想法發展出皮革軍靴、運動短靴、過膝長靴等各式靴型，流露年輕奔放的運動節奏。 ,中國時報
2019,3,2,【流行消費】庫柏獻唱小金人 捐錶關心視障兒,布萊德利‧庫柏與女神卡卡在奧斯卡頒獎典禮上深情對唱，並將當日佩戴的IWC大型飛行員腕錶捐出拍賣。布萊德利‧庫柏自2018年成為IWC品牌大使。難得的是，布萊德利‧庫柏與IWC決定將這款腕錶投入慈善，由拍賣行「蘇富比」進行拍賣，收益全數捐予IWC合作夥伴、聖艾修伯里青少年基金會（The Fondation Antoine De Saint-Exupéry For Youth），用以支持法國尼斯的「Arrimage」協會，幫助該慈善組織教育視障兒童透過觸覺感知繪畫。這款腕錶採用午夜藍錶盤搭配18K 5N金錶殼，搭載51111型自製機芯。 ,自由時報
2019,3,1,Kelly Talk：女神卡卡大膽善變 唯一專情TUDOR,相對於舞台上的多變造型，女神卡卡腕間只鍾情TUDOR碧灣Black Bay系列錶款。Black Bay 36錶款，36mm精鋼錶殼，搭載2824型自動上鍊機芯。8萬2500元Black Bay面盤染藍女神卡卡在舞台上有著超乎想像的多變造型，私下也喜歡透過配件來塑造個人形象，甚至還曾在時尚大片中，同時一手配戴3枚錶款入鏡，彰顯我行我素、不與人同的特色。可經典、可誇張的女神卡卡，亦鍾愛呼應她個人品味的TUDOR碧灣Black Bay系列，這枚汲取1950年代品牌潛水錶為靈感的錶款，將「雪花」指針、圓形時標等復古元素，清晰呈現於蔚藍錶盤之上，而錶冠鐫刻之玫瑰圖騰，則彰顯了品牌的光榮歷史，貼心推出的32或36mm小巧錶徑，更讓手腕纖細的佩戴者們，同時兼具優雅及運動風采。,蘋果日報
2017,3,3,186獎 《月光男孩》所向披靡,《月光下的藍色男孩》拿下今年奧斯卡最佳影片、男配角、改編劇本３項大獎，橫掃全球影壇186項獎項，片中３位男演員艾力克斯希伯特（Alex R. Hibbert）、阿什頓山德斯（Ashton Sanders）、崔範坦羅德（Trevante Rhodes）聲勢飆漲，和最佳男配角馬赫夏拉阿里（Mahershala Ali，左圖）為時尚內褲品牌Calvin Klein代言，搖身成為性感內褲男模。電影３日在台上映。 ,中國時報
2017,3,4,男星酷帥必備 表情更添丰采,男星傑瑞米雷納配戴蕭邦表出席本屆奧斯卡頒獎典禮。達米恩查澤雷配戴積家超薄大師系列腕表玫瑰金款勇奪第89屆奧斯卡最佳導演獎。休傑克曼配戴萬寶龍TimeWalker時光行者系列兩地時間腕表出席電影「羅根」首映會。 好萊塢男星征戰各電影首映會或頒獎典禮的紅毯，除了襯托挺拔外型的正裝，若能再搭配一只好表，更能為「衣」Q加分。不妨來看看最近從奧斯卡盛會、到台灣的電影首映會，各男星如何展現正裝「表」情。本屆奧斯卡頒獎典禮甫落幕，得獎結果創下不少紀錄。其中，「樂來越愛你」的導演達米恩查澤雷（Damien Chazelle）以該片拿下最佳導演獎，成為奧斯卡史上最年輕得獎導演。在此之前，他已獲今年美國導演工會獎（DGA）頒發最佳導演獎，才華洋溢令人稱道。奧斯卡頒獎當天，達米恩配戴積家（Jaeger Le-Coultre）的Master Grande Ultra Thin Small Second超薄大師系列腕表，與手上的小金人相輝映。達米恩與積家結緣可以回溯至去年威尼斯影展，積家是威尼斯影展的合作夥伴，達米恩去年隨「樂來越愛你」參展時，也佩戴積家超薄大師系列月相表出席開幕式。曾主持過奧斯卡頒獎典禮的「金鋼狼」休傑克曼（Hugh Jackman），今年剛好在頒獎典禮期間，為新片「羅根」訪台造勢。身為萬寶龍（Montlbanc）代言人的他，自是善盡職責、表不離身。首映會當天他佩戴萬寶龍TimeWalker時光行者系列兩地時間表出席，與灰色西裝相得益彰，帥氣十足。「鷹眼」傑瑞米雷納(Jeremy Renner) 今年參與演出的「異星入境」，今年獲奧斯卡八項提名，他當天亦應邀出席。傑瑞米當天選擇佩戴蕭邦（Chopard）的L.U.C 1937 Classic timepiece精鋼腕表，銀灰色表盤搭配黑色皮表帶，巧襯托他一身黑白色調的西裝，搶眼奪目。,聯合報
2017,2,27,樂來越愛你,《樂來樂愛你》電影海報。 「音樂片」（Musical）向來是好萊塢強項的「類型電影」（Genre）之一，1950到1960年代更是顛峰時期。不過之後儘管偶有佳作，但整體而言，它的黃金時代就跟安真一樣，是回不去了。入圍2016年第89屆奧斯卡14項大獎的《樂來越愛你》（La La Land），算是好萊塢音槃片在沉寂許之後的奮起一擊。《樂來越愛你》描述一名落魄爵士鋼琴手來到洛杉磯，邂逅夢想成名的小咖女演員，當他們逐漸邁向成功時，愛情卻面臨考驗。 這是一個「老哏」。故事「原型」（Architype）是1937年的《巨星的誕生》（A Star is Born），之後被一再重拍，最有名的音樂片版本是1954年喬治寇克（George Cukor）導演的《星海浮沉錄》（A Star is Born）。男女主角分別是詹姆士梅遜（James Mason）與裘蒂迦倫（Judy Garland）。1976年時，芭芭拉史翠珊拍了一個搖滾版，這部影片台灣上映過，當時譯名是《星夢淚痕》。國片也很愛這個題材，1979年宋存壽導演、胡慧中、張國柱主演的《我歌我泣》，說的也是類似的故事。La La Land 原意「做白日夢」《樂來越愛你》的中文片名玩的是中文同音異字的遊戲，英文片名玩的則是雙關語。La La Land意指「神遊太虛之境」，白話就是：「在做白日夢」（the mental state of someone who is not aware of what is really happening） 。例句：It sounds like he was in lala land.（聽起來他當時似乎正在「夢遊」）。La La Land 洛杉磯的暱稱「做白日夢」（Daydreaming）這個主題跟影片的「夢想」主題和音樂片呈現的情境是脗合的。這是英文片名指涉的第一層意思。第二層意思：La La Land是南加州大城、「好萊塢夢工廠」所在地洛杉磯（Los Angeles）的暱稱，正好也是《樂來越愛你》故事發生的場景。歌劇美聲唱法 屬於古典音樂補充一點，可能是受了《歌劇魅影》（The Phantom of the Opera）影響的關係，現在還是有些人對「歌劇」（Opera）跟「音樂劇」（Musical）傻傻分不清楚。前者起源於17世紀，屬於古典音樂的一部分，特色是歌者都使用美聲唱法，很多時候只是站著唱，動作幅度比較小。音樂劇非美聲 百老匯集大成「音樂劇」亦稱「歌舞劇」，重鎮是20世紀美國的百老匯（Broadway），特色是非美聲唱法，內容有說有唱也有舞蹈。「音樂劇」形式的電影即是「音樂片」，兩者的英文都是Musical。安德魯洛伊韋伯（Andrew Lloyd Webber）1986年推出的音樂劇《歌聲魅影》， 原作是法國作家卡斯頓勒胡（Gaston Louis Alfred Leroux）的同名小說Le Fantome de l'Opera。法語中，Opera同時可指「歌劇」與「歌劇院」。由於故事舞台是19世紀時的巴黎歌劇院（Opera de Paris），書名╱劇名又有Opera一字，所以才會引起混淆。事實上，韋伯版的《歌劇魅影》，是以「音樂劇」的形式來敘述一個跟歌劇有關的故事。,聯合報
2016,3,4,德系列電影登台 謊言迷宮打頭陣,德系列電影登台 謊言迷宮打頭陣打進本屆奧斯卡外語片9強的德國電影《謊言迷宮》，講述德國於戰後內審納粹戰犯、震驚全世界的「法蘭克福大審判」來由始末，將於18日在台上映。片商也將在今年推出一系列德國電影，包括《探戈情未了》、《決命十三分鐘》、《攻佔羅浮宮》、《我出去一下》、《24週》、《來自福島的問候》等。《謊言迷宮》中，年輕檢察官約翰萊德曼發揮正義感，展開調查一段關於納粹集中營的秘辛，但竟意外發現其女友瑪蓮汪卓  的父親也有涉案之嫌，為兩人戀情帶來變數。 ,自由時報
2016,3,1,傑克啵蘿絲世紀合體   粉絲嗨翻,李奧納多狄卡皮歐李奧納多狄卡皮歐與凱特溫絲蕾19年前曾合作電影《鐵達尼號》結為好友，多年來兩人在影壇各自發展精采，但溫絲蕾7年前就以《為愛朗讀》奪奧斯卡影后，所以一直替李奧納多著急。這對超經典的銀幕情侶，昨天在紅毯上就開心問候，進入會場又擁抱打氣，李奧納多一聽到自己得獎了，第一時間轉向溫絲蕾擁抱、獻吻，溫絲蕾也大方回抱，兩人一路相惜，感情超好，也讓當年《鐵達尼號》的粉絲嗨翻了，看到「傑克、蘿絲」合體直呼感動！ ,自由時報
