keyword,count
影后,223
黑色,109
紅毯,287
服裝,68
珠寶,189
現身,61
造型,80
女星,268
鑽石,138
禮服,514
復古,33
搭配,173
金色,56
耳環,155
時尚,99
訂製服,44
蕭邦,36
項鍊,85
訂製,53
