年,月,日,標題,內容,報社
2017,2,28,藍絲帶成話題配件 星光大道 上演宮廷劇,延續川普當選效應，今年奧斯卡紅毯眾星除展現時尚品味，也得玩點政治手腕，《愛侶》入圍最佳女主角的蘿絲奈格打頭砲，一襲火紅蕾絲Valentino訂製禮服，左胸前藍色絲帶代表響應美國公民自由聯盟（ACLU）對推行自由權利運動的支持，而《月光下的藍色男孩》導演巴瑞賈金斯及名模Karlie Kloss等人也一同共襄盛舉，讓藍絲帶成為話題時尚配件。今年紅毯禮服宮廷感濃厚，從多數人選擇的束腰蓬裙輪廓，到亮片刺繡、流蘇、蕾絲等裝飾細節，均是女星用來營造戲劇張力的手法，而利用長袖設計平衡透膚、裹身突顯線條性感，也成了鋪陳優雅感的方式之一，再加上多數人選穿的金黃、銀白等貴族色調，可謂完整演活一部宮廷大戲。天后鬥法 比優雅尬氣場本屆天后們都不愛現，多以小露香肩、鎖骨的方式彰顯不經意也能鎮住全場的氣質；年初一起出現Armani Prive高訂秀場的妮可基嫚及伊莎貝雨蓓，均選穿品牌禮服出席紅毯，雨蓓一襲銀色亮片長袖禮服現身，亮片點綴的長裙如瀑布般散落於腳邊，格外襯出優雅韻味。久未見面的荷莉貝瑞則選Versace禮服端出非裔女王架式，宛若群星點綴於裙擺的銀色流蘇搭配捲捲頭，浪漫且狂野。紅毯資優生的潔西卡貝兒，一身Kaufman Franco金色亮片訂製服配上誇張Tiffany項鍊霸氣十足，加上一旁像老公賈斯汀搞怪入鏡，順利從群美中突圍。公主小心機 若隱若現誘人面對后級前輩夾擊，公主們則若隱若現嶄露心機，鳳凰女姪女艾瑪羅勃茲一件骨董Armani Prive大方解放上身性感曲線；參與《月光下的藍色男孩》、《關鍵少數》的賈奈兒夢內，出其不意以Elie Saab公主風大蓬裙亮相，恪守黑白原則，紗質上衣利用飛鳥金銀亮片圖騰點綴並將細節延伸至裙襬上，可謂本屆最養眼的裝束之一；而英國演員費莉絲蒂瓊斯則走清新仙女風，如同芭蕾舞衣輪廓的百褶紗裙，帶出Dior最新創意總監領導下的夢幻柔美。 ,中國時報
2017,2,28,王子耍帥 要點浪漫不正經,向來都以深色當道的奧斯卡男星正裝，本季除了菲董力挺愛牌香奈兒外，傑米道南的一件白色愛馬仕正裝搭黑西褲的雙色組合在紅毯上頗為吸睛，若再配上《格雷的五十道陰影》中總裁給人印象深刻的壞壞氣質，本屆白馬王子寶座非他莫屬；而對出席典禮服裝只求得體不太要求花樣的萊恩葛斯林，雖然角逐影帝獎項失意，但一身愛牌Gucci黑色絲瓜領西裝內搭前襟抓皺處裡的白襯衫，完美詮釋浪漫不羈的文藝風。 ,中國時報
2017,2,28,152公尺 奧斯卡紅地毯,奧斯卡頒獎典禮今年邁入第89屆，能踏上奧斯卡紅地毯，是許多明星一輩子的夢想。但究竟紅地毯有多長？根據官方公布數字，奧斯卡紅毯約長152公尺，寬10公尺。而舉辦頒獎典禮的杜比劇院，則可容納3401人共襄盛舉。 ,中國時報
2017,2,28,史上最年輕金獎導演 達米恩查澤雷 連看首映都怯場,達米恩查澤雷（Damien Chazelle）靠歌舞片《樂來越愛你》拿下第89屆奧斯卡最佳導演，32歲的達米恩刷新奧斯卡獎紀錄，成為史上最年輕的導演得主，比1931年的諾曼陶羅格（Norman Taurog）還年輕221天。畢業作品成試金石達米恩年紀輕輕就成就非凡，除了自小熱愛看電影，最重要的是他遇上人生中的摯友，也是工作夥伴的賈斯汀赫維玆（Justin Hurwitz）。賈斯汀也是《樂》團隊之一，以〈星光之城〉拿下最佳原創歌曲獎。「我們很早就知道，對方是可以分享熱愛電影那份情懷的人。」兩人是大學同學，大三那年決定合拍爵士樂作品《公園長凳上的蓋伊和艾德琳》作為畢業作品，達米恩回憶：「著手前我問賈斯汀願不願意幫電影做音樂，如果他拒絕，我可能就不拍了，也可能永遠都不會碰任何歌舞片。」於是，那部成本僅６萬美元（約185萬台幣）的作業，替今年的奧斯卡大贏家《樂來越愛你》埋下種子。佩服因應得宜演員達米恩自小熱愛音樂，高中時迷上爵士鼓，最多１天可狂練８小時，不過他非常怯場，因此阻礙了他的音樂生涯。「我無法在人群前表演，以及應付表演伴隨而來的恐懼感。」他不僅執導演筒會緊張，就連與觀眾一起看試映也會，他說：「所以我很敬佩那些因應得宜的演員。」。 ,中國時報
2017,2,28,2份得獎名單防意外 百密一疏,奧斯卡開票、統計作業工程浩大，每年都會將選票寄送「資誠聯合會計師事務所（PwC）」進行人工計票，由事務所的員工在不公開的祕密地點逐張計算。今年的計票團隊隊長布萊恩庫利南（Brian Cullinan）表示：「我們向來都會有兩個一模一樣的公事箱，裡面有兩份完整的得獎名單，分別護送到會場。」必須要有兩個公事箱，是因為難測的洛杉磯交通狀況，在警方的保護下，兩個公事箱會走不同路線前往頒獎典禮所在的杜比劇院，減低遲到會場的可能。PwC昨會後對今年的烏龍事件發出聲明坦承疏失，向《月光下的藍色男孩》、《樂來越愛你》、頒獎人及觀眾致歉：「頒獎人被給予了錯誤的獎項信封…我們正在調查出錯原因。」負責運送公事箱的兩人，也是世上唯二事前知道奧斯卡得主的人，他們只可背下所有得獎人名單，不得以書面方式記錄，避免名單外流。頒獎時兩人分別在舞台兩側監控，全程在後台盯著典禮流程，如發生「給錯獎」狀況，會馬上通知工作人員中斷頒獎並做緊急反應。其實奧斯卡上「給錯獎」並非第一次，1964年頒獎人小山米戴維斯（Sammy Davis Jr.）在頒發最佳音樂改編獎時，卻拿到最佳原創音樂獎的信封。1993年頒獎人傑克帕蘭斯（Jack Palance）在念出女配角得主為瑪麗莎托梅（Marissa Tomei）時有些遲疑與口誤，導致外界盛傳其實托梅並非真正得主，但當年頒獎並未被中斷，也間接洗刷她長達24年的汙名。 ,中國時報
2017,2,28,3048座 小金人比例完美,奧斯卡頒獎典禮自1929年５月16日首辦以來，迄今（不包括2017年）共頒出了3048座小金人。為了讓得獎者拿得更順手，小金人高約34.3公分、重3.85公斤，比例都是經過精心計量而出。 ,中國時報
2017,2,28,最佳影片變最大烏龍 奧斯卡大贏家《樂來越愛你》空歡喜,第89屆奧斯卡金像獎頒獎典禮（89th Academy Awards）在台灣時間27日上午9點30分於洛杉磯杜比劇院舉行，脫口秀主持人吉米基默（Jimmy Kimmel）主持。典禮高潮、頒發最大獎「最佳影片」時，出了奧斯卡史上最大烏龍！最佳影片得獎者應是《月光下的藍色男孩》，但頒獎人華倫比提（Warren Beatty）與費唐娜薇（Faye Dunaway）公布的卻是《樂來越愛你》！《樂》片一票人員開心衝上台，致詞到一半卻硬是突然被打斷，製片喬丹霍洛維茲（Jordan Horowitz）尷尬向台下宣布：「出了一點錯…《月光下的藍色男孩》才是最佳影片，這不是開玩笑。」現場嘩然一片。今年男主角由班亞佛列克（Ben Affleck，小班）的弟弟，凱西亞佛列克（Casey Affleck）以《海邊的曼徹斯特》拿下，他一上台就先感謝被他視為啟蒙者、也是今年男主角入圍者的丹佐華盛頓（Denzel Washington），除特別感謝導演肯尼斯洛勒根（Kenneth Lonergan）外，把演出機會讓給他的監製麥特戴蒙（Matt Damon）當然也沒忘記。凱西亞佛列克入戲他在片中飾演為逃避過去，住在波士頓的一名水電工，因哥哥意外逝世，讓他不得不回到位在麻州的傷心地「曼徹斯特海邊」，並成為姪子的法定監護人。他一方面要應付兩代間的溝通隔閡，另一方面還要面對擁有新家庭的前妻，他壓抑在絕望邊緣的悲傷情緒，及收放起伏內斂的演出，渲染力極強。艾瑪擊敗資深強敵艾瑪史東（Emma Stone）在《樂來越愛你》飾演努力不懈追求星夢的小演員，道盡所有演員的心聲。28歲的她不負眾望拿下最佳女主角，華麗擊敗梅莉史翠普（Meryl Streep，梅姨）、法國影后伊莎貝雨蓓（Isabelle Huppert）等資深強敵，她謙虛向其他入圍者致敬：「與妳們並列已是我的榮幸，能獲獎更是我最大的榮譽。」她也不忘將她一手捧上影后的導演達米恩查澤雷（Damien Chazelle），「感謝達米恩給我這機會。」今年大贏家是《樂來越愛你》，該片平了奧斯卡入圍14項的紀錄，最後僅抱回最佳導演、女主角、美術設計、攝影、原創配樂、原創歌曲等6獎，無緣超越1959年《賓漢》、1997年《鐵達尼號》和2003年《魔戒三部曲：王者再臨》締造的11獎紀錄。（相關新聞刊B1～B4、星光紅毯新聞請見C1、C2）。 ,中國時報
2017,2,28,89億台幣 丹佐華盛頓13年進帳驚人,或許未如預期，靠《藩籬》以演員工會獎得主的氣勢，上演王者歸來的奪獎大戲，最後還是將奧斯卡影帝讓給《海邊的曼徹斯特》的凱西亞佛列克（Casey Affleck），但丹佐雖敗猶榮，據《富比士》統計，他在13年間入帳高達2.9億美金（約89億台幣），早已是本屆所有入圍者中的印鈔帝王。,中國時報
2017,2,28,頒獎人華倫比提 「信封上寫艾瑪史東」,今年奧斯卡頒獎典禮跌破眾人眼鏡，竟然發生「給錯獎」這等烏龍事。當時79歲的資深影星華倫比提（Warren Beatty）與76歲的費唐娜薇（Faye Dunaway）壓軸頒發最佳影片獎，比提打開信封後交給唐娜薇念出，事後比提解釋：「我打開信封，看到卡片上寫的是《樂來越愛你》和艾瑪史東（Emma Stone）。」沒想到真正得主應是《月光下的藍色男孩》，認為是工作人員給錯信封。而艾瑪在後台卻說，自己上台後就一直把她的得獎卡拿在手上，語氣保留說：「我不清楚到底發生什麼事。」兩位頒獎人成為「頭號嫌犯」，唐娜薇被追問時低調閃避：「我不會談論這件事。」被質疑故弄玄虛的比提在會後派對上無辜地說：「大家以為我故意賣關子，但我真的沒有，我發現有問題就拿給唐娜薇看，她只好照念。」事發後兩人都很緊張，唐娜薇還問他：「我們惹禍了嗎？」美國晨間節目《早安美國》將影片局部放大，證明當時比提手上拿的確實是「最佳女主角」信封，並非最佳影片。為什麼會有2個「最佳女主角」信封？其實奧斯卡每年都會替每個獎項準備2個信封，以防止任何意外的可能；但究竟怎麼會發生給錯信封的天大差錯，真相仍是個羅生門。 ,中國時報
2017,2,28,3次 戴維絲創非裔女星入圍紀錄,大家都熟知梅莉史翠普（Meryl Streep）以幾乎每年一次的步伐，不斷更新奧斯卡入圍次數最多的影史紀錄，本屆靠《走音天后》將紀錄拉抬到20次的高門檻。但今年終於以《藩籬》奪下最佳女配角獎的薇拉戴維絲（Viola Davis），也以３度入圍的次數，創下非裔女演員的影史紀錄，懸殊的差距或許可看出少數族裔在好萊塢最高殿堂面臨的挑戰。 ,中國時報
