publish_date,title,content,press
2012/03/03,【流行消費】〈小金人新科影帝〉尚杜賈丹演技錶現棒 紅毯聚焦,奧斯卡影帝尚杜賈丹（右）與妻子亞歷山德拉米皆配戴積家錶出席奧斯卡盛會。（Jaeger-LeCoultre提供）記者方惠宗／台北報導尚杜賈丹以「大藝術家」於今年奧斯卡獎稱帝。在這個別具意義的場合，除了穿著正式黑色禮服與漆亮皮鞋，讓人好奇他的袖釦之下隱藏那一種「錶」情？他選擇積家（Jaeger-LeCoultre）深海計時腕錶出席典禮。奧斯卡頒獎典禮前夕，尚杜賈丹與他的法籍影星妻子亞歷山德拉米一同現身於比佛利山莊四季飯店。尚杜賈丹露出袖口之下的積家Memovox Tribute to Deep Sea腕錶，這是世界上第一款鬧鈴潛水錶的復刻錶款。請繼續往下閱讀...積家於1959年推出的Memovox Deep Sea是全球第一款配有鬧鈴的潛水錶，以鈴聲提醒潛水員返回水面的時間。這款完整復刻的Memovox Tribute to Deep Sea是一追本溯源之作，搭載積家956 型自動機芯，是收藏家所好。亞歷山德拉米同樣選擇積家錶出席奧斯卡典禮，她當天佩戴積家1960年的復刻鑽石珠寶錶亮相紅毯。      不用抽 不用搶 現在用APP看新聞 保證天天中獎    點我下載APP    按我看活動辦法,自由時報
2012/03/02,法式香頌風情　怪獸在巴黎原聲帶搖滾上市,《怪獸在巴黎》主題曲《La Seine And I》，流露法式香頌搖滾風情，一舉攀上法國流行單曲榜TOP9，今天起也在台上市。（圖由環球提供）〔本報訊〕法國名導盧貝松監製、《鯊魚黑幫》導演Bibo Bergeron執導的《怪獸在巴黎》，在法國上映時就創下票房佳績，由法國影歌雙棲女星Vanessa Paradis與Sean Lennon合唱主題曲《La Seine And I》，流露法式香頌搖滾風情，一舉攀上法國流行單曲榜TOP9，今天起也在台上市。《怪獸在巴黎》原聲帶飄盪著法式香頌風情，洋溢著爵士即興風采，搖擺著法式酒吧音樂情韻，瀰漫著古典音樂的風雅，由Vanessa Paradis與Sean Lennon合唱的主題曲《La Seine And I》，更在熱情搖擺的唱作中流露法式香頌搖滾的魅力。電影音樂與歌曲由音樂家Patrice Renson與擔任怪獸配音的搖滾歌手-M-共同創作。-M-是一位融合法式搖滾與放克的創作歌手，生涯累積拿下8座法國音樂獎，2004年以動畫片《佳麗村三姊妹》主題曲《Belleville Rendez-Vous》獲得奧斯卡「最佳電影歌曲」提名，2007年以電影《沉默獵殺》的原創音樂勇奪法國凱薩電影音樂獎。請繼續往下閱讀...-M-跟Patrice曾經與Vanessa Paradis合作過多張專輯，-M-同時也是Vanessa巡迴演唱會的吉他手，且-M-曾經為Sean Lennon 2007年的專輯《Friendly Fire》跨刀。Vanessa Paradis在配音之餘，同時身兼歌曲演唱，至於怪獸這個角色的演唱部分則是交由John Lennon的兒子Sean Lennon擔綱。《怪獸在巴黎》，2011年10月於法國上映後，連續5週位居票房排行榜前10名。劇情時空背景設在1910年代，塞納河氾濫成災，巴黎市區一片汪洋，唯獨蒙馬特一帶的酒吧依舊夜夜笙歌，年輕美麗的露西兒是駐唱歌手，某天，露西兒的發明家好友勞爾誤觸植物園研究室的裝置，發生爆炸，1隻人形怪獸跑出研究室，之後，露西兒與怪獸不期而遇，露西兒發現怪獸擁有一副好歌喉，兩人結為好友，由於警長全面緝捕怪獸，露西兒與怪獸的感情遭遇挑戰。      不用抽 不用搶 現在用APP看新聞 保證天天中獎    點我下載APP    按我看活動辦法,自由時報
2012/03/02,金球加持　溫莎公爵的情人電影原聲帶在台上市,瑪丹娜2度執導的電影《溫莎公爵的情人》，電影原聲帶今起正式在台發行。（圖由環球提供）〔本報訊〕「流行天后」瑪丹娜2度執導的電影《溫莎公爵的情人》，不但拿下2012年奧斯卡「最佳服裝設計」，由瑪丹娜演唱的抒情主題曲《Masterpiece》，更是打敗艾爾頓強，榮獲2012年金球獎「最佳原創電影主題曲」大獎，電影原聲帶今起正式在台發行。瑪丹娜籌拍本片期間迷上《摯愛無盡》電影原聲帶，喜歡該片交織著甜蜜與辛酸、充滿心碎美感的動人音樂，經Gucci品牌時尚設計家出身的導演Tom Ford引薦下，邀請曾以該片入圍金球獎「最佳原創電影音樂」項目的波蘭音樂家Abel Korzeniowski擔任本片的音樂創作任務。Abel在2000年自波蘭前衛古典和歌劇音樂家Krzysztof Penderecki在音樂學院所開設的作曲班畢業，2004年為1927年經典默片《大都會》編寫音樂而深獲矚目。Abel在本片與60人編制的管弦樂團合作，以管弦樂配搭鋼琴、中提琴、豎琴與電吉他，同時以古典與現代兩種樂曲編寫風格呼應電影中不同的時空背景，進而在情感濃烈的旋律流動中投射出這段超乎理性的愛戀關係背後的喜悅與悲傷。請繼續往下閱讀...《溫莎公爵的情人》劇情敘述，婚姻生活不順遂的紐約女子瓦莉挖掘溫莎公爵在30年代放棄王位，與美國離婚女子瓦莉絲相戀的故事，進而串起跨越60年時空的2個女子的愛情故事。      不用抽 不用搶 現在用APP看新聞 保證天天中獎    點我下載APP    按我看活動辦法,自由時報
2012/03/02,娜歐蜜扮黛妃 求梅姨調教 － 怕惹火保守英國皇室 尋求威廉哈利支持,娜歐蜜華茲將在新片飾演黛安娜王妃，是演藝生涯的一大挑戰，她還請梅莉史翠普傳授演技。（路透）記者蔡伯杰／綜合報導「鐵娘子：堅固柔情」奪奧斯卡獎，好萊塢也掀起一陣英倫熱，下一位登上大銀幕的英國名人是黛安娜王妃，這位備受愛戴的話題人物將由澳洲女星娜歐蜜華茲飾演，她擔心演不好，趕緊向「梅姨」梅莉史翠普求救，請影后傳授演技！導演西斯貝格 曾入圍奧斯卡黛安娜王妃在1997年發生車禍、意外身亡，年僅36歲就香消玉殞，全球一片震驚。如今片商看好黛安娜王妃的魅力及傳奇性，準備開拍她的傳記電影「Caught In Flight」，並請來德國導演奧利佛西斯貝格執導，由「金剛」女星娜歐蜜擔綱演出這位不朽的英國皇室美女。奧利佛西斯貝格以前的作品「帝國毀滅」曾入圍2005年奧斯卡最佳外語片，由他來掌鏡，寫實精緻的電影風格令人期待。請繼續往下閱讀...想請威廉兄弟分享內幕 有難度娜歐蜜接下黛妃的角色，壓力非常大，因為黛妃不只是英國人心目中的偶像，也是全球關注的傳奇人物。娜歐蜜深怕自己演不好，轉而向梅姨求助，希望經過奧斯卡影后的調教，自己也能將黛妃詮釋得唯妙唯肖。不過將黛妃的故事搬上大銀幕，可能會惹毛保守的英國皇室。據內情人士透露，娜歐蜜雖然想請威廉、哈利王子兩兄弟分享母親的故事，不過這似乎很難實現。娜歐蜜退而求其次，現在只想取得兩兄弟的認可，請他們祝福此片。      不用抽 不用搶 現在用APP看新聞 保證天天中獎    點我下載APP    按我看活動辦法,自由時報
2012/03/01,揮別乖乖女　艾瑪新戲演竊賊,以哈利波特電影妙麗一角紅遍全球的艾瑪華特森（左2），新戲將飾演竊賊，告別過去乖乖女形像。（路透社）［本報訊］揮別妙麗一角，艾瑪華特森（Emma Watson）接演新戲《金光閃閃的戒指》（The Bling Ring），飾演一名貪戀名利的洛杉磯竊賊，盼透過這個角色，擺脫過去哈利波特電影中的乖乖女形象。艾瑪華特森新片將和女導演蘇菲亞柯波拉合作，扮演愛慕虛榮的竊賊。（法新社）艾瑪的新電影將與《愛情，不用翻譯》、《凡爾賽拜金女》的女導演蘇菲亞柯波拉（Sofia Coppola）合作。2003年曾以《愛情，不用翻譯》一片拿下奧斯卡最佳劇本獎的蘇菲亞柯波拉，前年也以《迷失某地》（Somewhere）贏得威尼斯電影節最佳電影金獅獎。這次，蘇菲亞柯波拉決定改編真實事件，拍攝一群愛慕虛榮的年輕竊賊，闖入洛杉磯名人家中行竊的故事。「他將啟發我們對當前社會的看法」該片製片表示。請繼續往下閱讀...自從完成哈利波特系列電影工作後，艾瑪曾接演《和瑪莉蓮的週末》（My Week With Marilyn）服裝助理的小角色，並獨立在美國完成學業。片約不斷的她，下一部電影也已確定接演《你的聲音在我腦裡》（Your Voice in My Head）。和她共事的導演，剛好是合作多年的老同事－哈利波特電影導演大衛耶茲（David Yates）。      不用抽 不用搶 現在用APP看新聞 保證天天中獎    點我下載APP    按我看活動辦法,自由時報
2012/03/01,新科影帝返法 瘋狂接機掀暴動,尚杜賈丹帶著小金人獎座回到法國，媒體與粉絲擠爆機場歡迎法國首位奧斯卡影帝，現場混亂猶如暴動。尚杜賈丹被擠到臉都歪了，還要努力維持笑容。幫忙維持秩序的警察與保鑣也被人潮推著走。瑪莉詠柯蒂亞在2008年以「玫瑰人生」成為第一位贏得奧斯卡影后的法國女星，之後就留在好萊塢發展。尚杜賈丹並不打算留在好萊塢發展，他說：「我是法國演員，會繼續留在法國。除非我能在美國拍默片，那我會很樂意。」（文／鄒念祖 ）      不用抽 不用搶 現在用APP看新聞 保證天天中獎    點我下載APP    按我看活動辦法,自由時報
2012/03/01,49歲阿湯哥回春 凍齡有術,49歲的湯姆克魯斯在奧斯卡典禮亮相，看起來只有30出頭，讓大家非常驚歎。（路透）記者鄒念祖／綜合報導「阿湯哥」湯姆克魯斯頒發今年奧斯卡最佳影片獎，大家最好奇的不是得獎者是誰，而是49歲的阿湯哥如何讓自己回春的？大家都猜到他一定是去整型，但看起來又很自然。主持人比利克里斯托在開場時還捏了他的臉，看起來彈性十足。網友虧他像「班傑明的奇幻旅程」一樣越活越年輕，再過幾年就會變成嬰兒。3D聚左旋乳酸造蘋果肌根據經常在msnbc.com發表意見的美國整型醫生安東尼楊分析，阿湯哥應該做了多種療程才能達到這樣的效果。阿湯哥非常瘦，簡直就是男的瑪丹娜。他的身體幾乎沒有脂肪，但他的臉卻還是很柔軟。一個近50歲又沒有體脂肪的男人應該會皮皺臉垮，看起來很憔悴。據此推測他應該打了3D聚左旋乳酸做出蘋果肌。請繼續往下閱讀...3D聚左旋乳酸通常每6週注射一次，總共注射3或4次，效果逐漸顯現，比較不容易被別人發現整型。另外楊醫師也認為阿湯哥在雙眉之間打了肉毒桿菌除皺，在法令紋打了玻尿酸填平。電波光波拉皮緊緻皮膚不只臉部要整，鬆垮的脖子更會洩漏年齡。楊醫師不覺得阿湯哥去做了拉皮手術，他應該是採用了ReFirme電波光波拉皮，以雙向電波頻率配合紅外線光，刺激表面膠原蛋白的生長，創造溫和且快速見效的皮膚緊緻效果。通常這種療程需每個月做一次。上述這些療程需要花費幾萬美元，而且要持續去做才能維持效果。對身價高達2.5億美金（約台幣73億元）的阿湯哥來說，這些都算是小錢。現在阿湯哥看起來只有30幾歲，楊醫師建議他只要繼續維持原有療程，不需要再過度整型。      不用抽 不用搶 現在用APP看新聞 保證天天中獎    點我下載APP    按我看活動辦法,自由時報
2012/03/01,賽德克旋風 衝進龐畢度-魏德聖苦等中國審查 合體邱若龍法廣發聲,「賽德克．巴萊」在國際影展獲得迴響，也掀起話題。（果子電影提供）駐歐洲特派記者胡蕙寧／倫敦－巴黎報導導演魏德聖（圖）與漫畫家邱若龍接受法國國際廣播電台rfi專訪。（資料照）法國國際廣播電台rfi以專題報導方式，播出台灣影片「賽德克．巴萊」導演魏德聖以及漫畫家邱若龍的專訪，為4月22日將在法國龐畢度中心放映該片暖身。邱若龍的作品「漫畫．巴萊」也同時獲邀展出。新版流暢度勝威尼斯版魏德聖表示，當初參加威尼斯影展太倉促，匆忙剪接的版本太多打打殺殺，讓人沒注意到內在要表達的情節。未來在國際上演的新版本已重新剪接好，將原版上下集4個半小時的精華，濃縮成兩個半小時，比威尼斯版要流暢、自在得多。台灣史詩巨作「賽德克．巴萊」入圍今年奧斯卡外語片初選，在首輪9部外片中是唯一的華語片，打敗了中國名導張藝謀的「金陵十三釵」及香港許鞍華的「桃姐」，讓該片在國際上更受矚目。法國國際廣播電台以該片在威尼斯影展、香港亞洲影展、台灣金馬獎等所掀起的海內外旋風開場，引介出這部「真正的賽德克」好片。請繼續往下閱讀...至於去年9月在威尼斯影展被強灌上中國出品的事件。魏德聖認為這是台灣在國際影展上老是會遇上的事情，涉及國家政治，不是他個人可以解決的事。法廣問中國官方認為這部片子充滿反動思想，恐因放映而激起新疆或西藏族群的反動情緒。魏德聖說知道中國還在審查，要說成是反動片也可以，就看人們怎麼詮釋它。邱若龍耗費5年考證歷史邱若龍在法廣的專訪表示，他親自接觸了那些僅存的老前輩後，才發現了這段台灣感人的歷史，但是卻只有很少人知道。於是他想用漫畫呈現，花了5年多的時間去畫，花更多的時間去考證歷史。他覺得文字記載不若漫畫、影像的表達，尤其是原住民的文化與一般所謂的漢族有很大距離，透過影像更能讓人們確切感受。      不用抽 不用搶 現在用APP看新聞 保證天天中獎    點我下載APP    按我看活動辦法,自由時報
2012/02/29,228連假　《特務愛很大》全台票房佳,"《特務愛很大》在228連假期間，全台票房一舉衝破3200萬。（圖由福斯提供）〔本報訊〕由奧斯卡影后瑞茲薇絲朋（Reese Witherspoon）大戰好萊塢2大型男克里斯潘恩（Chris Pine）、湯姆哈帝（Tom Hardy）的《特務愛很大》（This Means War），228連假在一片奧斯卡上檔強片當中殺出重圍，光是台北市就創下1500多萬的票房成績，全台票房則是一舉衝破3200萬。《特務愛很大》由《魔鬼終結者︰未來救贖》導演McG執導，劇中克里斯潘恩與湯姆哈帝2位至交好友是美國中情局的頂尖探員，雖然工作順遂，愛情卻沒着落。不過，拜高科技之賜，他們在交友網站上順利找到自己喜愛的對象，迅速展開了無憂的戀情。《特務愛很大》可謂滿足所有女性的幻想。人算不如電腦算，2位帥哥竟同時愛上瑞茲薇絲朋所飾演的蘿倫，兩人決定展開決鬥，抱得美人歸。一個是溫柔細心的紳士，另一個是主動熱情鬥牛士，夾在2位追求者中的蘿倫，雖然煩惱始終無法決定愛誰好，但早已羨煞許多女性。請繼續往下閱讀...displayDFP('ad-IR1', 'm');網友看完之後說，「不拖戲很緊湊，雖然片長1個半小時，但是感覺坐很久。非常好笑！男主角超帥 」。還有網友表示，雖然本來就覺得劇情還蠻有趣，但這種片若拍不好一定很芭樂，不過還算蠻有笑點，而且男主角其實沒有像主打海報上那麼難看。      不用抽 不用搶 現在用APP看新聞 保證天天中獎    點我下載APP    按我看活動辦法",自由時報
2012/02/29,橫掃各大電影獎項　性愛成癮的男人口碑佳,由史提夫麥昆所執導的《性愛成癮的男人》，3月16日在台上映。（圖由原子映象提供）〔本報訊〕由史提夫麥昆所執導的《性愛成癮的男人》，奪下多項大獎，男主角由曾飾演《X戰警》的萬磁王麥克法斯賓達挑大樑演出，影片中的角色讓法斯賓達在生理與心理上都赤裸裸，並以該片勇奪本屆威尼斯影展的影帝，成績亮眼。《性愛成癮的男人》是《王者之聲》製作團隊繼2011年拿下眾多奧斯卡獎項後，歐美電影圈一片看好的第一部作品，《性愛成癮的男人》的製片表示，《飢餓》與《性愛成癮的男人》，都是導演史提夫麥昆對身體的關注，他表示，「《飢餓》是講一個沒有自由的人用身體創造他所能擁有的自由，而《性愛成癮的男人》是講一個男人有自由，但卻用身體創造勞籠。」負責這次劇本的艾比摩根，同時也是新科奧斯卡影后梅莉史翠普主演的《鐵娘子》的電影編劇。《性愛成癮的男人》是英國導演史提夫麥昆（Steve McQueen）繼榮獲坎城影展金攝影機獎的處女作《饑餓》一鳴驚人後，所執導的第二部長片。藉著對慾望的探討，進而逼視出現代人的拯救與孤單。該片為一英國獨立製片，在英國被英國評級委員會分為18，而「榮獲」美國電影分級的限制級，美國發行商福斯電影公司不但不擔心，反而異常欣喜，希望可以引起更多話題討論。請繼續往下閱讀...該片講述的是30歲的紐約客布蘭登，無法控制自己的性生活，終日沉溺於在A片、手淫、網路性愛、召妓等所有能暢快交歡的祕密世界裡。某天，他那放縱且有自殺傾向的妹妹茜茜闖進他的住處，硬生生地搗毀了他的安全戒線。好萊塢新生代明星麥克法斯賓達及凱莉墨里根雙雙挑戰跨尺度演出，聯袂譜寫一段大都會的情慾萬象。3月16日台北戲院晚場起。      不用抽 不用搶 現在用APP看新聞 保證天天中獎    點我下載APP    按我看活動辦法,自由時報
