publish_date,title,content,press
2016-03-05,老靈魂新科技,"沛納海LUMINOR 1950陀飛輪兩地時間腕表，鈦金屬表殼，47mm，限量150只，454萬元。                       沛納海Luminor 8日動力儲存對表，亦是為席維斯史特龍特別訂製的全新復刻版，套表定價66萬5,000元，限量500套。                       沛納海Luminor 8日動力儲存對表，此為左撇子DLC精鋼腕表，為席維斯史特龍訂製款的全新復刻版。套表定價66萬5,000元，限量500套。                    沛納海LUMINOR 1950陀飛輪兩地時間腕表，鈦金屬表殼，47mm，限量150只，454萬元。                                    沛納海Panerai 業界首創 3D列印表殼沛納海今年新品可概分兩大區塊：Radiomir1940系列新品，以及幾款復刻表。品牌也推出全新P.4001機芯和P.4002機芯，皆為自動上鍊。另有業界首創、採用3D列印技術製作表殼的鈦金屬鏤空陀飛輪表。Radiomir1940是近年強力主打的系列，上述兩款全新機芯便是搭載於此系列表殼內。兩款機芯乃從P.4000改良而來，功能有時、分、日期、小秒盤和兩地時間顯示，以及秒針歸零和快速調校。均配備三日動力儲存，不同的是其中一款設在表背。Radiomir1940今年也推出一款特別版，此表為「Egiziano Piccolo（小埃及人）」復刻版，以特殊棕色表盤搭配樹脂玻璃鏡面呈現復古丰采。沛納海曾於1954年為埃及海軍蛙人部隊打造腕表，名為「小埃及人」，以與1956年誕生的Egiziano腕表做區別。2012年12月，紐約佳士得拍賣會上，一只「小埃及人」以32萬6,500美元成交，較預估拍價多了三倍，創下沛納海有史以來的拍賣紀錄，此表一炮而紅。「小埃及人」當年只做了30~40只，時至今日表盤已從黑色褪至棕或橙色。因為早期沛納海用鐳粉做夜光物料，混入氚的鐳粉會使部分骨董腕表的表盤染上獨特色調。新版復刻表便是沛納海以此為靈感打造的作品，分別在Radiomir1940和Luminor1950各推出一款，各限量1千只。另一款話題表是向伽俐略致敬的Luminor 1950兩地時間陀飛輪，首度採用3D列印技術製作的鈦金屬表殼，是業界創舉。表殼內部是空心的，搭載鏤空機芯，因此塊頭雖大但表身才重98克，相當輕盈。好萊塢影星席維斯史塔龍今年入圍奧斯卡最佳男配角，重回鎂光燈焦點。巧的是，沛納海今年也推出1996年為他訂製的兩款Luminor復刻腕表。以套表形式推出，面盤一黑一白，其中黑色款為左撇子DLC精鋼腕表，附特殊表盒。限量500組。帕瑪強尼Parmigiani 全新機芯 歡慶20周年品牌今年慶祝20周年，推出搭載全新自製手動上鍊計時機芯的Tonda周年紀念表。其機芯全部以金質打造，向計時碼表的傳統致敬。這是帕瑪強尼第一款自製集成計時碼表機芯（integrated chronograph，意指不增加模組，所有零件都要整合在機芯內的主夾板上），配備導柱輪和垂直離合裝置，具備雙追針和大日曆功能。業界有能力製作此類型機芯的品牌已寥寥可數，更別說是像帕瑪強尼這種規模不大的表廠。因應紀念性，此款表的機芯全以金質打造，過程更為困難複雜，也展現品牌的製表技術。Bugatti Super Sport系列今年再添新成員，此腕表的機芯亦以純金打造，並採用透明的藍寶石水晶玻璃表殼，讓配戴者可一覽無遺精密的機械裝置。名士Baume&Mercier 實用親民 迎戰不景氣名士今年在SIHH期間發表三款新品，包括克里頓系列全日曆計時碼表、卡普藍系列Shelby Cobra腕表和Petite Promesse女表，陪伴表迷共度似水流年。經典的克里頓系列推出全日曆計時碼表，共有三個款式，均搭載自動上鍊機芯（Valjoux 7751機芯），配備計時碼表和全日曆兩個實用的功能，具晝夜和月相顯示；價格相對易入手。另一款卡普藍Shelby Cobra「Spirit of Competition」限量表則是名士表和卡羅爾謝爾比（Carroll Shelby）公司合作的第二款作品，向謝爾比Cobra車隊的車手致敬。其不對稱的計時盤設計令人想起Cobra賽車的標誌性儀表板，計時碼表秒針亦刻有Cobra賽車標誌，環繞表圈的測速儀也凸顯賽車的特色。限量1,963只。Richard Mille 自動鋼筆 機芯新創意總是在高級製表標榜現代科技精神的Richard Mille，今年SIHH期間推出令人耳目一新的書寫工具─自動鋼筆。品牌把製作手表的技術運用在鋼筆上，按壓筆尾，筆尖10秒內就會伸出來。此自動鋼筆由品牌的機芯設計師耗時四年研發，推出筆尖的動力源於安放在筆末端的柱狀機芯。使用完畢、蓋上筆蓋的同時也可順便上鍊。筆身採用品牌獨家開發的NTPT碳纖維材質，之前曾使用於腕表，因製作過程之故，每只筆身的紋理均獨一無二。9.9萬瑞士法郎。Richard Mille另推出一款與空中巴士（airbus）合作的RM50-02ACJ 雙追針陀飛輪計時碼表。除採用五級鈦合金橋板和底板，機芯內部的許多零件都採用與航空業相同的塗層處理。此類型的處理通常運用在飛機的發動機和起落架零件，目的是防止腐蝕和外在環境的破壞。限量30只，價格未定。",聯合報
2016-03-05,碧昂絲醉喊想離婚 氣蕾哈娜像小三,碧昂絲(左)與傑斯看似和樂欣賞球賽，被爆其實婚姻快破裂。                    碧昂絲(左)與傑斯看似和樂欣賞球賽，被爆其實婚姻快破裂。                                    西洋樂壇最強夫妻—傑斯與碧昂絲，被傳是「利益結合」已久，三天兩頭遭唱衰將離異。近日「In Touch」雜誌報導，碧昂絲出席「天命真女」老搭檔凱莉羅蘭生日活動時，一直猛灌雞尾酒，還摘下婚戒、對友人表示：「妳們快要見不到它了。」似暗示已打定主意離婚。「In Touch」報導碧昂絲擺明藉酒澆愁，但她母親蒂娜後來趁她冷靜努力勸說，她馬上改口是被酒精影響、隨口亂說，大家千萬別當真。兩周後，她與傑斯又一起去看NBA籃球賽，還被拍到有說有笑，顯然在人前還不便撕破臉。八卦刊物所「揭露」的婚變主因，除了傑斯年齡稍長、事事主導，讓妻子喘不過氣之外，還被指和「情同手足」的蕾哈娜有不倫關係，碧昂絲與蕾哈娜因此心結極深。蕾哈娜最近幫英國版「Vogue」雜誌拍新照片，事業線大放送，性感誘人，也難怪除了傑斯被傳難擋她的威力，新科奧斯卡影帝李奧納多也是緋聞男友之一。,聯合報
2016-03-04,摸不到的病床,《不存在的房間》是奧斯卡得獎影片，描寫被幽禁在密室的母子如何歷險逃脫。「摸不到的病床」則是台灣最近的景象，許多病人急需住院，卻一床難求。這波流感疫情發威，重症患者塞爆醫院，卻苦等不到病房；光是北部地區等待住院的就有四百人。對於醫院與病人叫苦，衛福部卻回稱「全台還有一千零一張病床」，叫大家「免驚」；後來才知，連這數字都錯了。當病人已經躺在急診室，政府卻只能亮亮數字當安慰劑，這解得了民瘼嗎？各大醫院急診室爆滿的情況有如「壓力鍋」，患者病痛煎熬，照護的家屬更苦不堪言。如果衛福部官員看到這些景象，首先該做的，就是幫忙協調各醫院調度病床，讓某些病患轉至其他醫院就診，以免苦等。孰料，人們等到的卻是衛福部的冰冷回應；但在不透明的資訊下，政府不安排，誰知道病床在哪裡？若是勇於任事的官員，會及早想到設置流感緊急醫護場所，讓流感患者得到快速診治和集中看護。如此作法，也可以避免病患帶著病毒在醫院四處奔波，助長疫情的擴散，但衛福部卻慢三拍。這次流感雖不如當年的ＳＡＲＳ，但嚴重程度不可小覷。諷刺的是，有過ＳＡＲＳ的恐慌經驗，衛福部卻缺乏積極因應的警惕，反而一味責怪病人一窩蜂擠到大醫院就診；並揚言要比照ＳＡＲＳ修法，強制病人接受轉診安排。看得到數據上的病床，卻看不到煎熬中的病人，這就是無情官僚之眼。,聯合報
2016-03-03,凡妮莎哈金斯環保裝 奧斯卡紅毯變綠毯,"凡妮莎哈金斯穿H&M環保Conscious系列訂製禮服走奧斯卡紅毯。                    凡妮莎哈金斯穿H&M環保Conscious系列訂製禮服走奧斯卡紅毯。                                    奧斯卡頒獎典禮日前落幕，熠熠女星穿精品華服走紅毯，向來是眾所矚目的焦點，不過女星凡妮莎哈金斯（Vanessa Hudgens）選擇穿上H&M環保概念禮服出席盛宴，將紅毯變成宣示環保的「綠毯」。今年的奧斯卡頒獎典禮上，除了黑白種族平等的問題躍上檯面上，李奧納多得獎時呼籲大家重視地球暖化的環保議題，成為眾人關心的焦點，無獨有偶，凡妮莎哈金斯選穿一襲H&M環保系列訂製禮服出席奧斯卡派對，宣示對地球環保議題的支持。這款H&M以有機絲綢和再生木漿纖維製成的禮服，採用回收再生素材和有機農業生產的絲綢為素材，不會造成地球污染或資料浪費。H&M的環保Conscious系列新裝，預計將在4月上架。另外，UNIQLO與LEMAIRE合作的最後一季春夏新裝，預計在3月4日全球同步登場，此系列將在台灣14個分店上架，以清涼棉麻材質為主，貨量比秋冬裝充裕，售價從790元至4,990元不等。",聯合報
2016-03-03,打破亞裔歧視   豪想改變,林書豪在推特批評奧斯卡頒獎嘲諷亞裔，昨天對此首度受訪，強調自己對典禮主持人克里斯洛克沒有成見，挺身而出只為了打破美國對亞裔的刻板印象。林書豪對奧斯卡頒獎典禮嘲諷亞裔的橋段大表不滿，昨天對太陽隊賽前表示，沒見過開種族玩笑的洛克，對他也沒任何成見，過去印象是他的脫口秀很有趣。但這次奧斯卡頒獎種族主義玩過頭，也讓包含林書豪在內的亞裔人士大表不滿。林書豪說：「我只覺得用這種方式揶揄亞洲人或亞裔美國人，讓人很失望，很多人仍帶著讓人無法贊同的刻板印象看著亞裔人士；亞裔總是在電視、電影扮演類似角色，但我們能做的遠比刻板印象更多，在傳播影響力更強大的數位時代，這才是真相。」黃蜂昨天面對太陽，一掃上一戰被老鷹隊死守，全場只得76分的陰影，狂攻126分是近1個月單場得分最多，終場以126：92大勝太陽；林書豪全場僅7投1中，攻下6分、2助攻和2火鍋。黃蜂昨天仍以主力控球華克轟下26分、9助攻表現最佳，中鋒傑佛森上場19分鐘，攻下復出以來最佳的19分、7籃板，另外貝頓攻下15分、9籃板、4助攻。,聯合報
2016-03-03,台灣教育 複製美國黑人命運,本屆奧斯卡頒獎典禮，黑人主持人串場時用亞裔學童精於數學的刻板印象大開玩笑，連亞裔球星林書豪也看不下去，到社群網站撻伐。我們在台灣，可能以為大眾都站在林書豪的一方譴責主持人，實情果真如此嗎？美國國家廣播電台隨即刊出專任電視評論員Eric Deggans的文章，盛讚主持人把頒獎典禮弄得「夠黑」，全文通篇僅一行提到亞裔小朋友打領結、穿西裝、手拿公事包上台的橋段，還巧妙提及亞洲男性陽具大小，這簡直和奧斯卡主持人介紹那幾位亞洲學童來自會計師事務所一樣，損人不帶髒字。Eric Deggans，想當然爾，是黑人，且是曾在報紙工作的資深媒體人，甚至出過討論種族歧視的書，為文尚且如此，黑人喊爽則不難想見。我在美國留學的最後一年賃居黑人區，最好的朋友是黑人，他僅高中畢業，我認識他時他在戲院打工，我畢業時他依舊在戲院打工，對於他之後際遇，一直相當惋惜。我另一群朋友是亞裔美國人，他們從附近明星高中畢業、上大學、念研究所。若台灣以為美國沒明星高中，乃大錯特錯，知名亞裔政治家趙小蘭的母校是紐約長島頂尖學校，升學率百分百。賣披薩的必勝客創始老闆曾就讀的私立學校位於堪薩斯州，近半畢業生進入全美排名前五十的大學。吳彥祖和林書豪的母校都是加州知名高中，我對那些學校的印象是，每天三點多下課後，穿著體面的家長在門口接送小孩去課外社團活動。但我賃居的黑人區，下午三點後，街頭滿是遊蕩的黑人孩童。這些很難嘻嘻哈哈帶過的問題，在美國黑人眼裡被視為資源不平等。可是從南北戰爭時期就已出現在美國的亞裔奴工，靠勤勉向學的精神一步步擔起社會重新分配的責任，如今黑人卻把亞裔之優勢與成功，當作需要被矯正的壓迫。美國上世紀的教改理念，出現於黑人民權運動之後，希望扭轉白人優勢階級，設法讓想讀高中、大學的黑人，獲得廉價受教機會。但近十多年已轉換方向，著重在課程須足以與中國、印度等新興國家競爭。很遺憾，台灣教改則是一批五年級生當年去美國拾人牙慧，回台灣把教育和資源平均畫上等號，自以為把餅做大，但此次奧斯卡典禮的驚爆橋段卻敲響警鐘。美國黑人問題在於他們有更多受教機會，但教育品質不好，既不足以使其進大學，也無法保障中學畢業生有高薪工作，於是他們反過來指責在高等教育這區塊表現優秀的亞裔是菁英。而台灣此刻高喊用教育打破菁英階級，卻不知自己正在複製美國黑人的命運，更慘的，我們還有高中再爛升學率也趨近百分百的問題。民進黨十二年國教主張擴大「免試入學」，希望打倒競爭，希望家長別計較分數，其最大盲點是弄不清社會乃至於整個國際的需求與競爭。長此以往，有一天，我們會不會在金馬獎看到主持人脫口搞笑，嘲弄頂尖大學學生，卻對於社會所得分配更惡化、階級流動更停滯束手無策，只會提些十八歲以下兒少每月補助三千、或每年補助三萬的政策呢？,聯合報
2016-03-02,亞曼尼黑絲絨 玩轉魅惑世界,亞曼尼以經典的黑，詮釋時尚。                    亞曼尼以經典的黑，詮釋時尚。                                    米蘭時裝周絢麗落幕，在奧斯卡頒獎典禮大放異彩的亞曼尼（Giorgio Armani），同時間也在米蘭時裝周以精采大秀壓軸演出，本季亞曼尼以「黑絲絨」為主題，要以不同層次、光影和質感的黑，詮釋亞曼尼的低調奢華。歷經五彩繽紛的喧鬧時尚，亞曼尼大師決定回歸經典的黑，要以細緻、質感而又神秘莫測的黑色，他說，他一直很喜歡絲絨材質的柔軟觸感和強烈的光影，透過絲絨玩轉光影，與手繪印花、刺繡亮片和格紋秕呢等材質搭配，打造魅惑的想像世界。手繪印花的洋裝，有了黑色絲絨的烘托，顯得更加優雅；黑色絲絨外套、長裙等單品，有了手繪刺繡亮片印花的陪襯，更添時尚品味，全系列女裝多數是實穿又易混搭的單品，很少有全套的套裝，就連曳地晚禮服也是如此，巧妙搭配小斗篷或小外套，時尚優雅又不會太過隆重。延續女穿男裝的風潮，繫有蝴蝶結的黑色領帶成為最時尚的小配件，黑色提花衣領搭配一條長款領帶，就能輕鬆穿出個性。,聯合報
2016-03-02,艾莉西亞過關斬將 LOUIS VUITTON,艾莉西亞穿LV訂製黑色絲質亮片洋裝出席奧斯卡Vanity Fair晚宴。                       艾莉西亞穿LV訂製禮服與訂製高跟鞋，搭配Monogram-Dentelle耳環奪下第88屆奧斯卡最佳女配角。                       艾莉西亞維坎德穿LV訂製亮片洋裝與高級珠寶出席第22屆美國演員工會獎，也獲得最佳女配角。                    艾莉西亞穿LV訂製黑色絲質亮片洋裝出席奧斯卡Vanity Fair晚宴。                                    奧斯卡等紅毯盛會的女星穿戴，向來是各大品牌角力場，是否能壓對寶，相中得獎黑馬就要看眼光是否精準，其中路易威登（LOUIS VUITTON，簡稱LV）絕對是慧眼獨具，從年初的金球獎、英國奧斯卡到甫落幕的奧斯卡，LV一路相隨瑞典女星艾莉西亞薇坎德（Alicia Vikander），各式訂製禮服及珠寶成為守護她一舉拿下最佳女配角。事實上，早在2015年艾莉西亞薇坎德於「紳士密令」初嶄露頭角之際，就啟用她與珍妮佛康娜莉攜手拍攝秋冬形象廣告，流露清秀又有個性的獨特氣息。艾莉西亞也不負期望，多部作品快速竄紅，其中以「丹麥女孩」過關斬將，出席各大盛會都成為耀眼焦點。如年初她以「丹麥女孩」入圍戲劇類最佳女主角，同時以「人造意識」入圍女配角最佳女主角，出席第73屆金球獎典禮時穿上LV的白色亮片拼貼雪紡露背訂製禮服，並搭配LV高級珠寶，流露高雅氣質。亮片這種不好駕馭的材質，在艾莉西亞身上卻格外迷人，除了金球獎，之後她也多次選擇了亮片材質，如出席第22屆美國演員工會獎（Screen Actors Guild Awards，SAG），選擇了LV多色亮片拼接的合身禮服、奧斯卡會後的Vanity Fair晚宴，也選穿的LV的絲質黑色亮片訂製服，兩件都將她的好身材展露無疑。而最亮眼的，莫過助她一舉拿下奧斯卡最佳女配角的LV黃色塔夫塔綢刺繡洋裝，前短後長的設計搭配銀灰色高跟鞋，一現身紅毯就獲好評，網友還稱讚她宛如「美女與野獸」裡的貝兒。艾莉西亞演繹LV擅長的皮革材質也很出色，她出席有英國奧斯卡之稱的英國電影和電視藝術學院大獎（BAFTA Awards）時，穿了銀黑色刺繡皮革禮服，展現帶有野性的美。,聯合報
2016-03-02,男星品味 藏身細節,"萬寶龍Heritage Spirit傳承典藏系列萬年曆煙灰色藍寶石水晶腕表，68萬2,000元。                       湯姆哈迪(右)穿著Gucci剪裁三件式晚宴西裝，搭配白色晚宴襯衫及黑色緞面領結。                       麥克法斯賓達配戴蕭邦L.U.C XPS系列18K白金表、蕭邦18K白金材質瑪瑙袖扣。                    萬寶龍Heritage Spirit傳承典藏系列萬年曆煙灰色藍寶石水晶腕表，68萬2,000元。                                    奧斯卡紅毯向來是女星爭豔舞台，與男星造型相關的討論相對黯淡。殊不知，男星行頭更是藏在細節中，除了西裝的剪裁和材質，其選用的腕表、袖扣也展現個人品味。今年因「史帝夫賈伯斯」入圍奧斯卡最佳男主角的麥可法斯賓達，當天他以Tom Ford西裝搭配蕭邦L.U.C XPS系列腕表，18K白金材質表殼搭配銀色面盤，展現俐落的紳士風格。因「驚爆焦點」入圍最佳男配角的馬克魯法洛，過去數個月亦是紅毯熟面孔。他的最佳紅毯配件除了美麗大方的老婆Sunrise Coigney之外，還包括各式萬寶龍手表。奧斯卡當天他配戴了Heritage Spirit傳承典藏系列萬年曆煙灰色藍寶石水晶腕表，藍色月相盤與同色系西裝上衣巧妙呼應。湯姆哈迪今年同樣以「神鬼獵人」入圍最佳男配角，他當天穿了Gucci Made to Order Marseille剪裁三件式晚宴西裝，搭配白色晚宴襯衫及黑色緞面領結，並以太陽眼鏡和寶格麗腕表收畫龍點睛之效，有型有款；老婆夏洛特蕾莉則配戴Serpenti系列的戒指、晚宴包。",聯合報
2016-03-02,女星鑽光 閃耀紅毯,蕭邦18K白金材質戒指，鑲嵌總重14.89克拉枕型切割祖母綠主石、1.64克拉鑽石與0.67克拉祖母綠。                       珍妮佛羅倫斯配戴蕭邦頂級珠寶系列18K白金項鍊、18K白金與鉑金材質Copacabana戒指出席盛會。                       莎柔絲羅南配戴蕭邦頂級珠寶系列，18K白金耳環鑲嵌珍珠、總重18.28克拉祖母綠、5.74克拉翡翠與總重3.25克拉鑽石。                    蕭邦18K白金材質戒指，鑲嵌總重14.89克拉枕型切割祖母綠主石、1.64克拉鑽石與0.67克拉祖母綠。                                    第88屆奧斯卡頒獎典禮日前落幕，今年女星紅毯配件以頂級鑽石珠寶居多，其中不乏造型凸出的耳環、大件式項鍊等，為紅毯造型增添華麗氣勢。去年影后得主茱莉安摩兒應邀出席擔任最佳男主角獎項頒獎人，她穿香奈兒高級訂製服，搭配18K白金耳環。鏤空圓形造型的耳環鑲有12.67克拉鑽石，穿透的視覺效果呼應她肩帶式的禮服設計。因「愛在他鄉」入圍最佳女主角獎的女星莎雪羅南，當天配戴蕭邦頂級珠寶系列18K白金耳環，採用鑽石、珍珠、祖母綠和翡翠，垂墜式和不對稱的設計增添活潑氣息，絲毫不顯老氣。以「翻轉幸福」入圍最佳女主角獎項的女星珍妮佛勞倫斯，也選擇配戴蕭邦頂級珠寶系列18K白金項鍊、耳環和戒指，她以精巧的耳環和多層次設計的細鍊表現柔媚氣質，與性感的黑色蕾絲禮服相呼應。,聯合報
