publish_date,title,content,press
2012-03-04,重現驚魂記 思嘉莉 扮 珍妮李,演員飾演員的例子再多一筆。好萊塢女星思嘉莉約翰森已確定在電影「重現驚魂記（The Making of Psycho，暫譯」）裡飾演女星珍妮李，並重現驚悚的淋浴畫面。前陣子，女星蜜雪兒威廉斯在「夢露與我的浪漫週記」裡飾演瑪麗蓮夢露，描述夢露赴英國拍攝「遊龍戲鳳」的過程。「重現驚魂記」則描述大導演希區考克於1960年代拍「驚魂記」時遇到的困難和掙扎，和「夢」片有異曲同功之妙。超過半世紀以來，女星珍妮李在希區考克經典名作「驚魂記」裡驚懼尖叫的畫面，深植人心。如今新生代的影迷將透過史嘉莉約翰森的詮釋，重新認識影史有名的場景。希區考克拍「驚魂記」時，預算僅80萬英鎊，他的每一筆花費都被片商牢牢看著。所幸「驚」片上映後叫好又叫座，被視為希區考克50年導演生涯裡最好的作品。該片獲奧斯卡4項提名，包括最佳導演、最佳女配角。珍妮李那場在浴室裡「驚聲尖叫」的戲，除獲女配角提名，也拿下金球獎最佳女配角。那場戲出現在電影中僅3分鐘，但導演花了6天拍攝。「重現驚魂記」還找來兩大金獎影帝、影后助陣─安東尼霍普金斯和海倫米蘭，分別飾演希區考克本人及他的妻子。,聯合報
2012-03-04,一周大事 2012年2月26日～ 2012年3月3日,一周大事 2011年2月26日～ 2011年3月3日國內：2月28日：總統馬英九再度代表政府，向所有過去政治受難者深深一鞠躬表達歉意；他期許，大家手牽手、心連心，互相扶持，透過這一代努力，讓上一代損失，變成下一代資產。29日：台北市長郝龍斌宣布，捷運新莊線東門站今年9月完工通車後，捷運淡水、中和線將分流，這也是因應捷運路網發展的必要措施。3月2日：避免問題美牛下肚，近日地方衛生局，紛紛驗出市售牛肉含瘦肉精，引起民眾關注。衛生署食品藥物管理局表示，目前國內有4家進口商被驗出不合格肉品，將在海關逐批查驗。3日：行政院農委會防檢局公布，台灣首度爆發高病原性H5N2禽流感，位在台南市肉雞場撲殺4500隻雞，位在彰化的蛋雞場撲殺5萬3000隻，但不會人畜共通。國外：2月26日：第84屆奧斯卡金像獎名單揭曉，入圍10項的「大藝術家」（The Artist）拿下最佳影片、最佳導演、最佳男主角等大獎，表現比獲11項提名的「雨果的冒險」（Hugo）更加出色。26日:日本動態隨機存取記憶體（DRAM）製造大廠爾必達（Elpida）發表聲請破產保護的消息，負債總額為4818 億日圓（約新台幣1772億元），是日本史上最大1樁製造業破產案。3月3日：數十個龍捲風席捲美國中部，造成至少24人死亡、1小鎮遭「夷為平地」。多處民宅、學校和商用建築被龍捲風吹垮。,聯合報
2012-03-04,勇敢施政  期待台灣鋼鐵人,美國老牌演員梅莉史翠普在電影「鐵娘子」中，演活英國前首相柴契爾夫人，勇奪奧斯卡最佳女主角獎，讓世人重睹這位時代女性的強韌風采，也勾起許多八零年代民眾的記憶。柴契爾夫人於一九七九年至一九九○年擔任英國首相。其執政期間，在經濟上帶領英國走出停滯性通膨的困境，在外交上與美國聯手終結了冷戰。一九八二年，對阿根廷的福克蘭群島戰爭獲勝，更讓英國人民重拾昔日大英帝國的尊榮，也將她的聲望推向高峰。然因其作風強悍，難以妥協，英國人民愛恨兩極，惟如同電影中的台詞，「我做的是對的，人民今天會怨恨我，但他們的後代會感謝我。」擇善固執、為所當為，堅守立場，一以貫之，讓搖擺不定的政客相形見絀。但這位政治家，終究也敵不過偉大城市的無情，在民怨與黨爭中下台，即便批評的人不少，但世人多能給她正面評價。台灣剛完成第五次總統直選，我們的歷史未曾出現如柴契爾夫人這般時代人物，但台灣真的亟需脫胎換骨，需要一個鋼鐵意志的領導人義無反顧，堅持走對的路。馬總統五二○即將展開歷史定位的新任期，行政院陳內閣在媒體讚譽聲中風光上任，與歐債風暴作戰同時，人民最關心的美牛、能源價格合理化、稅改等議題，卻只聞樓梯響，不見人下來。電價合理化，社會有智識者均已大聲疾呼，政府如擬妥可兼顧經營面、經濟面、社會面的合理方案，就請有鋼鐵意志的政治人物一槌定音，為生病的能源價格勇敢打下第一針。不然施政左顧右盼，人民終究也只能回到戲院，去看看英國鐵娘子的風采，對台灣鋼鐵人不期不待了。,聯合報
2012-03-03,LOUIS VUITTON防水有品味 女星撞包也要拿,"LV Monogram Eden Shoulder bag包，新推出復古款式最時髦，76,500元。                       LV ARTSY MM包款，適合上班族使用，54,500元起。                       LV Monogram TIVOLI GM包，造型可愛又復古模樣，54,500元起。                    LV Monogram Eden Shoulder bag包，新推出復古款式最時髦，76,500元。                                    以製作行李箱起家的法國精品龍頭LV，從1854年品牌創立以來，研發各種防水帆布以提高行李箱的耐用度，其中最經典的Monogram圖騰，是LV最受歡迎的款式，也是好萊塢女星挑選包款的首選。LV帆布包以防水、耐用、品味著稱，經過使用後，LV帆布包會留下歲月的痕跡，讓記憶留在腦裡、也留在包上。奧斯卡影后凱特溫絲蕾、海倫米蘭，都是LV帆布包的愛用者，凱特溫絲蕾日前背著LV Monogram的大型購物袋現身，只穿著簡單牛仔褲搭配灰色風衣，LV也成為她造型的焦點，有畫龍點睛之效。凱特溫絲蕾近來感情順遂，與李奧納多主演的「鐵達尼號」將以3D版重新上映，她日前看過新版本後，直笑說自己演技不好。氣質優雅的海倫米蘭扮演英國女皇的形象深植人心，日前她拎著LV帆布包現身，小型包適合出遊使用，減少逛街的負擔。蟬聯LV近2年最熱賣包款的Monogram Neverfull包，價錢好入手、容量大且造型時髦，讓多位女星撞包也要拿，名媛派瑞絲希爾頓知名歌手凱薩琳麥菲都愛Neverfull包，證明Neverfull包好看也好搭配。吉妮佛古德溫則愛LV最經典的Monogram Speedy包款，該包最適合旅行使用，容量大、造型簡潔俐落，還能收到行李箱裡。超級名模Daisy Lowe熱愛LV Monogram系列包款，簡單針織衫搭配長褲，也能穿出潮流感。LV帆布包問世至今157年，許多人的第一只名牌包就是LV Monogram系列包款，今年春夏再推出多個新包款，它見證了即使歲月流逝，經典商品將永不老去。",聯合報
2012-03-03,LOUIS VUITTON防水有品味 女星撞包也要拿,奧斯卡影后凱特溫斯蕾也是LV Monogram包的愛用者。                       知名歌手凱薩琳麥菲也喜愛LV Neverfull包。                       奧斯卡影后海倫米蘭手提LV Monogram帆布包款，歷久彌新。                    奧斯卡影后凱特溫斯蕾也是LV Monogram包的愛用者。                                    以製作行李箱起家的法國精品龍頭LV，從1854年品牌創立以來，研發各種防水帆布以提高行李箱的耐用度，其中最經典的Monogram圖騰，是LV最受歡迎的款式，也是好萊塢女星挑選包款的首選。LV帆布包以防水、耐用、品味著稱，經過使用後，LV帆布包會留下歲月的痕跡，讓記憶留在腦裡、也留在包上。奧斯卡影后凱特溫絲蕾、海倫米蘭，都是LV帆布包的愛用者，凱特溫絲蕾日前背著LV Monogram的大型購物袋現身，只穿著簡單牛仔褲搭配灰色風衣，LV也成為她造型的焦點，有畫龍點睛之效。凱特溫絲蕾近來感情順遂，與李奧納多主演的「鐵達尼號」將以3D版重新上映，她日前看過新版本後，直笑說自己演技不好。氣質優雅的海倫米蘭扮演英國女皇的形象深植人心，日前她拎著LV帆布包現身，小型包適合出遊使用，減少逛街的負擔。蟬聯LV近2年最熱賣包款的Monogram Neverfull包，價錢好入手、容量大且造型時髦，讓多位女星撞包也要拿，名媛派瑞絲希爾頓知名歌手凱薩琳麥菲都愛Neverfull包，證明Neverfull包好看也好搭配。吉妮佛古德溫則愛LV最經典的Monogram Speedy包款，該包最適合旅行使用，容量大、造型簡潔俐落，還能收到行李箱裡。超級名模Daisy Lowe熱愛LV Monogram系列包款，簡單針織衫搭配長褲，也能穿出潮流感。LV帆布包問世至今157年，許多人的第一只名牌包就是LV Monogram系列包款，今年春夏再推出多個新包款，它見證了即使歲月流逝，經典商品將永不老去。,聯合報
2012-03-03,黛咪封殺不了卡麥蓉狄亞,黛咪摩兒儘管人在猶他州的勒戒所，仍然遙控封殺曾一同演出「霹靂嬌娃」的卡麥蓉狄亞（見圖），將她列為奧斯卡慶功趴的黑名單！                    黛咪摩兒儘管人在猶他州的勒戒所，仍然遙控封殺曾一同演出「霹靂嬌娃」的卡麥蓉狄亞（見圖），將她列為奧斯卡慶功趴的黑名單！                                    黛咪摩兒儘管人在猶他州的勒戒所，仍然遙控封殺曾一同演出「霹靂嬌娃」的卡麥蓉狄亞，將她列為奧斯卡慶功趴的黑名單！「國家詢問報」宣稱，黛咪對於元月間金球獎典禮相關派對舉行時，卡麥蓉狄亞與他的前夫艾希頓庫奇打情罵俏，懷恨在心。奧斯卡頒獎典禮後的慶功趴由黛咪和瑪丹娜共同作東，行之有年。黛咪通知瑪丹娜，交代宴會大門的保全絕對不准讓卡麥蓉狄亞進入。不曉得是黛咪不夠力還是卡麥蓉狄亞太有魅力，目擊者表示卡麥蓉狄亞當晚出席了慶功趴。E!網站報導，黛咪日昨已經離開勒戒所去度假。,聯合報
2012-03-03,蘭花摩天輪 妝點夢幻樂園,鄭秀煒以各種蘭花打造出紫色、夢幻的《福爾摩沙悠樂園》。                    鄭秀煒以各種蘭花打造出紫色、夢幻的《福爾摩沙悠樂園》。                                    從化工科畢業、擺攤賣飾品，到成為揚名國際的金獎花藝設計師，鄭秀煒的跳tone人生，交雜著獎牌換不回父親生命的苦澀，以及與另一半愛相隨的甜蜜。站在「花現台北」展場5公尺高的「蘭花摩天輪」前，160公分不到的鄭秀煒顯得格外嬌小。深淺不一的紫色城堡與咖啡杯，擺放著各類蝴蝶蘭；這片夢幻天地取名《福爾摩沙悠樂園》，鄭秀煒希望以迪士尼般歡樂氣氛，呈現台灣的驕傲。小小樂園裡，有多達60種蘭花，涵蓋了蝴蝶蘭、文心、石斛三大蘭系。虎豹斑、青蘋果、日本姑娘、滿天紅等稀有品種，是她特地到阿里山的蘭場「要」來的；有些甚至來不及命名，只能展出幾株「樣品」。擔任花卉輸出公會常務監事的陳清鈺，是鄭秀煒人生與事業的「最佳拍檔」。陳清鈺說，蘭花是台灣的「軟實力」之一，連法國前總統席哈克的夫人都說「台灣的蝴蝶蘭會說話，訴說著美麗福爾摩沙的故事」。陳清鈺期盼，有一天蝴蝶蘭「不是農產品，而是台灣精品」。去年在有「花藝界奧斯卡」的英國切爾西花展摘下世界金牌，鄭秀煒不但得以和英國女王近距離接觸、獻上命名為「伊莉莎白二世」的蘭花，還讓女王對台灣蘭花大聲說「讚」。鄭秀煒把一切成就，歸功於父親的教誨與啟發。在一碗麵兩元的年代，她每天的零用錢是50元；身為長女，獲得父親最多的愛，也受到最嚴格的管教，連洗碗都有一定「程序」。在寬容與紀律之間，養成鄭秀煒敢大膽運用各種素材，遇到挫折能堅持到底的精神。今年她要挑戰的目標是，4月在荷蘭登場的花卉博覽會，希望為台灣開拓「花卉外交」的心願，更值得每個人為她拍拍手。(周靜芝)「花現台北」特展在圓山爭艷館展至4月8日，每周五上午11點、下午3點邀請花藝老師現場創作花藝。更多資訊詳見官網http://tba.ishow.gmg.tw。,聯合報
2012-03-03,蘭花摩天輪 妝點夢幻園,鄭秀煒用上各種蘭花，打造出紫色、夢幻的《福爾摩沙悠樂園》。                    鄭秀煒用上各種蘭花，打造出紫色、夢幻的《福爾摩沙悠樂園》。                                    從化工科畢業、擺攤賣飾品，到成為揚名國際的金獎花藝設計師，鄭秀煒的跳tone人生，交雜著獎牌換不回父親生命的苦澀，以及與另一半愛相隨的甜蜜。站在「花現台北」展場5公尺高的「蘭花摩天輪」前，160公分不到的鄭秀煒顯得格外嬌小。深淺不一的紫色城堡與咖啡杯，擺放著各類蝴蝶蘭；這片夢幻天地取名《福爾摩沙悠樂園》，鄭秀煒希望以迪士尼般歡樂氣氛，呈現台灣的驕傲。小小樂園裡，有多達60種蘭花，涵蓋了蝴蝶蘭、文心、石斛三大蘭系。虎豹斑、青蘋果、日本姑娘、滿天紅等稀有品種，是她特地到阿里山的蘭場「要」來的；有些甚至來不及命名，只能展出幾株「樣品」。擔任花卉輸出公會常務監事的陳清鈺，是鄭秀煒人生與事業的「最佳拍檔」。陳清鈺說，蘭花是台灣的「軟實力」之一，連法國前總統席哈克的夫人都說「台灣的蝴蝶蘭會說話，訴說著美麗福爾摩沙的故事」。陳清鈺期盼，有一天蝴蝶蘭「不是農產品，而是台灣精品」。去年在有「花藝界奧斯卡」的英國切爾西花展摘下世界金牌，鄭秀煒不但得以和英國女王近距離接觸、獻上命名為「伊莉莎白二世」的蘭花，還讓女王對台灣蘭花大聲說「讚」。鄭秀煒把一切成就，歸功於父親的教誨與啟發。在一碗麵兩元的年代，她每天的零用錢是50元；身為長女，獲得父親最多的愛，也受到最嚴格的管教，連洗碗都有一定「程序」。在寬容與紀律之間，養成鄭秀煒敢大膽運用各種素材，遇到挫折能堅持到底的精神。今年她要挑戰的目標是，4月在荷蘭登場的花卉博覽會，希望為台灣開拓「花卉外交」的心願，更值得每個人為她拍拍手。「花現台北」特展在圓山爭艷館展至4月8日，每周五上午11點、下午3點邀請花藝老師現場創作花藝。更多資訊詳見官網http://tba.ishow.gmg.tw。,聯合報
2012-03-03,金獎鄭秀煒 打造紫色悠樂園,鄭秀煒以各種蘭花打造出紫色、夢幻的「福爾摩沙悠樂園」。                    鄭秀煒以各種蘭花打造出紫色、夢幻的「福爾摩沙悠樂園」。                                    從化工科畢業、擺攤賣飾品，到揚名國際的金獎花藝設計師，鄭秀煒的跳tone人生，有著獎牌換不回父親生命的苦澀，以及另一半愛相隨的甜蜜。站在「花現台北」展場5公尺高「蘭花摩天輪」前，不到160公分的鄭秀煒格外嬌小。深淺不一的紫色城堡與咖啡杯，擺放各類蝴蝶蘭；這片夢幻天地取名「福爾摩沙悠樂園」，鄭秀煒希望以迪士尼歡樂氣氛呈現台灣的驕傲。小小樂園裡有60種蘭花，涵蓋蝴蝶蘭、文心、石斛3大蘭系。虎豹斑、青蘋果、日本姑娘、滿天紅等稀有品種，是她特地到阿里山蘭場「要」來的；有些甚至來不及命名，只能展出幾株「樣品」。擔任花卉輸出公會常務監事的陳清鈺，是鄭秀煒人生與事業的「最佳拍檔」。陳清鈺說，蘭花是台灣「軟實力」之一，連法國前總理席哈克夫人都說「台灣的蝴蝶蘭會說話」，陳清鈺期盼蝴蝶蘭「不是農產品，而是台灣精品」。去年在「花藝界奧斯卡」的英國切爾西花展摘下世界金牌，鄭秀煒得以與英國女王近距離接觸，獻上命名為「伊莉莎白二世」的蘭花，還讓女王對台灣蘭花大聲說「讚」。鄭秀煒把成就歸功於父親的教誨與啟發。在1碗麵2元的年代，她每天的零用錢是50元；身為長女，獲得父親最多的愛，也受到最嚴格的管教，連洗碗都有一定「程序」，寬容與紀律間養成她大膽運用各種素材，遇挫折能堅持到底的精神。今年她要挑戰的目標是4月在荷蘭登場的花卉博覽會，希望為台灣開拓「花卉外交」心願。「花現台北」特展在圓山爭艷館展至4月8日，每周五上午11點、下午3點邀請花藝老師現場創作花藝。更多資訊詳見官網http://tba.ishow.gmg.tw。,聯合報
2012-03-03,蘭花摩天輪 妝點夢幻樂園,鄭秀煒利用各種蘭花，打造出紫色、夢幻的《福爾摩沙悠樂園》。                    鄭秀煒利用各種蘭花，打造出紫色、夢幻的《福爾摩沙悠樂園》。                                    從化工科畢業、擺攤賣飾品，到成為揚名國際的金獎花藝設計師，鄭秀煒的跳tone人生，交雜著獎牌換不回父親生命的苦澀，以及與另一半愛相隨的甜蜜。站在「花現台北」展場5公尺高「蘭花摩天輪」前，160公分不到的鄭秀煒顯得格外嬌小。深淺不一的紫色城堡與咖啡杯，擺放著各類蝴蝶蘭；這片夢幻天地取名《福爾摩沙悠樂園》，鄭秀煒希望以迪士尼般歡樂氣氛，呈現台灣的驕傲。小小樂園裡，有多達60種蘭花，涵蓋了蝴蝶蘭、文心、石斛三大蘭系。虎豹斑、青蘋果、日本姑娘、滿天紅等稀有品種，是她特地到阿里山的蘭場「要」來的；有些甚至來不及命名，只能展出幾株「樣品」。擔任花卉輸出公會常務監事的陳清鈺，是鄭秀煒人生與事業的「最佳拍檔」。陳清鈺說，蘭花是台灣的「軟實力」之一，連法國前總理席哈克的夫人都說「台灣的蝴蝶蘭會說話，訴說著美麗福爾摩沙的故事」。陳清鈺期盼，有一天蝴蝶蘭「不是農產品，而是台灣精品」。去年在有「花藝界奧斯卡」的英國切爾西花展摘下世界金牌，鄭秀煒不但得以和英國女王近距離接觸、獻上命名為「伊莉莎白二世」的蘭花，還讓女王對台灣蘭花大聲說「讚」。鄭秀煒把一切成就，歸功於父親的教誨與啟發。在一碗麵兩元的年代，她每天的零用錢是50元；身為長女，獲得父親最多的愛，也受到最嚴格的管教，連洗碗都有一定「程序」。在寬容與紀律之間，養成鄭秀煒敢大膽運用各種素材，遇到挫折能堅持到底的精神。今年她要挑戰的目標是，4月在荷蘭登場的花卉博覽會，希望為台灣開拓「花卉外交」的心願，更值得每個人為她拍拍手。「花現台北」特展在圓山爭豔館展至4月8日，每周五上午11點、下午3點邀請花藝老師現場創作花藝。更多資訊詳見官網http://tba.ishow.gmg.tw。,聯合報
