2013-03-03,泰國金天鵝獎 「擁抱幸福」 奪最佳影片,「擁抱幸福，擁抱愛」獲泰國奧斯卡最佳影片及最佳導演 。                    「擁抱幸福，擁抱愛」獲泰國奧斯卡最佳影片及最佳導演 。                                    有「泰國奧斯卡」之稱的第22屆泰國金天鵝獎3月1日晚間揭曉，由「愛在暹邏」導演楚克薩克瑞科暌違5年執導的新作「擁抱幸福，擁抱愛」一舉拿下最佳影片與最佳導演；驚悚片「倒數夜驚魂」則獲最佳男主角、劇本與剪輯獎。引發不少爭議話題的「倒數夜驚魂」中，男主角大衛亞沙維儂飾演藥頭「黑蘇斯」，將其他3人逼向死亡臨界點，瘋癲、偏執、陰險又神秘的演出讓他榮登影帝。該片編劇兼導演納塔吾彭皮里亞頭一次寫電影劇本就獲獎，片中他在恐怖虐殺情節加入黑色幽默與宗教戒律，也讓影片在泰國頗受歡迎。「擁抱幸福，擁抱愛」與「倒數夜驚魂」的直銷版DVD將分別在4月初與5月底在台發行。,聯合報
2013-03-03,奧斯卡禮服太像 安海瑟薇火大換衣,葛妮絲派楚2002年出席奧斯卡盛會時沒有穿bra。                    葛妮絲派楚2002年出席奧斯卡盛會時沒有穿bra。                                    安海瑟薇風光奪金，頒獎當天卻曾淚灑後台，外界推測她因飽受批評承受太大壓力。不料日昨又有人爆料表示，安海瑟薇奧斯卡頒獎典禮前一天，發現她的禮服和女星亞曼達賽佛瑞的太像，勃然大怒。「每日郵報」報導，安海瑟薇原本已選定設計師好友范倫堤諾的高級訂製服，范倫堤諾也發新聞稿告知媒體。那知彩排當天，和安海瑟薇同台演出「悲慘世界」的亞曼達賽佛瑞拿手機秀照片給她看，竟和安海瑟薇挑選的那件十分相似。目擊者表示，安海瑟薇當下大發雷霆，隔天安海瑟薇決定換穿別件，並為此和造型師瑞秋柔依討論好久。她的妝髮師和負責珠寶搭配人員只好在她家枯等數小時，最後選定Prada的粉紅色露背長禮服，隔天她發聲明向瓦倫堤諾致歉，強調她的決定是「為了大家好」。安海瑟薇當晚順利抱回小金人，說明求好心切的她為何會在意穿什麼禮服上台。穿衣品味備受好評的葛妮絲派楚也曾懊悔穿錯禮服出席奧斯卡，一套是2002年亞歷山大麥昆的禮服，衣服本身沒問題，但她坦承當天應該要穿bra；另一套是2000年的卡文克萊，「那件衣服太不奧斯卡了。」,聯合報
2013-03-03,"珍妮佛挑緋聞
看上布萊德利",外傳莎莉賽隆和賽斯麥克法蘭正在交往。                    外傳莎莉賽隆和賽斯麥克法蘭正在交往。                                    奧斯卡典禮主持人賽斯麥克法蘭的表現，各界評價兩極。但他可能沒空理，因為他正忙著和奧斯卡影后莎莉賽隆交往。失婚的奧斯卡影帝羅素克洛也傳出和澳洲歌手娜塔莉走得很近，問鼎奧斯卡影后失利的潔西卡雀絲坦則被警告男友只是在利用她結識好萊塢明星。包括芝加哥太陽時報在內的數家媒體，紛紛報導莎莉與賽斯繼奧斯卡開場的合作後，也出雙入對會後派對。目擊者指出：「戀情還處於萌芽階段，但正在正向發展。」莎莉將演出賽斯的新片「死在西部的100萬種方式」（暫譯），賽斯友人表示雙方是朋友，但戀人未滿。羅素克洛則被指稱在奧斯卡周末派對上，和娜塔莉互動親密，大臉碰小臉。對此羅素克洛推文表示，雙方是多年好友，絕無曖昧。潔西卡雀絲坦的男友吉安路卡是義大利服飾公司主管，Star周刊宣稱他藉女友認識喬治柯隆尼和李奧納多狄卡皮歐，並對外表示和他們是好友。周刊提醒潔西卡不要被男友利用。另外，奧斯卡新科影后珍妮佛勞倫斯和布萊德利庫柏因合作「派特的幸福劇本」培養出極佳默契，她逢人就誇布萊德利，得獎也謝他，因此前陣子傳出兩人正在交往，逼得布萊德利以女方年紀太小為由，出面否認。結果珍妮佛勞倫斯日昨自己爆料，她和布萊德利庫柏的緋聞是她「授意」的。珍妮佛勞倫斯對前來求證的記者說 ：「我的公關說，有八卦雜誌打算編派我跟布萊德利庫柏或山姆克拉弗林（飢餓遊戲2）的緋聞，要我二選一。可是我超喜歡山姆的未婚妻，山姆本人也可愛到一點都不性感，所以我就選了布萊德利。」,聯合報
2013-03-03,奧斯卡加持 少年PI票房再奪冠,奧斯卡過後幾部獲獎電影票房翻新高，國賓影城表示，像是「派特的幸福劇本」、「林肯」和「少年PI的奇幻漂流」，票房持續攀升，晚上播映的場次幾乎都客滿。奧斯卡最佳影片「亞果出任務」，每場次也都有半數以上的觀眾。奧斯卡效應讓獲獎電影票房翻新高，台南國賓影城行銷專員程仕吉表示，「林肯」、「悲慘世界」票房持續上升，已上映13周的「少年PI的奇幻漂流」因導演李安獲獎，本來已快下檔，又重回影城的票房冠軍。台南新光、威秀影城則表示，幾部奧斯卡獲獎電影因播映廳數較少，也比較不主流，像「悲慘世界」是歌舞片，「派特的幸福劇本」是小成本的黑色喜劇，沒想到因奧斯卡獲獎，加上觀眾好評，晚上幾乎場場客滿。全美戲院老闆吳俊誠說，目前戲院正播放獲得最佳影片、改編劇本獎的「亞果出任務」，每場次都有200多位觀眾，對二輪電影來說，相當難得。,聯合報
2013-03-03,一周大事 2013年2月24日～ 2013年3月2日,一周大事 2013年2月24日～ 2013年3月2日國內：25日：行政院長江宜樺對核能四廠提出3點立場表示，願意正面接受核能四廠停建公民投票檢驗。總統馬英九說，他全力支持核四停建公投，希望一次就解決，不要再困擾。26日：朝野立法院黨團協商達成共識，核四公投結果前，不辦追加預算、不放燃料棒，除已發包及安全檢測工作外，暫停施工。28日：馬英九總統參加二二八事件66週年紀念儀式，再度向二二八事件受難者與家屬深深一鞠躬致歉。他表示，為了讓二二八類似事件永不再發生，唯一辦法就是鞏固民主、人權和自由。2日：中華隊在經典賽出戰澳洲，隊長彭政閔帶動攻勢、敲出全壘打，王建民投6局無失分，在滿場觀眾歡呼聲中奪下首勝。國際：24日：日本首相安倍晉三23日在華盛頓演講時，針對因釣魚台與中國大陸發生的問題表示，「無法允許挑戰，關於我方的決心，不容任何國家做出錯誤判斷」。25日：南韓首位女總統朴槿惠今天宣誓就職時，矢言絕不容忍擁核北韓的挑釁行動，也說要開創全民經濟繁榮新時代。25日：第85屆奧斯卡金像獎揭曉，台灣導演李安執導的「少年Pi的奇幻漂流」（Life of Pi），勇奪最佳導演獎、最佳攝影獎、最佳視覺效果獎、最佳原創配樂獎等4項大獎。26日：一個熱氣球飛越埃及古城勒克索鎮時起火爆炸墜毀，造成19名亞洲與歐洲觀光客喪生，是全世界歷來最嚴重的熱氣球意外事故之一，肇禍原因疑為降落纜繩纏繞氦氣管後起火。27日：美國國會參議院今天投票通過，由前聯邦參議員黑格出任國防部長，正式結束長達兩個月白宮和國會共和黨議員的角力。28日：天主教教宗本篤十六世正式退位，成為中世紀以來數百年首位引退的教宗。,聯合報
