2014-03-09,宅男大勝 真木陽子影后最風光,「再見溪谷」真木陽子勇奪日本奧斯卡影后。                    「再見溪谷」真木陽子勇奪日本奧斯卡影后。                                    被視為「日本奧斯卡」的日本電影學院獎前天頒獎，代表日本角逐今年奧斯卡最佳外語片的「宅男的戀愛字典」大出風頭，連奪最佳影片、導演等6項獎，松田龍平也打敗「我的意外爸爸」福山雅治奪影帝。不過最風光的當屬真木陽子，分別以「再見溪谷」和「我的意外爸爸」拿下最女主、女配角獎。「宅男的戀愛字典」去年夏天在台上映時沒有太大迴響，但在日本備受好評，甚至取代坎城競賽片「我的意外爸爸」代表日本角逐奧斯卡最佳外語片，在日本奧斯卡上也是得獎總數更多的大贏家。松田龍平演活不善社交的宅男，繼以「御法度」獲日本奧斯卡新演員獎後，更上層樓榮登影帝，也讓福山雅治、渡邊謙與獎座擦身而過。真木陽子不只把「再見溪谷」被害者身心受創長達15年的心路歷程演得細膩動人，在「我的意外爸爸」小康之家的媽媽也直率搶眼，連獲兩大獎，成為35年前的大竹忍之後、第一位在日本奧斯卡連奪主、配角大獎的女星。「我的意外爸爸」Lily Franky得到最佳男配角，宮崎駿「風起」得到最佳動畫片，「一代茶聖千利休」吉田孝 得到最佳美術。,聯合報
2014-03-09,馬修牛仔帽拍賣 琳賽出版戒毒日記,"馬修麥康納在「藥命俱樂部」裡戴的牛仔帽將拍賣。                    馬修麥康納在「藥命俱樂部」裡戴的牛仔帽將拍賣。                                    馬修麥康納因「藥命俱樂部」在本屆奧斯卡稱帝，他在片中戴的牛仔帽身價也水漲船高。這頂帽子即日起至本月底在網路拍賣，底價3千美元（約合台幣90,765元）。「每日郵報」報導，家住在洛杉磯的拍賣商奈特D.山德斯前陣子以1,291美元（合台幣39,059元），在拍賣會上購得馬修麥康納的帽子，帽簷內部有馬修的簽名，以及他寫下的座右銘「just keep living （繼續生活）」。隨帽另附了電影公司的保證書，確認它非冒牌貨。這頂由德州Resistol公司設計的帽子，在戲中幾乎是馬修麥康納的註冊商標，大多數場景都可以看到他戴這頂牛仔帽，和他的出身相呼應。即日起至本月27日在他的網站上拍賣。現年44歲的馬修麥康納接受「時人」訪問表示，他對這一切心懷感謝。不同於有些圈內人事業得意時、家庭生活未必美滿，他自認兼顧工作和家庭，「我的生活滋養了我的工作，反之亦然。」另，麻煩不斷的琳賽蘿涵將以百萬美元和出版社哈潑柯林斯簽約，推出她個人傳記，她戒毒時寫的日記也成為素材。「每日郵報」報導，原本琳賽的經紀人開價5百萬美元，並和多家出版社接觸，但到處碰釘子。",聯合報
2014-03-09,導演槓公司 末日列車被犧牲,妮可基嫚新片「為愛璀璨–永遠的葛莉絲」幕後不少風風雨雨。                    妮可基嫚新片「為愛璀璨–永遠的葛莉絲」幕後不少風風雨雨。                                    電影還未上映，影片公司就與導演鬧不和，讓人對片子的前途捏把冷汗。妮可基嫚「為愛璀璨–永遠的葛莉絲」公開了正式預告片，並獲選坎城影展開幕片。但同一家公司在美發行的「末日列車」僅排在6月在美國小規模上映，淪為犧牲打。「為愛璀璨–永遠的葛莉絲」與「末日列車」在美國都由溫斯坦公司發行，該公司老闆哈維溫斯坦擅長在奧斯卡造勢，因此對影片內容態度強勢，「亂剪」流言時有所聞。「為」片由「玫瑰人生」奧利維達漢執導，本是妮可基嫚爭取第二座小金人的野心之作。不料奧利維對於心血結晶被更動感到不滿，一度陷入僵局，哈維索性抽掉檔期，妮可也錯失加入今年的影后大戰。韓國名導奉俊昊和歐美大牌合作的「末日列車」去年在韓賣了滿堂紅，美國上映卻遙遙無期。傳哈維認為中西部觀眾受不了太複雜的鋪陳，要刪剪20分鐘，引起網友抗議，奉俊昊則含蓄表示，希望片子一刀不剪。,聯合報
2014-03-09,一周大事 2014年3月2日～ 2014年3月8日,一周大事 2014年3月2日～ 2014年3月8日國內3日：國教署表示，因應明年農曆春節較晚開始，103學年度寒假延後1周，調整為104年1月28日到2月17日，以銜接春節。4日：台鐵2月28日因電車線事故造成大誤點後，同意持電子票證搭區間車旅客也可在1個月內退票。5日：台灣高鐵公司董事長歐晉德請辭，理由是近期運轉安全調度及票價調漲對社會造成紛擾，他願承擔責任。6日：銓敘部提出忠誠查核條例草案，涉國安或重大利益的公務人員，在台三親等血親曾在大陸港澳連續停留1年以上者，也要查核。7日：陸軍下士洪仲丘案一審宣判，前542旅少將旅長沈威志及副旅長何江忠、上士范佐憲等人均判刑6個月，前連長徐信正遭判8個月。全案可上訴。8日：廢核大遊行登場，行政院發言人孫立群說，逐步走向非核家園是行政院既定立場，「沒有核安，沒有核四」。國外：2日：俄羅斯軍隊已掌控烏克蘭克里米亞地區，烏克蘭國家安全暨國防委員會首長帕魯比說，已發布動員令，召集後備軍人報到，也下令軍隊備戰。3日：歷史劇情片「自由之心」勇奪第86屆奧斯卡最佳影片獎；入圍10項大獎的3D太空災難片「地心引力」抱走7個獎項，是最大贏家。3日：南韓媒體報導，北韓發射2枚短程飛彈，是近來第2次發射。首爾當局譴責北韓發射飛彈是精心計算的挑釁行動。4日：克里姆林宮幕僚警告，如果華府同意就烏克蘭事件對俄羅斯祭出制裁，俄國只好停止以美元作為儲備貨幣，美國金融體系可能「崩潰」。8日：馬來西亞航空1架搭載239人的波音777-200班機凌晨失聯，機上旅客來自14國，有1名台灣籍乘客。,聯合報
