publish_date,title,content,press
2021-05-02,2021 04/25 ~ 05/01 一周大事,國內27日：台北市松山警分局中崙派出所16日遭黑衣人闖進叫囂、毀壞電腦，市警局長陳嘉昌坦言「錄到影像被格式化刪除」，所長、副所長依湮滅證據等罪嫌函送，分局長林志誠也遭拔官。29日：華航機師確診事件越演越烈，除造成多起機師家庭群聚，檢疫旅館也首次淪陷，華航所屬「諾富特飯店」，出現我國首例防疫旅館確診個案（案1120）。30日：民進黨台北市黨部評委召集人趙映光之子趙介佑涉販毒、詐欺案，掀起政治風暴，趙映光宣布辭去評召。國外25日：華人女導演趙婷與影后法蘭西絲麥朵曼聯手打造的「游牧人生」，總共贏得第93屆奧斯卡金像獎最佳影片、導演、女主角等三大獎。29日：最新一期英國「經濟學人」雜誌以台灣雷達圖為封面，左有中共五星旗、右有美國星條旗，並有軍艦、軍機光點，稱這是「地球上最危險地區」。30日：以色列北部莫蘭山舉行猶太教篝火節慶祝活動，發生嚴重踩踏事故，至少45死、150人受傷。,聯合報
2021-05-01,松山之亂真相 等待吹哨者,近日松山之亂疑雲籠罩，儘管上至行政院下至警局派出所均極力澄清，但國人最大的疑惑仍是，到底真相是什麼？是否要期望台灣版的吹哨者凱薩琳甘恩現身，謎團才能撥雲見日嗎？凱薩琳甘恩在英國國家通訊情報局擔任翻譯，二○○三年一月，她看到一份涉及美國為發動伊拉克戰爭而尋求英國協助的機密郵件。凱薩琳不認同這種戰爭，她的良知現形在前的是「阻止戰爭，拯救性命」，她遂將此密件訊息透露給「觀察家報」，該報以頭版獨家見報，震驚世界。她隨後被英國當局以洩密之由，逮捕拘留。二○○四年二月案子開庭，很多團體為她聲援奔走抗議，開庭不到半小時，檢察單位主動撤銷告訴，凱薩琳迅即被釋放。扮演吹哨者的凱薩琳真實故事，在二○一九年被英美合拍成傳記電影「瞞天機宻」（Official Secrets），劇本是改編自凱薩琳工作生涯的小說。吹哨者原本就被認為是高度風險的角色，凱薩琳卻有過人的膽識及人格特質。有趣的是，一九七五年凱薩琳出生在台灣，雙親均為英國人，父親曾在東海大學外文系任教，凱薩琳則自小就居住台中，並在台中馬禮遜美國學校就讀至高中畢業才回英國。十多年的台中生活，使她的中文極佳；她被許多媒體形容為「不做國家機器，為人民工作」、「拒絕幫政府欺騙人民」等諸多特質，是否與自幼成長在台灣相關？筆者不敢確定。但英國權威影視刊物「銀幕」 （Screen Daily）讚許凱薩琳有堅強性格，及有台灣媒體認為她阻止戰爭與拯救生命是「直覺與良心」，都是貼切的評價。「直覺與良心」不是深奧知識難以學習，而是發自人的本性，如禪宗六祖惠能所說的「自性」，是與生俱有。但為何世上仍有不倫理的情事呢？六祖的解釋是，因為我們飲食男女被世俗貪嗔癡等矇蔽，而失去一顆明淨的心。明淨的心也不是形而上，最近還在世界舞台上被見到，近日奧斯卡金像獎最佳導演的頒獎台上，得獎的華人女導演趙婷向全球說明「人之初，性本善」三字經，影響她的處事為人甚為深遠，直到今日她仍對性善深信不疑。她就在詮釋人類亟需明淨的心。松山之亂也好，女老師不明就裡被上手銬也好，攸關基本人權。至今仍有許多公僕沒說真話，直覺與良心的性善面已被世俗毒害遮蔽，明淨的心未被大眾發覺。如果公部門仍不自省，那麼請吹哨者勇於揭弊，並蔚成輿論壓力，從結構上矯正偏執的現況，也是民主制衡的表徵。,聯合報
2021-04-30,ROLEX X OSCAR 一探電影與製表職人精神,聯合車站為第93屆奧斯卡綠坊休息室的會場，勞力士已自2016年負責綠坊休息室的招待工作，今年並於車站側翼的拱形天花板下打造大會專屬私人空間。圖 / 勞力士提供                       Oyster Perpetual Datejust 36腕表最大特色，在於將「三角坑紋」運用於36毫米的黃金表面。圖 / 勞力士提供                       馬丁史柯西斯喜愛的Oyster Perpetual Day-Date腕表，亦多次出現在其電影之中。圖 / 勞力士提供                    Oyster Perpetual Datejust 36腕表最大特色，在於將「三角坑紋」運用於36毫米的黃金表面。圖 / 勞力士提供                                    2021年奧斯卡頒獎典禮甫於日前落幕，演員出席紅毯典禮時，身上穿戴的高級珠寶、名表總為人熱烈討論。但你可知道：在洛杉磯聯合車站（Los Angeles Union Station）裡有個綠色空間，在此處來賓可盡情放鬆、保持社交距離，但這個空間究竟是誰打造的？綠坊休息室 用影史打造時空光廊早從2016年起，勞力士（ROLEX）便成為「綠坊休息室」的負責品牌，並在2017年與美國電影藝術與科學學院正式合作，也與奧斯卡金像獎於同年正式結盟。聯合車站側翼拱形天花板下的私人空間，成為今年綠坊休息室的所在，牆上掛有聯合車站圖案的布料，以綠葉構成的「綠色牆壁」、同時擺設以勞力士經典腕表與電影中的難忘時刻，例如馬龍白蘭度（Marlon Brando）在「現代啟示錄」中飾演的寇茲上校、或保羅·紐曼（Paul Newman）在「金錢本色」的演出，共築了這一方集結珍貴影史回憶的時空光廊。勞力士和電影的淵源甚深，品牌早從2002年推出「創藝推薦資助計畫」，現任勞力士代言人馬丁史柯西斯（Martin Scorsese）與探險家兼電影導演詹姆斯卡麥隆（James Cameron）都曾在計畫中擔任導師；勞力士甚至成為奧斯卡電影博物館的創始支持者，該空間將在今年九月於洛杉磯開幕。電影×名表 經典無懼時間更迭事實上，勞力士也深信電影工業與高級手表間的聯集：兩者皆是文化與知識的傳承、也是不隨時間更迭的藝術臻品。在最新釋出的影片中，勞力士嘗試叩問「匠心傑作（Masterpiece）」的真義，一分鐘的影片最後以Perpetual為關鍵字，並秀出年度新品：Oyster Perpetual Datejust 36腕表，表款呼應品牌年度三大主題之一：別具一格的表面設計，將經典的「三角坑紋」設計，轉化為黃金表面的設計紋飾，表款使用蠔式鋼與黃金。勞力士早在2018年參加威尼斯國際建築雙年展時，便以青銅、電鍍金屬與玻璃為原料，將三角坑紋放大成勞力士展館的外牆設計，摩登而當代的氣韻，將經典設計壯闊具現。,聯合報
2021-04-30,磁鐵超跑上太空 萬磁王也佩服,「玩命關頭9」動作場面依舊刺激、過癮。圖╱UIP提供                    「玩命關頭9」動作場面依舊刺激、過癮。圖╱UIP提供                                    台灣即將於5月19日領先全球大多數地區上映的「玩命關頭9」，動作場面比前8集再升級，除了預告片中已經揭露的飛車越過攀牙灣、喬治亞首都提比里斯大街上極速狂飆外，網友早先笑稱這個團隊只差還沒上太空，這一集立刻實現，肯定掀起熱烈話題。打從首集的洛城改裝車大賽開始，「玩命關頭」系列經過20年不斷蛻變，馮迪索扮演的唐老大與眾弟兄們上天下地、無所不能，幾乎要讓「不可能的任務」湯姆克魯斯或是007汗顏。這回唐老大碰上疏遠多年的弟弟雅各，為了避免雅各毀滅世界的陰謀得逞，橫跨歐亞兩大洲對決，尤其高潮決戰，飛車、飛機、火箭齊出，超強磁力裝置更把車子變成大磁鐵，讓被吸引而來的其他車輛宛如砲彈連發，漫威影片中的萬磁王也望塵莫及。因為政治因素，喬治亞拒絕台灣護照入境，大多數寶島觀眾也只能透過「玩命關頭9」欣賞當地風光，成為另一大不可錯過的看點。在第3集「東京甩尾」中已被賜死的韓哥，由於4、5、6集時間設定上是「東京甩尾」前傳，再度現身後愈來愈受到觀眾歡迎，因此本集讓他起死回生，還跟日本女孩發展出類似父女的微妙感情，連「東京甩尾」幾位要角都加入愈來愈壯大的唐老大團隊。除了這些老面孔外，「玩命」系列的「姑嫂雙嬌」喬丹娜布魯斯特、蜜雪兒蘿利格茲再度聯手出擊，兩大奧斯卡影后海倫米蘭與莎莉賽隆也分別展現老謀深算與陰險狡詐的惡女面貌。近期憑手遊廣告在台知名度暴衝的卡蒂B亦來助陣，觀眾保證看得目不暇給。,聯合報
2021-04-29,梅伊馬斯克的風格人生,在化妝品廣告裡，梅伊馬斯克招牌的銀色短髮配上爽朗笑容，絲毫不在意大笑而產生的皺紋。圖╱摘自MayeMusk IG                    在化妝品廣告裡，梅伊馬斯克招牌的銀色短髮配上爽朗笑容，絲毫不在意大笑而產生的皺紋。圖╱摘自MayeMusk IG                                    梅伊馬斯克（Maye Musk）絕對是當代女性愈活愈精彩的最佳實證。1948年出生於加拿大，1950年隨父母移民至南非，1970年與前夫Errol Musk結婚，他們的兒子就是現今全球首富，Tesla的執行長Elon Musk伊隆馬斯克。在許多媒體的報導裡，梅伊馬斯克經歷過家暴與一貧如洗的生活，是什麼讓她重新站起來，在72歲的今天，依舊保持一個持續冒險的，年輕的心？「我不怕變老的原因之一，是因為在我的人生裡，下一個10年一直比上一個10年更好」，在2019年最後一天出版的個人回憶錄：「女人的計畫 A woman makes a plan：Advice for a Lifetime of Adventure，Beauty，and Success」裡，梅伊馬斯克分享了自己對於冒險，美麗和成功的看法。其實這三者之間，是相輔相成的；沒有冒險就不會有成功，沒有成功也很難有美麗。1979年離婚之後，梅伊馬斯克在兼職模特兒工作，考營養師學位，與單親媽媽這三個角色中不斷轉換，這也許是她人生中最辛苦的一段日子。梅伊馬斯克曾經在1969年參選過南非小姐的比賽，在往後的歲月裡，模特兒一直是她兼職的工作。「誰會想到成了銀髮族之後會一炮而紅呢？我15歲時，他們告訴我模特兒生涯到18歲就會結束，如今71歲了，卻是我這輩子最搶手的時候。」梅伊馬斯克在回憶錄裡這麼說。梅伊馬斯克很早就接觸了模特兒這個行業，但她的成名作，卻都是在50歲以後發生的事。在美國維珍航空的廣告裡，梅伊馬斯克穿著一身白色西裝，啜飲著香檳；在化妝品Cover Girl的廣告裡，她換上了黑色露肩禮服，招牌的銀色短髮配上爽朗的笑容，絲毫不在意大笑而產生的皺紋。梅伊馬斯克也玩Instagram，她的帳號mayemusk目前有超過40萬的追蹤者，在這裡有她的工作紀錄，也有她的日常生活照。2016年在紐約的Met Gala晚宴，她穿上韓國設計師Yuna Yang為她量身訂製的藍色褲裝，背後還加上一條同色系的藍色蕾絲裙擺。2017年的Vanity Fair年度奧斯卡派對上，梅伊馬斯克與兒子伊隆馬斯克共同出席，這次她穿的是一件皮革編織的晚禮服，配上同色系皮草外套，充分展現了屬於69歲的雍容華貴。「如果你能從我身上學到任何東西，我希望是這件事：無懼變老，並和其他不怕變老的朋友來往。」這也許是梅伊馬斯克的回憶錄裡，最令人受用的一句話。時尚僅是個人風格的一個部分；一頭銀髮，一個笑容，一顆勇敢嘗試新鮮事物的心，這些才是梅伊馬斯克最迷人的風格。,聯合報
2021-04-29,阿諾狠批奧斯卡獎無聊 浪費很多人才,尹汝貞以「夢想之地」拿下奧斯卡獎最佳女配角。（歐新社）                       阿諾史瓦辛格向來直率敢言。圖╱福斯提供                    尹汝貞以「夢想之地」拿下奧斯卡獎最佳女配角。（歐新社）                                    73歲阿諾史瓦辛格向來直言，他日前接受知名主持人吉米金莫採訪，提到他看了奧斯卡頒獎典禮，覺得過程非常無聊，「典禮至少有3個多小時，但我只看了1小時就關掉電視」。阿諾砲火猛烈，說節目冗長沉悶，根本看不下去，「明明主辦單位找來這麼多充滿才華的影人製作，結果卻這麼無聊，他們明明都很厲害，卻把典禮搞到讓人昏昏欲睡」，更揶揄這屆典禮都改至有82年歷史的聯合車站舉辦，依舊乏人問津，「下一次不如改到旅行勝地聖塔莫尼卡海灘舉辦吧，可能還會比較多人」。同為73歲的韓國資深影星尹汝貞，以「夢想之地」拿下奧斯卡最佳女配角，締造韓國演員首位獲得該獎的創舉，她獲獎後接受美媒「NBC News」採訪，直言對好萊塢沒憧憬，「我去美國，只是去見一下住在那邊的兒子」，自承連奧斯卡的會後派對都沒去，「腳太痛又很累，馬上就回家了，一直躺在床上」，幽默又率真的言論令網友喜愛。尹汝貞在全球暴紅，亦有韓媒挖出她小8歲的妹妹尹汝順，是南韓知名企業LG的首位女性CEO，還曾推出自傳「優雅奪冠的女人」，提到自己過往在職場時所遭受的歧視與困境，但自己仍然努力闖出一片天，過程相當勵志，讓不少網友讚賞尹家是韓國之光，姊妹都為韓國貢獻不少光榮。,聯合報
2021-04-28,奧斯卡收視探底 影帝爆冷被罵翻,查德威克鮑斯曼以遺作「藍調天后」角逐奧斯卡影帝意外落馬。(路透)                       安東尼霍普金斯以「父親」獲得奧斯卡最佳男主角。(路透)                    查德威克鮑斯曼以遺作「藍調天后」角逐奧斯卡影帝意外落馬。(路透)                                    第93屆奧斯卡金像獎頒獎典禮北美收視再往下探底，平均觀眾人數跌破千萬，較去年滑落近6成。大多數評論對如此慘況毫不意外，批評典禮氣氛平淡沉悶、絕少亮點，特別挪到壓軸頒發的影帝大獎居然賽果出乎各方意料，連得主安東尼霍普金斯都沒猜到自己會獲獎而缺席，則是最受到抨擊的爭議點。早先已故的黑人男星查德威克鮑斯曼以遺作「藍調天后」橫掃一堆前哨獎的最佳男主角殊榮，遺孀泰勒西蒙每一回上台代夫致詞都讓一堆影迷落淚，他也被視為獲得奧斯卡影帝呼聲最高的入圍者。大多數歐美評論推測主辦單位一定想賭查德威克再度獲獎，好讓泰勒西蒙的致詞為典禮帶來動人的收尾，不料美國影藝學院會員居然選出「父親」安東尼霍普金斯成為最佳男主角，美意落得自討沒趣，還成各方笑柄，更激怒查德威克的粉絲。「好萊塢報導」嘲諷：「至少大家都知道，奧斯卡計票單位真的沒有事先洩露給主辦單位知道。」安東尼霍普金斯在獲知得獎後補發的感言，特別向查德威克致意，展現前輩風範，查德威克的大哥回應他絕對沒有被辜負，倘若他還在世，會是第一個向安東尼恭喜的人，要是他勝出，相信安東尼也會祝福他。,聯合報
2021-04-28,吳興國暴風雨好兆頭,總導演徐克(左起)、執行導演吳興國、美術設計葉錦添、編舞林秀偉共同打造「暴風雨」。圖╱當代傳奇劇場提供                       施宏駿(左起)、楊瑞宇、吳興國、林秀偉、朱柏澄、黃若琳造型、姿態都很搶眼。圖╱當代傳奇劇場提供                    總導演徐克(左起)、執行導演吳興國、美術設計葉錦添、編舞林秀偉共同打造「暴風雨」。圖╱當代傳奇劇場提供                                    跨界戲劇大師吳興國經典劇目「暴風雨」，宣告將於國家戲劇院進行封箱演出，27日包含吳興國、林秀偉夫妻在內，全體團員皆扮裝登台，場面熱鬧精彩。巧的是，原訂這場記者會要以林秀偉的一段舞蹈來祈禱天降甘霖、滋潤缺水的台灣土地，沒想到記者會前就下起滂沱大雨，劇團相信這是「遇水則發」的好預兆。魔幻歌舞劇「暴風雨」是吳興國繼劇作「李爾在此」後第二個封箱作品，該劇改編自莎翁同名鉅作，由吳興國與徐克聯手執導，將京劇、音樂劇、原住民歌舞等不同的表演形式融合，故事以復仇開始，以寬恕作結尾，講述魔法師波布羅製造了一場暴風雨和船難，喚醒仇人的良知，並成全女兒與仇人之子的美好姻緣。除了吳興國與徐克雙導演的黃金組合，合作多次的奧斯卡金獎設計葉錦添，不僅設計服裝，這次為「暴風雨」打造炫目魔幻舞台，值得注目的是，吳興國扮演的魔法師身上的長袍，是葉錦添率領3位裁縫師，日以繼夜的花了3個月縫製而成，吳興國的另一半林秀偉則包辦舞蹈編排，別出心裁的將京劇身段與原住民歌舞結合。提到封箱作，吳興國感性地說，「『暴風雨』是莎士比亞寫的最後一個作品，他退休的時候47歲，我今年已經68歲了。」會有退休的想法，一方面希望在身影最華麗時告別，二方面希望能交棒，「想想2004年跟我一起演出『暴風雨』的那些夥伴們，如今都是非常專業、大師級的演員了，所以是時候規劃我的退休、交給他們傳承，也邀請所有的粉絲們一起進劇場，見證這一切。」,聯合報
2021-04-28,瑞莎攜女拍廣告 與男躺床有障礙,瑞莎出席寢具代言活動。圖╱3M提供                       瑞莎愛女Nika（左）。圖╱3M提供                       張文綺(左)和張媽媽一起出席活動。圖╱時代創藝提供                    瑞莎愛女Nika（左）。圖╱3M提供                                    名模瑞莎與鞋業小開Mike結婚6年，育有4歲女兒Nika，她首次和女兒合體代言寢具，母女倆拍廣告時趣事一籮筐，笑言女兒平常很有表演欲，「感覺都可以得奧斯卡了！」但拍攝時，因必須與一男模躺在床上，營造家庭氣氛，女兒竟「罷工」半小時，十分排斥地說：「我不認識他！我不要跟他上床！」讓瑞莎哭笑不得。嫁作台灣媳婦，瑞莎自認個性保守，老公反而比較像美國人，在性格互補下，經過磨合，彼此愈來愈像，如何維持異國婚？她和老公約定每周五將孩子交給長輩帶，夫妻一起去看電影、吃飯，享受專屬於夫妻的共有時間，是否生二寶？她笑稱的確有在想，但一切隨緣，倒是女兒一直想要有個玩伴。而張文綺日前出席調理機一日店長的活動。母親節將近，張文綺說打算送調理機給媽媽當禮物。另外張文綺還提前一個月就跟公司告假，將帶爸媽前往澎湖渡假，同時也邀請了許多好友家人齊聚。,聯合報
2021-04-27,性感蠻腰 誘惑深V 搶當小金人女神,寶格麗品牌代言人千黛亞配戴BVLGARI頂級黃鑽與鑽石項鍊出席紅毯。圖╱寶格麗提供                       瑞絲薇絲朋身穿Dior 2021秋冬紅色垂墜扭結設計禮服，像是希臘女神的現代化身。(美聯社)                       瑪格羅比以香奈兒2019秋冬高級訂製服現身，搭配香奈兒手拿包與高級珠寶。(美聯社)                    瑞絲薇絲朋身穿Dior 2021秋冬紅色垂墜扭結設計禮服，像是希臘女神的現代化身。(美聯社)                                    做為全球矚目的電影圈年度盛事，奧斯卡與會明星的紅毯造型年年都是焦點之一，今年紅毯上的衣著也反映出疫情現況，不見濃厚奢華貴氣，反而是以簡單的重點細節穿出隆重感，女星偏愛露腰、深V剪裁的禮服，色調以金屬色系和大紅色為主。瑪格羅比以香奈兒2019秋冬高級訂製服現身，細肩禮服上滿滿的銀色亮片花朵，搭配低馬尾造型看來慵懶優雅。凱莉墨里根的Valentino 2021春夏高級訂製金色亮片露腰禮服很有「小金人獎座」的既視感，由無數金色亮片緊密排列組成的細節也非常精緻；同樣選穿Valentino訂製露腰裝的千黛亞，則以亮黃色飄逸禮服帶來一絲度假風情。安德拉戴的Vera Wang金色禮服，斜角度中空設計搭配若隱若現的裙襬，格外性感火辣，另外像是凡妮莎寇比，也選擇Gucci的簡約風露腰禮服典雅登場。亞曼達塞佛瑞穿上大紅色烏干紗Armani 2021春夏高級訂製禮服出席，這件衣服當初在秀場上展演的是帶點神祕感的寶藍色，換成大紅色反而注滿熱情，也增添艷麗明媚的女人味。瑞絲薇絲朋的Dior 2021秋冬紅色垂墜扭結設計禮服，像是希臘女神的現代化身。韓國女星韓藝璃穿上Louis Vuitton的紅色排釦高領削肩晚宴洋裝展現超強氣場，薇拉戴維絲和蕾吉娜金恩，則是紛紛以Alexander McQueen和Louis Vuitton的雕花、訂製公爵夫人緞質羽扇蓬袖禮服穿出繁複裝飾魅力。穿Louis Vuitton訂製白色絹網緞面洋裝的瑪麗亞巴卡洛娃，很像一尊夢幻甜美的娃娃。今年備受關注的韓國女星尹汝貞，以Marmar Halim鴨藍色訂製款禮服現身，兩個口袋的設計更顯年輕有型。葛倫克蘿絲的Armani寶藍色特別訂製款長袖禮服，則是運用細碎亮片裝點低調華麗並搭上絨布褲裝和手套，俐落中不失貴氣優雅。黃鑽更襯膚色 白鑽優雅百搭黃鑽是今年奧斯卡紅毯珠寶最令人意外的主角。年輕一代的女星如紅毯資優生亞曼達塞佛瑞、「蜘蛛女」千黛亞，以及因飾演傳奇爵士女星比莉哈利戴而入圍最佳女主角的安德拉戴，都巧妙選擇透過黃鑽配襯自己獨特的膚色。其中，身為寶格麗代言人的千黛亞，更是搶先戴上品牌即將於今年夏季才要發表的年度頂級珠寶Magnifica系列珠寶，項鍊主石為一枚艷彩等級的6克拉黃鑽，配上鑲嵌總重約9.4克拉的2顆梨形切割濃彩黃鑽耳環，以及21.14克拉枕形切割黃鑽戒指，氣場驚人。今年有許多演技派的資深女星入圍，多選擇配戴經典的白鑽珠寶，詮釋不過分搶戲又優雅的搭配。像是以電影Minari「夢想之地」奪得最佳女配角的「韓國梅莉史翠普」尹汝貞，以蕭邦藍寶石鑽石戒指、鑽石手鍊與耳環，搭配杜拜設計師Marmar Halim的深藍色高級訂製服；同樣入圍女配角的資深影后奧莉薇亞柯爾曼，也是選擇配戴蕭邦的白鑽鑽石襯托一襲簡約的鮮紅禮服。不過白鑽的優雅體面與高搭配性，也是許多喜愛極簡主義風格女星的最愛，例如亞莉安娜黛博塞就以簡約的海瑞溫斯頓白鑽來彰顯亮橘色禮服的俐落線條；凡妮莎寇比更是直接將一條垂墜7.04克拉橢圓形主鑽的項鍊反戴；瑪格羅比則以垂墜珍珠流蘇的緞帶蝴蝶結耳環，完成金屬光澤刺繡禮服的整體造型。,聯合報
