publish_date,title,content,press
2020/02/16,梳髮繫家庭 平反黑人印象 《Hair Love》獲最佳動畫短片獎,"                【王寶兒／台北報導】<font class=""item_keyword"">奧斯卡</font>頒獎典禮落幕，獲得最佳動畫短片獎的《Hair Love》，由曾是美式足球員的馬修．切爾瑞執導，以一位父親為女兒梳髮的日常小事，繫起家庭親密情懷。繼已故NBA球星布萊恩後，切爾瑞成第二位獲<font class=""item_keyword"">奧斯卡</font>最佳動畫短片獎的運動員，他感性表示，「這個獎項獻給柯比，希望我們人生第二階段都能像他一樣精采。」身兼編導二職的切爾瑞，曾受外媒採訪提及《Hair Love》創作靈感，他說，「許多黑人父親早在網路上分享為女兒編綁頭髮的過程，但只要我分享他們的影片，許多人都表現得很反常，好像當爸爸與孩子一起總會發生甚麼事，或是需要獲得額外的獎勵，但媽媽卻理所當然似的。」切爾瑞表示，作品無疑是表現黑人家庭的好機會，也能為主流印象的黑人父親平反，「在主流媒體中，你會認為黑人父親永遠不在小孩身邊，我希望利用動畫建立一個黑人家庭，讓大眾沉浸故事中，就像大家喜歡《可可夜總會》和《海洋奇緣》一樣。」在《Hair Love》中，小女孩祖麗迎來日曆圈起的特別日子，滿心期待的跟著部落客美髮影片步驟，試圖打理頭髮，結果一蹋糊塗。心急的父親，將祖麗蓬鬆捲髮視為擂台上的怪物，拿著梳子節節敗退，一度想放棄的他，奇蹟似從部落客影片得到幫助。原來部落客正是祖麗的母親，這讓祖麗父親能在熟悉聲音中，一步步為女兒紮起髮型，最終與祖麗一起到醫院，探望因生病失去頭髮的妻子。不到7分鐘的動畫短片，完整呈現祖麗一家的真摯情感，令人動容。                                ",中國時報
2020/02/16,《寄生上流》幕後推手 將K-pop帶進歐美 CJ副會長李美敬 把韓流推上主流,"                【報導徐定遠／】導演奉俊昊的《寄生上流》在10日揭曉的第92屆<font class=""item_keyword"">奧斯卡</font>頒獎典禮上，史無前例地成為首部贏得最佳影片獎的非英語電影，在致謝詞時，有位矮小韓國婦人正要發言，麥克風卻因轉播超時而縮下舞台，但在湯姆漢克（Tom Hanks）、莎莉賽隆（Charlize Theron）等巨星帶領的全場歡呼下，這位婦人終能以流利英文完成謝詞，但不少觀眾納悶，這個看起來和藹的女人到底是誰？自稱是Miky Lee的婦人看似平凡卻來頭不小，作品產量不多的奉俊昊至今只拍過8部片，她是《殺人回憶》、《非常母親》、《末日列車》以及《寄生上流》的重要投資人，更是韓國電影在國內與國外蓬勃發展的推手，連K-pop的制霸全球都要歸功給她，她是三星集團創辦人李秉（吉吉）的孫女、現任CJ集團副會長李美敬。李秉（吉吉）1987年過世時，他將集團最有前景的三星電子交棒給三子李健熙，與父親不合的長子李孟熙則被分配到CJ集團，CJ的意思是「第一製糖」，是個傳統的食品製造企業，此舉被視為父親甩的最後一個巴掌。李孟熙的長女李美敬雖從小養尊處優，卻有著對藝術、尤其是電影的龐大熱忱，奉俊昊說：「李副會長是電影、電視、音樂的大粉絲，她是真正的影癡，看過無數電影，更將她美好的熱情帶到了商場的世界中。」推動CJ轉型娛樂業李美敬的弟弟李在賢後來接棒成為CJ集團會長，李美敬則是CJ慢慢由食品集團改造成如今韓國最著名的娛樂集團的影武者，起點發生在1995年，那時在李美敬主導的新子公司CJ娛樂的牽線下，CJ集團投資了史蒂芬史匹柏（Steven Spielberg）的夢工廠影業，取得夢工廠電影除日本外的亞洲發行權。但當時韓國並沒有像樣的電影院，李美敬的下一步便是在當地規畫興建豪華的連鎖影城CJ CGV，不僅能播放外國電影，更能投資韓國導演的作品並給他們能發亮的舞台；韓國片當時只占總票房10％，如今卻已占逾50％，而CJ CGV如今仍是韓國最大的連鎖影城。為推銷韓電影奔走李美敬的目標不只是讓韓國電影在國內蓬勃發展，她更想要整個世界都看到韓國電影的魅力。李美敬1980年代在哈佛大學攻讀東亞研究碩士，並在校內擔任韓語講師，但令她傷心的是，當時的學生寧願學習感覺比較酷的日文，或比較有用的中文，她幾乎招不到學生，李美敬說：「讓我決定用一生推廣韓國文化的起點就是那個時刻。」「我以前會帶著DVD去拜訪華納、環球、福斯，跟任何願意給我機會的人推銷韓國電影、韓國電影、韓國電影。」李美敬為了鍾愛的韓國電影在好萊塢四處奔走，但在1990年前，韓國電影在世界影壇幾乎沒有任何存在感，「沒有人認為韓國片夠好，根本乏人問津。」轉捩點發生在2004年，當年由CJ娛樂投資、朴贊郁執導的《原罪犯》為韓國拿下第一座坎城影展評審團大獎，李美敬說：「從那時候開始，我就再也不需要為韓國電影多做辯護。」辦音樂會推動K-popK-pop在1990末期開始席捲亞洲，但一直要到2010年後才征服了歐美，李美敬則是其中的重要要關鍵。她在參加一場格鬥比賽的會議時忽然靈光一閃，「哇！K-pop也可以這樣做！」她認為單一的K-pop組合很難單槍匹馬打進語言不通的市場，但若像格鬥技比賽一樣，結合不同團體輪番上陣，就會成為一個像嘉年華般的盛會。李美敬的想法花了10年才終於完成，CJ集團子公司CJ E ＆ M於2012年在美國加州舉辦了首屆的KCON韓國音樂祭，邀請了當年最紅的4Minute、B.A.P、Exo-M、Nu’est、VIXX、G.NA等團體正式進攻美洲市場。如今KCON繼續每年舉辦，且一年巡迴全球多國，足跡遍及日本、阿拉伯聯合大公國、法國、澳洲、墨西哥等，至今參加過的歌迷已逾百萬。KCON不僅是歐美粉絲近距離接觸K-pop的盛典，也是他們認識韓流團體的管道，連當下最紅韓團BTS的成功都與李美敬脫不了關係，2014年BTS在美國的首場演唱會，是場觀眾僅有200名的免費演出，但他們在美國的第二場演出就是同年的KCON，不僅是BTS在美國的首場售票演出，更是在觀眾逾4萬人的舞台上，展開了BTS征服全球的奇妙旅程。打造電影創作環境如今李美敬將韓國電影推上了全球的殿堂，但她的腳步並沒有停歇，CJ目前有17部英語電影正在製作中，但繼續奪獎並非她的目標，「這種事要靠創作力，不是刻意做得出來的。」像是種傳說中的生物般，李美敬是個懂電影人的企業家：「我們一直在鼓勵韓國的創作者、電影人、導演，我們唯一要做的就是多拍片、多花錢。」CJ CGV影城會特別播映韓國的藝術電影，讓韓國的新導演有出發的起點，李美敬認為當務之急是提供韓國影人更好的創作環境，而不是盲目地在追逐第二部《寄生上流》，「我們必須呵護並鼓勵他們往前進，這是我們的工作，現在有很多人都被啟發。」奉俊昊在<font class=""item_keyword"">奧斯卡</font>連拿4獎後，被韓國稱為「韓國的李安」，或許，台灣急需要的是一位「台灣的李美敬」。                                ",中國時報
2020/02/16,超模挑大梁 《吹哨奇案》扮雙面諜 卡特琳娜免清場 自導床戲一次OK,"                【報導江珮瑜／】曾在福特超模大賽勇奪亞軍頭銜的34歲歐洲超模卡特琳娜馬龍（Catrinel Marlon），在電影《吹哨奇案》飾演一名遊走於黑白兩道之間的蛇蠍美人，擁有天使面孔、魔鬼身材的她，首次獨挑大梁演出，片中貢獻火辣全裸床戲，拍攝時毫不扭捏，更霸氣表示不用清場，只拍一次就搞定。導演柯內流波蘭波宇（Corneliu Porumboiu）想要尋找一位能夠讓觀眾留下強烈存在感的女主角，卡特琳娜第一次試鏡時，導演要她示範如何霸氣「抽菸」，結果她輕鬆自如地完美詮釋，讓導演毫不猶豫地就選擇了她。床戲抓住觀眾焦點《吹哨奇案》開場不到10分鐘，有一場極為火辣的全裸床戲，這場18禁的劇情是描述身為雙面間諜的女主角為了提供機密資料，不惜犧牲色相假扮成妓女，用「身體」來通風報信給男主角。導演在拍攝前不斷跟男、女主角反覆溝通，男主角弗拉德伊凡諾夫（Vlad Ivanov）也十分焦慮，怕會放不開，反而是卡特琳娜率先直說「不用特別清場」，還親身指導這場關鍵床戲，告訴導演什麼角度拍才能夠讓觀眾覺得「好看」，表現大方又專業。床戲部分一次到位，事後導演十分謝謝卡特琳娜，大讚她相當敬業，並表示：「這場床戲揭開了這部電影的序幕，這跟一般傳統電影說故事方式很不一樣。以往性感蛇蠍女人在任何電影中，都被認為是毫無作用的花瓶，但我刻意以開場讓觀眾進入狀況，用火辣床戲抓住焦點後，看電影的過程中，漸漸會明白這位蛇蠍美人其實是大有來歷，甚至影響到整部電影的結局。」一舉一動皆被掌握《吹哨奇案》由坎城影展最佳首部作品金攝影機獎得主柯內流波蘭波宇執導，劇情講述過著雙面人生的無間警探，長年爽拿黑白兩道好處，某日兩邊卻同時盯上了他，而身旁還有一位跟他大搞曖昧的蛇蠍美人伺機而動。在這個電子監控無孔不入的時代，一舉一動都被雙方全盤掌控，他將得設法在踉蹌入獄或變成「消波塊」之前殺出生路。《吹哨奇案》代表羅馬尼亞出征今年<font class=""item_keyword"">奧斯卡</font>金像獎的最佳國際影片，導演翻轉形式、跳脫剪輯定律，用東歐冷幽默演繹出一場意外浪漫的諜戰大戲。該片21日在台上映。                                ",中國時報
2020/02/15,《悲慘世界》致敬雨果 掀150年來社會黑幕 取材巴黎暴亂事件 國際影展票房雙贏,"                【報導李承陽／】法國電影《悲慘世界》（Les Miserables）入圍<font class=""item_keyword"">奧斯卡</font>最佳國際電影十強、金球獎最佳外語片並勇奪坎城影展評審團獎，在全球各影展均有斬獲，而電影名稱和法國大文豪雨果著作《悲慘世界》同名，是導演拉德利（Ladj Ly）向雨果的致敬，更巧的是，拉德利的出生地，正是雨果埋首寫出《悲慘世界》的所在地。拉德利在巴黎人口中的「危險禁區」蒙費梅伊區（Montfermeil）出生、成長，那裡類似巴黎的黑人區，不僅觀光客不會去，連巴黎當地人都聞之色變，拉德利選擇在這拍攝，也是想傳達自雨果寫下《悲慘世界》，到他掌鏡拍攝《悲慘世界》，人類文明往前走了150年，歧視、不平等、膚色階級等事實，依舊存在這個世界上。觀眾觀後好評不斷電影《悲慘世界》取材自2005年10月的巴黎暴亂事件，是一部警惕當代社會的震撼之作，被美國名導麥可摩爾（Michael Moore）力讚是「黑暗時代的良心之作」，也創下法國發行商Le Pacte成立以來的最高票房，觀眾反應熱烈程度甚至二、三刷。在台試映座無虛席不僅在國外，該片2月在台北真善美舉行試片時，雖然遇上新冠肺炎襲台，但影廳內200個位置仍座無虛席，不少影人戴著口罩也要來觀摩，看這部雖然不是鉅製，卻充滿巧思、被譽為法國電影年度最大驚喜的影展強片。電影劇情以一架空拍機意外拍到不可說的真相展開，重現小說魔咒般的殘酷寓言，場面驚心動魄，事件環環相扣，不僅吸引前法國第一夫人卡拉布魯尼（Carla Bruni）到場觀影，連總統馬克宏（Emmanuel Macron）都奉上祝賀，在法國上映創下100多萬觀影人次、高達4億多台幣的票房佳績。本片是導演拉德利的處女作，原先僅是入圍法國凱撒獎的一支短片，拉德利將其擴展為電影格局，更以截然不同的兩場「街頭運動」作為開場與結束，開場的「舉國歡騰」，法國首度贏得世界盃冠軍，人人不分彼此、街頭瘋狂擁抱；結束則落在「巴黎暴動」，一夜狂歡後，膚色與階級終究還是這個社會難以迴避的問題，全片劇情猶如走鋼索般，高潮迭起、出人意外。拉德利也因執導這部片一戰成名，獲譽「法國的史派克李」，去年11月赴美宣傳時，更獲史派克李本人的力挺，史派克李對《悲慘世界》讚不絕口，並在電影海報上簽名推薦，讓拉德利十分感動。電影21日在台上映。                                ",中國時報
2020/02/14,義大小金人 頒贈後醫系外籍生,"                【林雅惠／高雄報導】每年電影界盛事<font class=""item_keyword"">奧斯卡</font>金像獎頒獎典禮才剛落幕，小金人獎落誰家總引發熱烈討論；而南台灣義守大學，每年也有一場「小金人」頒獎儀式，由教授蔡金川贈送學生「小金人」，雖不及好萊塢華麗，但象徵師徒相傳的情誼，格外溫馨感人！義守大學的「小金人」頒獎儀式由義大學士後中醫學系教授蔡金川主辦，他為了鼓勵即將離開台灣的「學士後醫學系外國學生專班」學生，各自回到母國後仍能記得來台學習的種種，因此連續多年，在教授中醫導論課程結束時，均會贈送每位修課學生一人一座「小金人」，十分珍貴。義大指出，這些「小金人」其實是中醫院常見的十八銅人像經典版，高約54公分；蔡金川教授表示，每年他都會訂製一批送給即將回國的學生，一方面希望他們能謹記在義大學習的中醫相關知能外，另方面藉此傳承師生情誼，期望未來能保持聯繫，一同為國際醫療盡一份心力。目前亦擔任義大醫院中醫部部長的蔡金川教授，平日經常帶領年輕醫生與學生團隊擔任志工，前往社區或醫院指導練習「八段錦」簡易版本，並同時拍攝影片協助自主練習，也會鼓勵後醫系外國學生推廣給各國的民眾，希望藉此提供更多人居家伸展筋骨參考，有助增強身體抵抗力。                                ",中國時報
2020/02/13,我見我思 當寄生上流成主流,"                【■黑鳥麗子／】導演奉俊昊以韓國片《寄生上流》抱回4座<font class=""item_keyword"">奧斯卡</font>獎，包括年度最大獎的最佳影片。過去最佳影片從沒頒給非英語發音的電影作品，沒想到《寄生上流》打破膚色、語言與文化差異的巨大隔閡寫下紀錄，原來「貧富差距」已是世界各地觀眾的共同語言。《寄生上流》劇本精巧、處處呼應，而且娛樂性十足。前半段是騙子家族一家四口喬裝彼此是陌生人，靠著假身分互相掩護、寄生在富有、善良且相信「信任鎖鏈」的上流家庭裡。一連串的小謊話換來一家人如魚得水、改頭換面的好運人生，簡直是魯蛇家庭奇蹟翻身的勵志故事。沒想到在大雨夜裡，前任幫傭忽然來敲門求助，說自己忘了帶走某樣東西，意外揭開祕密底下還藏著另一個祕密。原來這部電影不是一部關於「兩」家人的故事，因為共有3個家庭牽涉其中！這3家人的演出都極度精彩，讓人性的無奈化成種種笑點。逆轉又逆轉的情節發展讓人坐立難安、提心吊膽，巧妙堆砌的環環圈套中其實沒有一個人是壞人，也沒有人計畫著惡行，最後卻無可避免以暴力將一切歸零。更諷刺的是這個暴力被媒體誤讀為「無差別殺人」！貧富差距不是新鮮題材，2008年<font class=""item_keyword"">奧斯卡</font>最佳影片《貧民百萬富翁》讓印度貧窮青年在挫敗傷痛中成長，甚至成為他連連闖關成功的原因；但《寄生上流》不同，奉俊昊的鏡頭不只說一個故事，還說出了一個與你我都迫切相關的故事。他以「氣味」切入，陋屋中可見吊掛在房子裡潮濕、難乾的襪子，帶出窮人有種不像蘿蔔乾、不是老人味、也不是消毒水的「窮人臭」。有錢人家的幼兒很快聞出看似不相識的4個人有著共通的氣味，而有錢老公私下對老婆說，「這就是地鐵裡常聞到的味道」，讓觀眾驚覺原來不搭地鐵的有錢人，是這樣看待日日夜夜擠車上班上學的我們啊！什麼都不必說出口，他們甚至不需要語言，只要遮遮鼻孔，就代表了千言萬語。有些電影愛好者覺得《寄生上流》在藝術表現上並不特別贏過戰爭片《1917》，很為《1917》扼腕抱屈，當然，《1917》的鏡頭精巧、場面調度離奇高明，真可說是巧奪天工。但也剛巧可以看出《寄生上流》、甚至韓國流行文化的獨特調味，是如此親近、如此逗趣卻又強烈到令人印象深刻，實在很難抗拒。就像本片投資老闆李美敬所說，她的夢想是「全世界的人每周吃一次韓國菜，時常聽韓國音樂，一年看兩次韓國電影。」我想，在此就不必多說什麼韓國能，台灣能不能之類的廢話了！（作者為作家）。                                ",中國時報
2020/02/12,缺乏亮點靠《寄生上流》救援 奧斯卡收視率創新低,"                【報導江珮瑜／】第92屆<font class=""item_keyword"">奧斯卡</font>金像獎頒獎典禮落幕，然而今年收視率卻創下歷史新低紀錄，廣告商最重視的族群18-49歲收視率僅5.3，收視人口約2360萬，比起去年減少590萬人，是尼爾森收視調查自1974年進行統計以來最慘的一次。<font class=""item_keyword"">奧斯卡</font>頒獎典禮連續第二年沒有主持人，3個半小時的節目被批隨興、缺乏連貫性，各大媒體皆無好評，《Deadline》寫道「典禮是了無生氣的馬戲團」；《紐約時報》則稱「這場典禮像是無頭馬車」；《綜藝報》則認為<font class=""item_keyword"">奧斯卡</font>最終由《寄生上流》神救援，該片獲獎時帶來的感動與喜悅，終於讓典禮出現亮點。根據尼爾森（Nielsen）10日公布的數據，由美國廣播公司(ABC)轉播的<font class=""item_keyword"">奧斯卡</font>典禮，收視率比前一年跌了20%。除<font class=""item_keyword"">奧斯卡</font>外，今年重要獎項包括艾美獎、金球獎和葛萊美獎的收視率全數走跌，艾美獎收視人數更減少32％。外媒指出，儘管<font class=""item_keyword"">奧斯卡</font>仍維持在最多人收看頒獎典禮的龍頭寶座，但仍反應出傳統電視觀眾的收視習慣，呈現整體性的衰退。                                ",中國時報
2020/02/12,myVideo看奧斯卡作品 送10元看片金,"                【陳大任／】《寄生上流》今年在<font class=""item_keyword"">奧斯卡</font>舞台大放異彩，myVideo昨日關鍵字搜尋量1小時內暴增3倍，坐上本周myVideo付費電影榜冠軍。myVideo表示，包括《寄生上流》、《小丑》、《從前，有個好萊塢》等<font class=""item_keyword"">奧斯卡</font>得獎作品皆已上架，並特別規畫「看片成金」活動，凡符合指定條件的會員，觀看myVideo「<font class=""item_keyword"">奧斯卡</font>電影專區」今年任一部入圍及得獎作品，每看一部就贈送10元看片金，看越多領越多。                                ",中國時報
2020/02/12,CHANEL搶獎失利 莎莉賽隆扮小金人吸睛,"                【報導徐亦橋／】<font class=""item_keyword"">奧斯卡</font>頒獎後，由雜誌《浮華世界》舉辦派對每年都星光閃閃，華麗金色系成與會女星的最愛，搶女主角獎失利的莎莉賽隆、女配角獎無緣的佛蘿倫絲普伊分換戰袍，各選穿Dior金色流蘇禮服與Louis Vuitton金色低胸拼接禮服上陣，就算沒搶到<font class=""item_keyword"">奧斯卡</font>獎，自己打扮成美美小金人，同樣搶下不少焦點；由於連同典禮紅毯，連穿2套同品牌服裝，趁機釋出滿滿的誠意，續約或搶下品牌代言更有機會。凱特哈德森穿Vivienne Westwood緹花訂製禮服、潔西卡艾芭的Versace高訂低胸禮服、《藍色比爾街的沉默》琪琪蘭恩的Michael Kors Collection亮片禮服，也同樣以金色閃爆全場，唯一可抗衡的就是黑色系，尤其超模蘿西杭亭頓懷特莉穿Saint Laurent蝴蝶結禮服，典雅又有氣質，成為派對的亮點。                                ",中國時報
2020/02/12,躍升歷史第5 可惜命中率落漆 詹皇罰中數 超車喬神,"                【黃邱倫／綜合報導】湖人昨125比100輕鬆射下太陽，詹姆斯罰球命中數超越「籃球之神」喬丹，成為NBA史上第五人；衛冕軍暴龍的連勝之火一發不可收拾，先發五虎4人得分超過20分，137比126擊退灰狼，15連勝推升隊史紀錄。詹姆斯昨役17分、8籃板、9助攻，4罰2中，生涯罰球命中數達7328個，超越喬丹大帝的7327個，緊追在卡爾馬龍、摩西馬龍、布萊恩以及<font class=""item_keyword"">奧斯卡</font>羅伯生之後，預計下一季就能擠下<font class=""item_keyword"">奧斯卡</font>羅伯生。生涯前三強 很難追得上卡爾馬龍與摩西馬龍兩人都是主打禁區位置，站上罰球線的次數多，加上幾乎是鐵人般壯碩身材，因此能夠雄霸榜單前二，卡爾馬龍生涯出賽1476場、罰了13188次，雙創NBA紀錄。20年職涯都待在湖人的布萊恩，雖然比卡爾馬龍和摩西馬龍出賽場次少了100場以上，但布萊恩憑藉著絕佳投籃手感與83.5%的罰球命中率，高居第三，如無意外，當今NBA所有球員恐怕都無法改寫前三人紀錄。而最厲害的莫過於「大三元製造機」<font class=""item_keyword"">奧斯卡</font>羅伯生了，他只出賽1040場，就創下181次大三元紀錄，更別說83.8%的生涯罰球命中率，可說是NBA史上最恐怖的怪物。從後衛打到禁區幾乎是無所不能的詹姆斯，經常被外界拿來和喬丹比較，這次詹姆斯在罰球這項紀錄上總算力壓喬丹，不過詹姆斯的罰球命中率73.4%卻是排行榜前五人中最低的，也遠遜於喬丹的83.5%。湖人射太陽 暴龍咬灰狼此外詹姆斯的生涯防守籃板加上此役8個，總數來到7744個，超越凱文威廉斯的7769個，NBA史上名列第18，距離第17的保羅喬治還有段差距，本季超車無望。暴龍憑藉57.3%的投籃命中率，加上席亞卡攻下34分、6籃板、5助攻，羅瑞27分、11助攻、7籃板，阿奴諾比25分、12籃板，荷林斯傑佛生21分，在四大先發戰將聯手砍進107分的龐大火力掩護下，輕鬆笑納15連勝，有機會挑戰20連勝里程碑。                                ",中國時報
