publish_date,title,content,press
2016/03/05,《我見我思》李奧納多匍匐前進,"                【黑鳥麗子】李奧納多無疑是本屆<font class=""item_keyword"">奧斯卡</font>最大焦點，但《神鬼獵人》真是部「不容易」的作品，不容易拍、不容易演、看起來更不輕鬆。朋友說驚心動魄、熊演得真好；也有人說這種大場面才值得進電影院欣賞。無論如何，李奧納多以本片拿下影帝，證明演戲的是瘋子，而他，無疑是本屆最瘋的一位。電影改編自19世紀初美國人格拉斯遭熊攻擊、被同伴遺棄雪地卻奇蹟存活的真實遭遇。片中格拉斯熟知原住民習性，受僱擔任皮毛大隊嚮導，半路他遇熊襲擊受重傷，因而影響隊伍撤退速度，同伴原先承諾為他送終，半癱的他卻眼睜睜看著同伴殺害兒子、遺棄自己，在荒山雪地裡掙扎求生，一心復仇。這很像武俠小說的開場，只是格拉斯沒有雪地奇遇，他靠著向原住民學來的荒野求生技術燒火藥讓喉頭傷口結疤、築圍捕魚，「馬屍裹人」存活下來，在同樣家破人亡的善心印地安人（也不是神祕老者或鵰兄）協助下，傷勢一夕好轉，還救了另一個女孩（剛巧是酋長遭人擄走的女兒，但與「風中奇緣」無關），終於一拐一拐回到營區討公道。李奧納多是我輩心中小鮮肉偶像第一代，19年前的《鐵達尼號》全球爆紅卻始終與<font class=""item_keyword"">奧斯卡</font>無緣。上部作品《華爾街之狼》滿嘴髒話、放浪形骸，已經看出他想得獎的企圖心，可惜輸給為戲減重21公斤的馬修麥康納。這次《神鬼獵人》更像苦肉計，徹底放棄外表，滿臉大鬍子，後來更是全身血汙、氣若游絲，卻主控全場讓觀眾透不過氣。當他在雪地裡九死一生、睫毛沾著雪花匍匐前進，戲裡戲外都像宣告，「我什麼都願意做，絕對不放棄。」這樣的演出當然辛苦，且設下更高的得獎門檻。以前演員鑽研角色做功課，從口音、神態下功夫，像梅莉史翠普出了名善用口音塑造角色。本屆威爾史密斯在《震盪效應》巧扮法醫，帶著濃厚的非洲腔追索美式足球明星自殺的幕後真相，劇本與角色都出色，卻連入圍機會都沒有，除了膚色，李奧納多犧牲式的演出，當場讓口音轉換變成小兒科。台灣影壇不缺年輕帥哥，但往往瞬間爆紅成男神卻後繼無力，拿不出代表作。《鐵達尼號》後李奧納多一直想跳脫偶像包袱，一路挑劇本、不重複角色，並且一再自我突破，終於受到<font class=""item_keyword"">奧斯卡</font>肯定。這條明星專屬的「天堂路」是各位男神很好的借鏡。國民黨也可以對號入座，選後形同遭熊攻擊重傷血流至今不止，只剩龐大黨產引起諸多禿鷹、土狼圍觀，同志們早另謀生路去了，重傷的國民黨還有沒有求生意志？是不是還有人在他耳邊鼓勵「只要一口氣在就不放棄呼吸」？龐大卻無用的黨機器還有能力匍匐前進嗎？（作者為自由作家）。                                ",中國時報
2016/03/05,玉婆情牽頂級珠寶 寶格麗祖母綠寶石愛相隨 心心相印卡地亞波頓泰勒鑽,"                【林哲良／台北報導】曾被喻為世界頭號美人的伊莉莎白泰勒從玉女到玉婆，儘管已離世快5年，但其倩影丰采不僅留名青史，多彩多姿情史至今仍為頂級珠寶圈挹注源源不絕靈感與活力，卡地亞、寶格麗等牌宛如護身符般，守護、伴隨著玉婆每段愛情的酸甜苦辣，也因為她，讓許多人見識珠寶、藝術、美麗與愛情交織出的永恆。■愛情蔚為佳話 珠寶成愛的印記「我喜歡配戴珠寶，但那並不是因為它們屬於我。你無法將它們的光輝占為己有，你只能欣賞它們！」玉婆曾如此說道，但在《富貴浮雲》、《埃及豔后》與《大人物》劇中，她屢屢以寶格麗珠寶入鏡，讓珠寶輝芒與她的美豔相呼應。玉婆的愛情也正如珠寶般綻放光芒，早在她與李察波頓那段轟轟烈烈的愛情之前，第三任丈夫麥可陶德就曾送上一套卡地亞紅寶項鍊、戒指與耳環，足見她對珠寶的喜愛，之後，玉婆與李察波頓兩人在都還有家室時陷入熱戀，李察波頓便以Tiffany鑽石海豚胸針見證兩人愛情。也因她與李察波頓那段在當時曾被視為離經叛道，卻又蔚為佳話的愛情，為不少珠寶注入童話般的故事性，李察波頓曾在玉婆拍攝《埃及豔后》時，依序贈送的寶格麗祖母綠鑽石戒指、胸針與項鍊，彷彿成為愛的印記，陪伴玉婆歷經婚禮、<font class=""item_keyword"">奧斯卡</font>金獎與受封爵士等重大時刻。■玉婆魅力無窮 台灣藏家懂欣賞之後，李察也曾在48小時內以百萬美金標下69.42克拉鑽石，即為著名的波頓泰勒鑽，並由卡地亞重新設計，將李察的愛完全體現於珠寶上，伊莉莎白泰勒也曾戴上其擁有的三只伯爵珠寶表之一，與李察波頓一同入鏡，展現愛相隨，在玉婆40歲生日時，李察也送上寶格麗藍寶鑽石項鍊與卡地亞心型印度紅寶石鑽石金鍊，讓每一段愛都有珠寶見證，也因玉婆的愛情，讓世人得以藉由另一角度見證頂級珠寶之美。玉婆魅力無窮，BOUCHERON甚至以玉婆為靈感，以她的小名Liz命名珠寶，大克拉主石鑲嵌方式，一如玉婆的開朗，而此系列珠寶也因特殊鑲嵌方式，僅接受訂製，如同伊莉莎白泰勒般的獨一無二。說到頂級珠寶的光輝，台灣絕對有不少藏家跟玉婆伊莉莎白泰勒一樣懂得欣賞，每年3、4月，至少都會有百億珠寶湧入台灣，瞄準的就是台灣貴客追求獨特大過於克拉數的高藝術水準，別於大陸多以大克拉數作品為主力，台灣金字塔頂端更著重於各場合的搭配與獨一無二、工藝層面，這也讓台灣的頂級珠寶市場永遠在世界占有一席之地。■寶格麗之後 頂級珠寶紛抵台寶格麗搶先於3月初秀出總價約22億頂級珠寶，透過鑽石、紅、藍寶與祖母綠、半寶石等珠寶搭配變化，體現出品牌於1950年代後確立義式風格至今的演變，也宛如宣告，品牌將打破珠寶間的藩籬與階級，讓頂級珠寶得以加入彩色剛玉、紫水晶、綠松石、青金石等半寶石，賦予頂級珠寶設計更多繽紛彩度與創造力。緊接著在寶格麗之後，Van Cleef  ＆  Arpels、Tiffany、卡地亞與伯爵等牌頂級珠寶也都將陸續抵台，為頂級珠寶展季持續掀起高潮。                                ",中國時報
2016/03/04,低碳校園認證 賴清德以李奧納多勉環保,"                【曹婷婷／台南報導】呼應低碳城市願景，台南市成立低碳校園小組，鼓勵各校投入低碳校園認證，3年共137校提出申請，新年度9所低碳校園3日出爐，市長賴清德以新科<font class=""item_keyword"">奧斯卡</font>影帝李奧納多得獎感言不忘呼籲環保，勉各校透過教育落實低碳生活。台南市積極朝低碳城市邁進，從學校教育扎根，盼由下而上逐步實現低碳城市願景，昨天辦理「低碳校園認證頒獎典禮」，賴清德親自頒獎表揚獲頒低碳校園標章學校，期許更多學校加入低碳行列。賴清德致詞，以<font class=""item_keyword"">奧斯卡</font>金像獎影帝李奧納多．狄卡皮歐得獎感言，引述其對環境議題的關注，賴清德強調，低碳是全球新興議題，而教育局大力推動低碳校園認證制度，以教育即生活的精神，將低碳理念扎根、落實日常生活。台南市教育局長陳修平說，低碳校園認證達成率逐年增加，今年度共有吉貝耍國小、宅港國小、永安國小、果毅國小、億載國小、內角國小、新嘉國小、新泰國小與新橋國小等9所通過5項認證成為本市新科低碳示範校園，期許更多學校加入低碳校園認證行列。                                ",中國時報
2016/03/04,《我見我思》駭客記者駕到,"                【邱祖胤】電影《驚爆焦點》贏得本屆<font class=""item_keyword"">奧斯卡</font>最佳影片，為新聞人出了一口氣，這部影片以2002年美國一群記者挖掘神父性侵幼童的黑幕為焦點，真人真事搬上螢幕，令人膽寒，也讓人意識到，媒體本著良知、正義及新聞道德，確實足以扳倒邪惡勢力。這讓我想起前陣子看到一位資深記者在網路上控訴，她的孩子在「我的志願」作業裡填了媽媽的職業，而且立志克紹箕裘，讓她一時驚呆了，不但強加阻止，還上網討拍，要大家評評理。我不明白這位記者曾經做過什麼傷天害理的事，或者曾在職場上遭遇可怕的迫害，讓她如此痛恨自己的工作，然而孩子是誠實的，孩子以父母的工作為榮，是極其自然的反應。我好奇那個孩子知道媽媽的反應之後，內心的感受是什麼？原來我娘的工作這麼見不得人？那為什麼她還要做下去呢？老實說，這位媽媽做了非常錯誤的示範，一是影響孩子的價值觀，二是讓孩子對記者工作產生誤解。身為一個成熟的人，若真的那麼討厭自己的工作，要嘛選擇離開，不然就想辦法改善，去影響這個環境；都做不到，就謹守崗位，至少讓出錯率減少，讓為害率降低。畢竟，選擇在自認不良的行業裡而不離開，某種程度，你也是害群之馬。再說，以舊思維從事新聞工作的時代即將過去，過去一般民眾所認知的記者，終將被另一群人淘汰，那就是駭客，近年網軍崛起，足以和主流媒體抗衡，就是最明顯的例子。根據美國當紅青年教育家及創新學習倡導者羅根．拉普蘭（LoganLaPlante）的定義，駭客不是躲在虛擬世界搞破壞的罪犯，而是實體世界裡不斷尋求改變的創新者，他們勇於挑戰既有體制、改變系統、企圖讓世界更進步。拉普蘭說，所謂駭（hack），就是不斷去尋找更有效率的解決方案。蘋果的賈伯斯、臉書的馬克祖克伯，都是用駭客思維來改變世界的人。但這個時代需要更多擁有駭客思維的人，而且不限於科技產業。新聞工作其實最需要駭客精神，因為記者每天都需要挖掘問題、呈現問題、解決問題，而且要與時間搏鬥，時時駭進政府部門，駭進社會人心，時時為讀者「找到更有效率的解決方案」。這樣的駭客記者，才足以「驚爆焦點」，奪回無冕王的榮耀。若以此標準來看，那位記者媽媽想必無法勝任這樣的工作，一個無法以自身工作為榮的人，自然無法榮耀她的工作。但未來讓她感到更挫折的恐怕會是，她的孩子已注定要成為一名記者，因為到了那個年代，相信人人都是記者，而且是駭客記者。                                ",中國時報
2016/03/03,《因為愛你》懸16年 影后攬重任 布蘭琪回收女主角飆演技,"                【徐定遠／綜合報導】以《因為愛你》在本屆<font class=""item_keyword"">奧斯卡</font>第７度入圍的凱特布蘭琪（Cate Blanchett），雖然沒能收下第３座小金人，卻早將獎座看得雲淡風輕，「很慶幸每次我有幸參加<font class=""item_keyword"">奧斯卡</font>，都是因我引以為傲的作品。」她多年來遊走劇場與電影間，演員和媽媽身分同時兼顧，竟是以資源回收的心情，走出燦爛的影后路，「我的演員事業，經常都是建築在別人不要的角色上。」愛冒險才學得更多凱特早在拍攝1999年電影《天才雷普利》時，就已讀過同位作者寫的《因為愛你》原著，她坦言，當時根本沒想過這種女同志愛情電影有開拍的可能，自然沒有「我非演這個角色不可」的渴望。該片1996年就開始籌備，因題材因素四處碰壁，直到凱特2012年讀到該片劇本，才燃起當年未點燃的渴望，在導演都未敲定前，率先扛下16年間無數演員推辭的女主角重任。她定居澳洲，長年遠離好萊塢電影重鎮，雖頂著<font class=""item_keyword"">奧斯卡</font>影后光環，常不是電影首選女主角，但她絲毫不在乎接下二手角色，當其他演員嫌角色戲分太少、片酬不夠，她眼光精準接收各種讓人卻步的角色，「你很難從成功中學到太多東西，在面對失敗的冒險中，得到的會更多。」凱特在《因為愛你》飾演已婚貴婦「卡蘿」，在1952年民風保守的紐約，為年幼女兒壓抑女同志性向，當她在百貨公司遇見由魯妮瑪拉（Rooney Mara）飾演的年輕櫃姐「特芮絲」，兩個被傳統箝制的迷惑靈魂，經過華爾滋舞步般的試探，在禁忌中找到依偎，只是自由的愛情，在父權把持的時代中，也因不該存在付出沉痛代價。為漫威電影操肌肉「這部片子想說的是愛情沒有種類。但在2016年的現在，還是有人認為這是值得大驚小怪的事。」凱特協助《因為愛你》走完近20年終於上映的坎坷路，對於未來，她打算「打亂自己的節奏，享受對未來一無所知的冒險感」。她即將演出《雷神索爾３：諸神的黃昏》，神祕兮兮說：「我馬上就要演漫威電影了，我要練出那些過去從來不曾存在的肌肉！」《因為愛你》將於４日在台上映。                                ",中國時報
2016/03/03,魯妮瑪拉裸戰布蘭琪誇柔軟,"                【徐定遠／綜合報導】《因為愛你》討論度最高的一場戲，無疑是魯妮瑪拉（Rooney Mara）與凱特布蘭琪（Cate Blanchett）間，美得像畫般的女女性愛戲，魯妮雖曾在入圍<font class=""item_keyword"">奧斯卡</font>影后的《龍紋身的女孩》中，就有惹火的露點性愛戲，但這次床戰對手是女生，她透露和《龍》片床戲最大差異是「凱特的皮膚很柔軟」，她也坦白說：「所有床戲拍起來都一樣尷尬！」《因為愛你》由於預算拮据，只花34天就拍完，每天經常工作長達16小時，對魯妮來說卻甘之如飴。她說自己最喜愛的一場戲，是與凱特布蘭琪首次共進中餐，恰巧也是劇組拍攝的首場戲，導演採用整場戲一次拍完的方式拍攝，連在場工作人員都看得入迷，魯妮興奮說：「那就像和世界上最精湛的網球選手打球。」。                                ",中國時報
2016/03/03,特製華服整慘設計師 凱特布蘭琪大衣狂掉毛,"                【徐定遠／綜合報導】《因為愛你》除凱特布蘭琪（Cate Blanchett）與魯妮瑪拉（Rooney Mara）的動人演出，片中1950年代的絕美時尚也讓影迷心馳神往。該片服裝出自３度榮獲<font class=""item_keyword"">奧斯卡</font>獎的服裝設計師珊蒂鮑威爾（SandyPowell），她透露全片最難搞的衣物，正是凱特片中的毛皮大衣，「那件大衣是場噩夢。」魯妮的戲服有80％是如假包換的古著，但凱特的衣服幾乎全是量身訂做。凱特的毛皮大衣被設定成淺色系，但珊蒂遍尋不著心目中的完美顏色，最後蒐集多件毛皮外套，拆解後重新混合出完美的顏色，再費工縫製成全新的大衣。可惜該件大衣外表華美卻敗絮其中，每場戲都不斷脫毛，每天都在崩線瓦解的邊緣，珊蒂說：「負責凱特服裝的同仁真的很倒楣，每天午餐時間都在修補那件外套！」。                                ",中國時報
2016/03/02,賤嘴主持人克里斯洛克幫倒忙 奧斯卡黑白講收視盪8年新低,"                【徐定遠／綜合報導】第88屆<font class=""item_keyword"">奧斯卡</font>頒獎典禮絢爛落幕，雖有讓李奧納多狄卡皮歐（Leonardo DiCaprio）終於稱帝的世紀大戲，卻難挽回觀眾游移的目光。根據影業網站Deadline報導，今年<font class=""item_keyword"">奧斯卡</font>獎轉播，在北美比去年收視戶驟降８％，創８年來新低。從宣布入圍名單開始就惹惱黑人社群的<font class=""item_keyword"">奧斯卡</font>，在賤嘴主持人克里斯洛克（Chris Rock）幫倒忙下，竟又再激怒通常溫和的亞裔族群。克里斯在頒獎典禮開場時賤嘴搞笑，犀利點出「真正的種族歧視」和「好萊塢種族歧視」間顯著差距。酸亞裔自打嘴巴<font class=""item_keyword"">奧斯卡</font>沒讓黑人演員入圍並非這２年才開始的新鮮事，只是在1950、60年代，黑人有更迫切的真實歧視，必須以生命為代價抗議，現在會對「<font class=""item_keyword"">奧斯卡</font>好白」反應激烈，代表的其實是人權的進步，正如克里斯所說：「當你的祖母被吊在樹上搖晃時，最佳紀錄短片相形就沒那麼重要了。」然而當克里斯將賤嘴目標轉向亞裔時，整個多元化的議題成了自打嘴巴。他對觀眾說，負責計算<font class=""item_keyword"">奧斯卡</font>投票數的會計師事務所，派了他們「最投入、精確、耐操」的代表前來會場，但走出的卻是３位西裝筆挺的亞裔小孩，「如果有人對這個笑話感到不高興，可以用手機上推特抱怨，手機也剛好是他們做的。」同時酸了亞裔給人數學很好、工作認真，以及童工血汗工廠的刻板印象。虎媽吳恬敏心痛亞裔人權組織「亞美公義促進中心」發表聲明指責<font class=""item_keyword"">奧斯卡</font>，竟以兒童為目標大肆嘲諷多種亞裔常被認為的刻板印象，「種族間的關係並不是只有黑與白的二元議題」。在暴紅影集《菜鳥新移民》中飾演「虎媽」的台裔演員吳恬敏傷痛說：「在這次完全著迷於種族歧視與多元化議題的<font class=""item_keyword"">奧斯卡</font>轉播中，開亞洲人玩笑竟然完全可以被接受。」。                                ",中國時報
2016/03/02,《短評》白黑黃相煎何太急,"                【時報】第88屆<font class=""item_keyword"">奧斯卡</font>金像獎順利落幕，卻因入圍者大多為白人，被外界批評為「白色<font class=""item_keyword"">奧斯卡</font>」而備受爭議，更引起不少黑人演員杯葛出席；非裔主持人克里斯洛克也拿這話題在典禮上猛酸，大開<font class=""item_keyword"">奧斯卡</font>「太白」的玩笑。但<font class=""item_keyword"">奧斯卡</font>的爭議不僅在歧視黑人，而是缺乏多元性。在號稱「民族大熔爐」的美國，一直仍是白人至上，其他如非裔、拉丁裔、亞裔等具有卓越貢獻的廣大族群，始終未能得到足夠的肯定、應有的重視；作為全球電影產業夢工廠的好萊塢，不過是又添顯例。更甚者，在為自己黑人叫屈的同時，主持人竟還大開亞裔的玩笑，昨天的頒獎典禮上，安排3位亞裔小朋友穿著黑西裝拿公事包上台，被克里斯洛克形容為「最敬業的、準確的和辛勤工作的代表」，諷刺亞洲人從小就是童工。如此無聊又不好笑的「笑話」，就好像在傷口上亂撒鹽般，立即又引發另一層爭議，包括生在美國的台裔NBA球星林書豪忍不住在臉書發文譴責，表示不願再忍受這種歧視。從小在美長大的偶像歌手王力宏認為，<font class=""item_keyword"">奧斯卡</font>也罕見亞洲演員被提名，但為什麼我們都不吭聲？最近華裔的紐約警察梁彼得因為槍枝誤擊一名非裔美國人被起訴，掀起美國華裔的遊行聲援，抗議只因為梁是「弱勢的華裔」，如果換是非裔、甚至白人警察，會遭受到這樣的對待嗎？看來，白黑黃強弱分明，哀哉美利堅，相煎何太急！。                                ",中國時報
2016/03/02,出櫃歌手奪獎自恨演出爛秀 山姆史密斯滑出小王八卦,"                【徐定遠／綜合報導】勇奪本屆<font class=""item_keyword"">奧斯卡</font>最佳原創歌曲獎的英國歌手山姆史密斯（Sam Smith），領獎時在台上誤認自己是首位得獎的出櫃同志，將獎項獻給LGBT團體，立意雖良善，卻凸顯他毫不在意其他同志過去優異表現。早在2008年就得獎的同志作家達斯汀藍斯布萊克（Dustin Lance Black），２月29日直接在推特上對山姆警告：「如果你不知道我是誰的話，或許你應該停止傳簡訊給我的未婚夫。」達斯汀在2008年以西恩潘（Sean Penn）主演的同志人權電影《自由大道》，奪下<font class=""item_keyword"">奧斯卡</font>最佳原創劇本獎，當年他在獎台上，令人動容地哽咽透露對同志人權與同志婚姻殷切期盼，「我向你們保證，你們很快就會合法擁有平權的地位。」達斯汀去年10月才與交往２年的英國跳水金童，21歲的奧運銅牌選手湯姆戴利（Tom Daley）正式訂婚，他的推特文暗示山姆私下勾搭準人夫，立即成為<font class=""item_keyword"">奧斯卡</font>後討論度最高的八卦。山姆得知後，有風度回文致歉，「我一定會去看你的電影」，而達斯汀也為山姆稍微緩頰：「湯姆與山姆本來就是舊識，經常互傳簡訊。」除陷入破壞婚姻的八卦中，山姆也對自己在<font class=""item_keyword"">奧斯卡</font>演唱的表現極度不滿意，「那是我這輩子最糟糕的時刻，我唱得爛透了，我恨這場表演的每一分鐘！」。                                ",中國時報
