keyword,count
bagsnob,2
baguette,1
bakalova,1
ball,1
balmain,2
bao,1
bar,1
barry,1
basketball,1
bbc,3
beach,1
bear,2
beatty,1
beauty,1
bedior,5
beers,2
benedict,1
benjamin,1
berluti,1
best,1
bet,1
bette,1
beyonce,1
biel,1
big,2
bigelow,3
bilden,1
bill,2
birdman,2
birkin,2
birth,1
bj,2
black,1
blake,1
blanchett,6
bling,6
blisee,1
blood,1
blue,5
blue_book,1
blunt,1
bob,1
boite,6
book,4
books,1
boone,1
born,1
boseman,6
boss,2
bottega,1
boucheron,5
bouchez,1
boyhood,1
boyle,1
brad,2
bradley,1
brando,2
brandon,3
brave,1
brian,2
bridge,1
brie,7
brioni,1
brokeback,2
browne,1
bruce,2
bruni,1
bryan,1
bryant,1
bts,4
bullock,1
bundchen,1
burberrry,1
burberry,1
butt,1
buyers,2
bvlgari,8
by,3
c1,1
c2版,1
caa,4
cairo,1
calvin,15
cameron,2
can,1
caprio,3
carla,1
carol,1
carpet,1
carrie,1
carroll,1
carry,1
carthy,1
cartier,5
cartney,1
casey,1
catchplay,8
cate,6
celine,3
ceo,4
cg,1
cgv,3
chadwick,5
chakra,3
chalamet,2
champs,1
chance,1
chandelier,2
chanel,8
changes,1
chao,11
chapman,2
charlize,5
charlotte,1
chateau,1
chazelle,1
cheryl,1
chinese,1
chloe,1
choo,3
chopard,13
chris,5
christian,2
christoph,1
christopher,3
cia,4
cindy,12
cine,1
circle,1
city,1
civil,1
cj,16
claire,1
clark,1
class,1
classique,1
cleef,1
clip,1
close,1
club,2
cluster,7
cnn,9
co,5
coach,3
coco,1
colbert,1
collection,4
collider,2
colombine,1
color,1
colori,1
com,6
comete,2
commission,1
conaughey,2
conquest,1
conscious,3
constance,1
cook,2
cooper,1
copy,1
costa,1
county,1
courage,1
couture,8
craig,10
crash,4
creative,1
cruz,2
crystal,1
cuaron,2
cullinan,2
cumberbatch,1
cut,1
cxp,1
d2,2
d5,1
da,1
daisy,1
dallas,2
damien,1
danes,1
daniel,6
danish,1
danny,1
dans,2
dark,1
date,3
datejust,3
david,4
davis,4
day,5
dc,3
de,16
deacon,1
deadline,3
deakins,1
deborra,1
deco,3
deggans,2
del,2
dentelle,1
departed,2
depp,1
derrick,1
descendants,1
deutch,1
devilin,1
di,3
dia,1
diamond,4
diane,1
diaries,1
dicaprio,11
dior,56
disney,1
divas,3
django,5
dkny,2
dl,4
docter,1
doillon,1
dolby,1
dolce,6
dormand,7
dpa,4
dragon,1
dream,4
dreameda,1
drees,1
dress,1
drucker,1
duncan,2
duo,2
dvd,13
dweller,1
e1,1
earl,1
eating,2
eclipse,1
eddie,3
edit,1
eight,1
elba,1
elbaz,1
elgort,1
elie,7
eliesaab,1
elodie,1
eltonjohn,1
elva,1
elysees,1
emily,1
emma,3
emmanuel,2
empire,2
encyclopedia,2
ending,2
eonline,1
eric,2
erin,1
ermenegildo,2
essentials,2
est,1
etoile,2
everything,1
evil,1
ex,1
exceptionalism,1
exo,1
expert,2
face,1
facebook,1
fair,6
fantastic,1
farhadi,2
fbi,1
federal,1
fendi,2
ferragam,1
ferragamao,1
ferragamo,12
finally,2
finissimo,1
fire,1
fisher,1
floyd,1
flying,1
fonda,2
footnote,2
for,1
ford,14
forevermark,1
forgiveness,1
foundry,1
fox,3
frances,7
francisco,1
franco,1
