keyword,count
9點,10
9點半,3
a4,1
abc,7
abderrahmane,1
abraham,1
abusedby,1
academy,6
aciman,1
ackermann,1
aclu,4
acra,3
actors,1
adage,1
adam,5
adams,2
adele,4
adventure,1
advice,1
affleck,7
agnes,1
akoya,1
al,1
alaia,1
alan,1
alaïa,1
alber,1
alejandro,9
alessandra,1
alex,1
alexander,16
alexandre,1
alexis,1
alfonso,1
alfred,1
ali,7
alice,1
alicia,7
all,4
allen,2
allison,1
alliteration,1
alrosa,1
altiplano,2
alvin,1
always,2
amalia,1
amanda,1
ambrosio,1
amendment,1
american,1
amy,3
an,1
and,11
andersson,1
andra,1
andrew,3
andré,1
angelababy,1
angeles,2
angelina,2
aniston,2
anna,17
annabella,1
annie,3
ansel,3
anthony,2
antique,1
antoine,1
aparicio,1
apocalypse,1
app,1
architype,1
are,2
armani,35
armie,1
arpels,1
arquette,1
arrimage,1
art,3
arthur,1
arts,2
aseparation,1
asghar,2
ashley,2
ashton,1
asia,2
assets,1
association,1
at,1
atelier,1
atmos,1
attah,1
audrey,1
august,4
auli,1
austen,3
aviator,2
awakens,1
award,1
awards,9
aware,1
azzedine,1
a咖,4
a級,1
b1,1
b2,3
b3,1
b4,3
babel,1
bad,1
bafta,7
bag,5
bagsnob,2
baguette,1
bakalova,1
baker,2
ball,1
balmain,2
bao,1
bar,1
baron,2
barry,1
basketball,3
baubigny,1
bay,4
bb,1
bbc,5
be,2
beach,1
bear,2
beatty,5
beautiful,1
beauty,2
becomes,1
bedior,5
beers,2
belfort,1
believe,1
belinda,1
bella,4
ben,5
beneath,1
benedict,1
benjamin,1
berluti,1
bernstein,5
berry,1
bet,1
bette,1
beyonce,1
beyond,1
bibi,1
bichir,1
biel,1
big,3
bigelow,4
bilden,1
bill,4
billboards,1
billie,2
billy,1
biopic,1
birdman,2
birkin,2
birth,1
bj,2
black,8
blake,1
blanchett,7
bling,6
blisee,2
blood,1
blue,5
blue_book,1
blunt,1
bob,6
boite,6
bombshell,1
book,5
books,1
boone,1
born,3
boseman,5
boss,2
bottega,1
boucheron,5
bouchez,1
bowie,1
boyhood,1
boyle,1
boys,2
brad,2
bradlee,1
bradley,4
brando,2
brandon,3
brasco,1
breguet,2
breitbart,1
brian,4
bridge,1
bridges,2
brie,9
brightest,2
brioni,1
broadway,1
browne,1
bruce,3
bruni,1
brutal,1
bryan,1
bryant,6
bullock,2
bundchen,1
burberrry,1
burberry,1
buss,1
but,1
butt,1
buyers,2
buzzfeed,2
bvlgari,8
by,4
c1,3
c2,1
c2版,1
cagney,1
cairo,1
call,1
calvin,18
cameron,4
caprio,3
carl,5
carla,1
carmen,2
carol,1
carpet,2
carrie,1
carroll,1
carry,1
carthy,2
cartier,5
cartney,1
casey,4
catchplay,8
cate,7
catrinel,1
celine,3
ceo,5
cg,1
chadwick,4
chakra,3
chalamet,3
champions,2
champs,1
chance,1
chandelier,2
chanel,8
changes,1
chao,10
chaplin,1
chapman,3
charles,1
charlize,5
charlotte,1
chateau,1
chazelle,4
chen,3
cheryl,1
childrenofa,1
chinese,1
chloe,1
choo,3
chopard,15
chris,8
christian,2
christine,2
christopher,3
churchill,3
cia,4
cindy,11
circle,1
city,1
ck,1
claire,1
clark,1
class,1
classic,1
classique,4
cleef,1
clip,1
clooney,1
close,2
clothing,1
club,2
cluster,7
cnn,6
co,6
coach,3
coco,1
coen,1
cohen,2
coigney,1
colbert,1
colin,1
collection,5
collider,2
colman,1
colombine,1
color,1
colori,1
com,6
comete,2
commission,1
common,2
conaughey,2
conquest,1
conscious,3
constance,1
cook,2
cooper,5
copy,1
corneliu,1
costa,1
coultre,1
county,2
courage,1
couture,9
cover,1
craig,10
cravalho,1
creature,1
cruz,2
cry,3
crystal,2
cuaron,1
cue,1
cukor,1
cullinan,3
cumberbatch,1
cut,1
cxp,1
cynthia,2
cyrus,1
c咖,1
d2,2
da,1
daily,1
daisy,2
daley,1
dallas,2
damien,4
damon,4
danes,1
daniel,7
danish,3
danny,1
dans,2
darkest,2
date,3
datejust,5
daughter,1
david,5
davis,5
day,9
daydreaming,1
dazeem,1
dc,6
de,19
deacon,1
dead,1
deadline,3
deakins,1
dear,2
deborra,1
deco,3
deepsea,2
deggans,2
del,4
demian,1
dentelle,1
denzel,3
departed,2
depp,1
derrick,1
descendants,1
deutch,1
devilin,1
dexter,1
dga,1
di,3
dia,1
diamond,4
diane,2
diaries,1
dicaprio,12
dif,1
