年,月,日,標題,內容,報社,關鍵字
2020,2,11,瓦昆菲尼克斯 完美小丑 爆發性演出,瓦昆菲尼克斯以DC電影「小丑」獲得奧斯卡獎最佳男主角，成為漫畫改編電影史上首位奧斯卡影帝，他上台致詞時感謝影藝學院會員厚愛，並呼籲大眾關注弱勢族群，「沒有演員這份職業，我不知道我會成為什麼，我想這個職業給我最大的禮物，就是讓我能有機會去為那些沒有話語權的弱勢族群發聲」。瓦昆長年關注社會議題，他主動提及性別不平等、種族歧視以及同性戀等議題，更指出讓特定國家、種族及性別能夠有權去控制及剝削其他對象，是不正確的事，「我們一直在討論的，其實就是對抗不公不義」，也希望所有人能以愛與同理心做為準則，就能夠幫助彼此成長，讓彼此變得更好。瓦昆從影多年，年輕時行事風格直率嗆辣，甚至曾批評「奧斯卡獎就像紅蘿蔔一樣索然無味」，他也為此致歉，「我知道我曾讓很多人留下不好的印象，我很自私，但感謝在座的人願意給我第二次機會」，最後則特別緬懷他不幸英年早逝的影帝哥哥瑞凡菲尼克斯，「我哥哥十七歲那一年，他寫了一句歌詞『帶著愛伸出援手，世界就能和平』，謝謝大家」。瓦昆菲尼克斯曾以「神鬼戰士」、「為你鍾情」以及「世紀教主」入圍奧斯卡獎，此次終於以「小丑」獲獎，他曾公開表示對漫畫改編電影沒興趣，甚至推掉漫威電影「奇異博士」、「浩克」等角色，卻在「小丑」導演陶德菲利普的多次遊說下接演，陶德受訪時透露：「我喜歡他豐富且難以預測的表演風格，我相信他是我心目中最完美的小丑。」瓦昆為詮釋「小丑」，減重廿四公斤，也主動發想許多跳舞及鬥毆的橋段，影評盛讚是「近年最震撼的爆發性演出」。,聯合報,{}
2020,2,11,奉俊昊 用懸疑包裝社會議題,奉俊昊以「寄生上流」拿下奧斯卡獎最佳影片、最佳導演、最佳原創劇本以及最佳國際電影等四項大獎，一夕之間成為歐美影壇最受關注的南韓導演，他犀利且嘲諷的懸疑喜劇風格獲得全球影迷喜愛，拍過「殺人回憶」、「駭人怪物」等賣座電影，也曾為好萊塢拍攝特效動作片「末日列車」及「玉子」，個人風格鮮明。奉俊昊畢業於南韓延世大學社會系，養成他積極關注社會議題的敏銳眼光，首部電影長片「綁架門口狗」雖然票房不佳，卻引起影帝宋康昊的關注，隨後更點名與他一同合作多部電影，包括此次獲獎的「寄生上流」。奉俊昊也在兩人首次合作的懸疑推理片「殺人回憶」初嘗賣座滋味，之後每部電影的評價及票房都在國際間大受好評。奉俊昊曾被知名製片哈維溫斯坦邀請至好萊塢拍攝「末日列車」，與「美國隊長」克里斯伊凡、蒂妲史雲頓以及傑米貝爾等大明星合作，但他因為不願順從溫斯坦的意願剪去三十分鐘片段，引起溫斯坦不滿，甚至冷凍該片，減少宣傳預算，隔沒幾年溫斯坦性侵醜聞纏身，這段往事才又浮上檯面，也讓不少人為他抱屈。奉俊昊籌備六年劇本才拍出「寄生上流」，精心鑽研每一個劇情細節、走位以及對白，更在找不到適合景點的狀況下，斥資重金打造片中豪宅，迫使該片成本飆升至三億台幣，如今獲獎連連，一切的努力總算沒有白費。奉俊昊不僅在南韓影壇的人緣極佳，包括宋康昊、元斌以及李善均都得排隊演出他的電影，就連眾多好萊塢大明星也點名想演他的電影，昆汀塔倫提諾更多次對外宣告「奉俊昊是一個非常了不起的導演」，如今隨著「寄生上流」獲得奧斯卡多項大獎後，奉俊昊未來在國際影壇的聲望肯定如日中天。,聯合報,{}
2020,2,11,寄生上流 奪奧斯卡4大獎,第九十二屆奧斯卡金像獎迎來改變歷史的時刻！韓國電影「寄生上流」成為首部非英語發音的最佳影片，奉俊昊成為繼李安後第二位獲最佳導演的亞洲名導，片子也拿下最佳國際電影、原著劇本，成為最大贏家。劇組致詞時一度因時間超過官方預定的四十五秒差點被請下來，台下眾星熱情聲援，讓他們暢所欲言，也反映該片在好萊塢影界的高人氣。今年的奧斯卡賽果，演員方面毫無意外，由外界最看好的「小丑」瓦昆菲尼克斯、「茱蒂」芮妮齊薇格、「從前，有個好萊塢」布萊德彼特與「婚姻故事」蘿拉鄧分別獲得帝后與男女配角獎，各方焦點反而在看似態勢明朗、實則尚有變數的最佳影片之爭上。「1917」在榮獲美國製片、導演等工會獎與英國奧斯卡最佳影片後，王位似乎愈坐愈穩，卻有歐美獎項分析認為「寄生上流」還有翻盤可能，剛巧各大媒體請部分投票會員不具名先亮票，「寄生上流」獲得的支持多過「1917」，似已透露些許玄機；果然在典禮後半段，「寄生上流」與奉俊昊一再上台，製造最大驚喜。奧斯卡過往被視為「電影人的最高榮譽」，實則封閉、保守，不屬於「好萊塢自家人」，絕難獲得肯定，也因此曾有好幾部非英語發音電影不管評價多高，大都在最佳外語片（今年起改稱最佳國際電影）或是最佳導演止步。近年來美國影藝學院廣邀各國影人加入，試圖改善，前兩年得獎名單的變化尚有限，卻都在為革新積蓄能量，終於今年藉著「寄生上流」水到渠成，寫下新紀錄，雖然看似傳統好萊塢的失利，卻讓整個獎項的格局真正提升到國際級競賽。據美國媒體分析，「寄生上流」格外受歐美年輕觀眾喜愛，大家都對貧富差距擴大下的病態現況感同身受，因此突破需要讀字幕的限制，成為口碑奇佳的話題熱片，讓好萊塢影界無法忽視。此外，奧斯卡最佳影片採「喜好順序」投票，造成大多數人不討厭、排在較前順序的電影，遠比被少數人選為第一喜愛卻有人極厭惡的影片更占優勢，「寄生上流」就具備了這種「大多數人都不討厭」的利多，天時、地利及人和，終令向來較非裔和白人更受到奧斯卡忽略的亞洲（裔）影人，扳回一城。大手筆網羅名導拍片的Netflix仍未征服奧斯卡，眾家大片只抱回兩座獎，馬丁史柯西斯「愛爾蘭人」甚至成唯一全部落空的最佳影片入圍者，影音平台自製電影想要被與傳統戲院放映影片一視同仁，恐還有段路要走。,聯合報,{}
2020,2,15,白女巫 3尬奉俊昊有譜 貴族真身淪《寄生》窮媽,奉俊昊2017年拍《玉子》，在片場指導蒂達史雲頓。片中無業家族住的半地下室在淨水場拍攝，日前確定復原搭景。朴敘俊是《寄生上流》的關鍵人物，美劇版將曝光他與富太太的微妙關係。奉俊昊攜手《大賣空》導演亞當麥凱製作《寄》片美劇版，內容由5、6個故事組成，劇本還沒完成，但奉俊昊透露影集將呈現「每個角色的背景故事」，例如「前管家」李姃垠在下雨夜回到富豪家，臉上看起來有事卻未說明。朴敘俊曖昧富太浮出而「窮兒子」崔宇植因好友朴敘俊推薦，通過「富太太」趙汝貞的家教面試，朴敘俊與趙汝貞形容彼此用語曖昧，關係似乎不單純，奉俊昊坦言：「2人之間有些什麼。」種種疑點都將在影集版說分明美劇版劇情引發討論，選角也備受關注。外媒《The Illuminerdi》昨報導，「窮媽媽」有望由蒂達接演。蒂達曾與奉俊昊合作電影《末日列車》、《玉子》，去年在坎城影展還出席《寄》片首映會力挺，2人3度搭檔的可能性極高，報導指出，蒂達與魯法洛確實收到邀約，但是否演出尚未定案。《寄》片改寫奧斯卡歷史後，全球票房累積1.68億美元（約50.8億元台幣），更帶起美國民眾觀影潮，該片在奧斯卡頒獎隔天，北美熱賣66萬1099美元（約2201萬元台幣），票房比前1周暴增192.7%，更一舉從單日賣座榜12名飆升到第4名，熱度持續延燒。奉俊昊揚名奧斯卡，總統文在寅下周四將在青瓦台接見，《寄》片拍攝地也傳出復原聲浪。宋康昊4口無業家族居住的半地下室在京畿道高陽市、腹地24萬平方公尺的淨水場搭景，拍攝3個月後已拆除，該片「鍍金」後，當地市長宣布恢復原狀，讓影迷朝聖，但在全州取景的朴老闆富豪家還在討論是否復原。該片已在CATCHPLAY+上架，部分戲院持續上映中，黑白版即將在台上映。,蘋果日報,{}
2020,2,13,宋康昊率隊《寄生》 瘋騷韓國機場,內容摘要：韓片《寄生上流》周一在奧斯卡打破紀錄，獲最佳影片、最佳導演、最佳原創劇本與最佳國際電影4大獎，劇組演員台灣時間昨早4點光榮返抵韓國，吸引逾百家媒體到場採訪。宋康昊：「今後將繼續拍好電影，向全世界影迷傳遞韓國的文化藝術。」,蘋果日報,{}
2020,2,12,奧斯卡 收視雪崩掉600萬人 浩克摩拳美版《寄生》,奉俊昊執導《寄生上流》橫掃奧斯卡4大獎，與演員開心合影。「浩克」馬克魯法洛前天到奧斯卡金像獎擔任頒獎人。前天《寄》片成為奧斯卡一大驚奇，不僅是韓片首次揚威，更創下首部非英語電影得最佳影片的紀錄，導演奉俊昊席捲好萊塢；該片熱度急飆，本周末北美加開放映的戲院將逾2000間，比先前1060間成長1倍。美國媒體上月更報導，《寄》片將被HBO拍成迷你影集，奉俊昊監製並搭檔《大賣空》導演亞當麥凱，延續該片故事，片長6小時。昨傳出奉導正與「浩克」洽談，浩克前天擔任頒獎人笑答：「要是能演《寄生上流》影集，對我而言是莫大榮幸。」並未否認。奉俊昊奪獎後出席韓國媒體記者會，預告籌備2新片：「一是韓國片，描寫首爾發生的恐怖狀況。另1部是英語片，和《寄生上流》差不多規模，以2010年英國倫敦實際事件為背景。」台灣票房成長200%片中窮媽張慧珍和「地下男」朴明勳最近忙拍韓劇《愛的迫降》，鮮少能參加《寄》片的活動，朴明勳透露去年雖去坎城影展，為避免走漏劇情，人到了當地卻無法露臉，躲在劇院2樓看首映。韓國民眾也瘋《寄》片，奉俊昊老家大邱南區廳昨宣布將建造以他為主題的「奉俊昊街」和博物館，想將大邱塑造成電影之都的觀光名勝。《寄》片在台灣重映，昨票房也成長200%，CATCHPLAY+單片觀看人數亦成長63%。片商宣布黑白版將於近期在台上映,蘋果日報,{}
2020,2,12,影帝初夜甜爆 坐地嗑素漢堡,內容摘要：瓦昆菲尼克斯  前天以《小丑》成為新科奧斯卡影帝，在台上高聲疾呼要重視動物人權、保護環境，自己本身吃素的他在典禮結束後，帶著小金人與未婚妻魯尼瑪拉一起吃素漢堡，甜蜜同框讓網友大讚「太可愛」、「愛情最單純的面貌」。,蘋果日報,{}
2020,2,12,孔孝真 嗨森《寄生》慶功趴 李荷妮炫照被罵慘,李荷妮拿著小金人與奉俊昊合影卻挨轟。孔孝真與《料理絕配Pasta》李善均合體。合體李善均回憶殺李荷妮po照寫：「別人看到會以為是我得獎吧，但我真的很開心。」分享多張和演員自拍，有網友質疑她與《寄》片無關卻太高調，她趕緊滅火道歉：「我抱持著祝福同事的心情才上傳的，若是大家感到不舒服或不快，在此跟大家道歉。」不少網友出面力挺她，認為是「正義魔人」們太無聊。孔孝真當天也出席，她和《寄》片不少演員都曾合作，特別是和《料理絕配Pasta》李善均再次合體，令不少劇迷超興奮。不過她僅傳了與演員的合照，沒有po出小金人和寫文字，並未受到攻擊。「OSEN」新聞網報導，《寄》片片商透露李荷妮和孔孝真都和演員很熟，「是我們邀請她們來參加派對」。,蘋果日報,{}
2020,2,11,韓國導演奧斯卡超車李安 《寄生上流》4大獎 奉俊昊寫影史,韓國導演奉俊昊昨雙手滿載小金人，首次出擊奧斯卡就大豐收。路透《寄生上流》片中，崔宇植、宋康昊、張慧珍、朴素丹一家擠在狹小的半地下室，摺披薩盒賺錢。《寄生上流》男主角宋康昊和主要演員捧著小金人和奉俊昊在頒獎會場合影。路透李安7年前以《少年PI的奇幻漂流》抱回生涯第3座奧斯卡小金人。全球熱賣50億元台幣的《寄》片探討韓國的貧富差距現象，寄居半地下室的4口無業家族，隱瞞身分到富豪家工作，因老闆無意提到「窮酸味」觸動仇怨而殺人。該片去年風光摘下坎城影展金棕櫚獎，在包括金球獎在內的國際影壇獎季橫掃逾50獎。奉俊昊昨先搶下最佳原創劇本，在台上端詳小金人頻偷笑。他感性地說：「寫劇本是很孤獨寂寞的工作，感謝給我靈感的老婆，以及帥氣地呈現台詞的演員們。」宋康昊、李善均、趙汝貞、崔宇植、張慧珍等演員在台下開心鼓掌，奉俊昊說：「我會一路喝到明天早上！」奪最佳影片、導演接著奉俊昊又拿下最佳國際電影、最佳導演，成為繼李安之後，第2位獲頒最佳導演的亞洲導演。他向馬丁史柯西斯、昆丁塔倫提諾致謝：「我想把獎座切成5份跟所有入圍者一起分享。」最後他獲頒最佳影片，超車李安。他在後台驚嘆：「（拿獎）4次！好瘋狂！感覺就像夢境，很不真實，總之很棒！」他表示，年輕時受台灣的侯孝賢和楊德昌等亞洲導演啟發；韓國總統文在寅發文祝賀：「為奉俊昊導演及演員、工作人員感到驕傲。」「奉細節」一絲不苟奉俊昊大學時創立電影社團開始拍片，2000年推出長篇處女作《綁架門口狗》，2003年以改編韓國連續殺人案的《殺人回憶》聲名大噪，2013年執導「美國隊長」克里斯艾文、「白女巫」蒂達史雲頓演的生涯首部英語片《末日列車》，2017年執導傑克吉倫荷主演的《玉子》，自稱鐵粉的布萊德彼特任製片。奉俊昊在韓國有「奉細節」別號，從劇情到場景、道具無不講究，絕不輕易妥協。為展現《寄》片富豪家的極致奢華，豪宅裡的垃圾桶掀蓋時完全無聲，但1個要價高達250萬韓元（約7萬元台幣）。,蘋果日報,{}
2020,2,11,瓦昆稱帝「渾球」罪己 蕾妮入魂影后奪影后,蕾妮齊薇格睽違16年再擒第2座小金人，首度在奧斯卡封后。法新社瓦昆菲尼克斯是影史以DC漫畫角色獲奧斯卡影帝的第1人。美聯社小丑2擒小金人瓦昆曾以《神鬼戰士》角逐奧斯卡男配，再憑《為你鍾情》、《世紀教主》提名影帝，以神級演技賦予黑暗小丑血肉，成為繼希斯萊傑以《黑暗騎士》獲最佳男配角之後，史上第2位以小丑角色獲小金人的演員。他昨用感恩口吻說：「我不覺得比其他入圍者或這屋裡任何人了不起，我們共享對電影的熱愛。」令人意外的是，他竟坦承難搞，當眾反省：「我一直是個渾球，有時很殘酷、難以共事，但這裡許多人給我第二次機會。」並以亡兄李佛菲尼克斯寫過的歌詞「以愛救贖，和平就會降臨」感人作結。蕾妮從影27年，以《BJ單身日記》、《芝加哥》紅極一時，但因整形疑雲備感壓力，闊別銀幕6年，去年回歸詮釋傳奇金球影后茱蒂迦倫人生最後一年在倫敦駐唱的落寞與孤寂，獲影評盛讚。她特別向茱蒂迦倫致意：「我相信，從拍片的現場開始到現在這一刻，我們都在持續頌揚她的傳奇，這代表她是如此獨樹一格，她在精神上的包容與慷慨，超越了任何藝術成就。茱蒂迦倫，這是獻給妳的。」,蘋果日報,{'影后': 3}
2020,2,10,亞當山德勒稱帝獨立精神獎 諷奧斯卡只給渾球,史嘉蕾約翰森以復古點點禮服走紅毯，氣質清新優雅。法新社亞當山德勒以《原鑽》榮登獨立精神獎影帝，喜悅之情全寫在臉上。美聯社提摩西夏勒梅與娜塔莉波曼搭檔擔任奧斯卡金像獎頒獎人，昨先到杜比劇院彩排。山德勒片中飾演布魯克林鑽石區的猶太奸商，他在美國演員工會獎、金球獎與奧斯卡金像獎都未獲提名，終於在獨立精神獎稱帝：「幾周前我被美國影藝學院冷落，這讓我想起我高中畢業紀念冊上也被『最好看』項目忽視。這個榮譽給了一個穿牛仔外套、頭髮剪得像羽毛的渾球。但我同學也給我一個據稱較不有名望的『最佳個性』稱號。獨立精神獎就是好萊塢的最佳個性獎，所以當這些頭髮剪得像羽毛的渾球爛貨明晚去拿奧斯卡，他們帥氣的外表會隨時間消逝，但我們獨立的個性會永遠耀眼奪目。」A咖今為小金人匯聚華裔女導王子逸的《別告訴她》榮獲最佳影片，飾奶奶的趙淑珍也擒女配，但她因疫情無法離開中國而缺席。王子逸致詞時也回應奧斯卡無女導演提名爭議「女性電影工作者最需要的是工作機會」。奉俊昊以《寄生上流》獲頒最佳國際電影，拿下韓國首座獨立精神獎，上台獲全場起立喝采，他回憶首次在紐約放映《寄》片，回觀眾問答時，因舊戲院有老鼠跑來跑去而分心，笑說：「我當時心想這象徵好運。」奧斯卡今晨在好萊塢杜比劇院登場，新科葛萊美得主怪奇比莉受邀表演，原唱伊迪娜曼佐、日本女星松隆子等10國「艾莎」同唱《冰雪奇緣2》主題曲《Into The Unknown》，頒獎人則有「甜茶」提摩西夏勒梅、娜塔莉波曼、湯姆漢克、「神力女超人」蓋兒賈多特、基努李維等眾星雲集。台視上午7點半轉播星光大道，9點典禮開始。,蘋果日報,"{'復古': 1, '禮服': 1, '紅毯': 1, '女星': 1}"
2019,3,5,柳承龍自比廚師 滿足影迷 《雞不可失》歡樂療癒 全台票房衝4000萬,韓國爆笑喜劇電影《雞不可失》在韓累積1600萬觀影人次，在台熱映口碑也持續發酵，4天假期不僅穩坐票房冠軍吸金2300萬，更衝出全台4000萬票房佳績，不少觀眾表示看完電影超級歡樂療癒，連假陰雨綿綿的鬱悶和面對收假的厭世全一掃而空，直呼：「一張電影票就能大笑2小時超值得。」影帝柳承龍在片中飾演緝毒組高班長，一臉窘困表情和拚命三郎性格引人發笑。談到自己的演技哲學，他充滿使命感說：「我認為演員就像廚師，廚師想用食物讓人感到開心滿足，演員則透過表演讓觀眾留下印象和笑聲。這是我給自己身為演員的責任，我希望這部電影快樂的能量能好好地傳達給所有觀眾。」《綠皮書》如倒吃甘蔗獲得本屆奧斯卡最佳影片、最佳男配角及最佳原創劇本3大獎的《幸福綠皮書》，靠得獎聲勢和好評，不畏周周有新片上映，在台熱映6周至今仍保持排行第4名，加開廳次後票房也穩定上升，累積近3500萬。該片在奧斯卡頒獎後，北美票房一路逆勢成長，不僅加演至2600間戲院，票房成長121％，上映16周之久，更於上周末從北美票房排行第11名猛衝至第5名，成績倒吃甘蔗持續看漲。 ,中國時報,{}
2019,3,4,名導史派克李操刀 麥可．B．喬丹為COACH飆車闖沙漠,導演史派克李剛以《黑色黨徒》獲得奧斯卡最佳改編劇本獎，而美國品牌COACH更早就押寶，邀名導操刀，並由品牌男裝全球代言人麥可·B·喬丹演出，後者更直接表達開心，並說能與偶像史派克李合作短片是可貴的經驗。短片中麥可騎著重型機車橫越沙漠，發現到處刻滿負面文字像是「Hatred仇恨」、「Evil邪惡」，而他則採取行動重新刻印「Courage勇氣」、「Truth真相」等，據了解，這些話語都是由史派克李與麥可親挑，傳達兩人堅信的訊息。 ,中國時報,{'黑色': 1}
2019,2,26,奧斯卡求變招來反效果 為賣座片設獎 刪減表演及頒獎流程挨轟全作罷,今年奧斯卡入圍影片話題度不如往年，收視率預計可能會再刷新去年創下的2650萬人次最低紀錄。其實主辦單位美國影藝學院早想防備，為此擬定多項計畫策略，沒想到反而惹出一連串爭議，現在回顧起來，似乎比頒獎典禮還精彩搶戲。去年收視率低迷，被認為是提名影片非主流、缺乏巨星頒獎、政治味太濃，為挽救頹勢，影藝學院從「吸引觀眾」與「縮短流程」兩方面著手。去年8月率先宣布會在今年增設「最受歡迎電影獎」，希望賣座電影的入圍能帶來關注度，不料引發影界反彈，認為此舉形成雙層體系，就人氣高低區分電影，影藝學院只好改口稱：「新獎項引發的反應不一，我們認為應做進一步討論。」著手控管時程影藝學院決定還是從控管時程著手比較實際，為把典禮控制在3小時內，先是傳出刪減表演橋段，入圍最佳原創歌曲獎項的5首歌只有《一個巨星的誕生》的〈Shallow〉與《黑豹》的〈All The Stars〉2曲能夠登台表演，引發業界炮轟大小眼後，只好摸摸鼻子，維持傳統5首全上。影藝學院繼續動腦筋，打算利用廣告時間頒發最佳攝影、剪輯、化妝髮型與實景短片4獎，消息一出這次讓李安、馬汀史柯西斯（Martin Scorsese）等超過40位導演、攝影師業界人士看不下去，發布聯名公開信，在輿論壓力下決定取消提議，當作沒這回事。只超時18分鐘或許影藝學院今年走衰運，好不容易找到凱文哈特（Kevin Hart）願意接下吃力不討好的主持棒，他卻因過去反同言論被起底、24小時閃辭主持人，典禮暌違30年成為史上2度沒有主持人坐陣的奧斯卡，但這對影藝學院來說不見得是壞事，因為僅靠頒獎人串場節省不少時間，今年只超時18分鐘，比去年超時53分鐘好多了。然而隨著本屆奧斯卡落幕，外界都在看明年會有什麼改變，面對不斷下滑的關注度，奧斯卡在改革創新與傳統沿襲中，仍是搖擺舉棋不定。 ,中國時報,{}
2019,2,26,《羅馬》摘3金 堅持拍自己鏡頭 最佳導演艾方索柯朗寫紀錄,導演艾方索柯朗（Alfonso Cuaron）昨以黑白片《羅馬》奪下第91屆奧斯卡最佳導演、外語片、攝影獎，不僅是6年來第5度榮獲導演獎的墨西哥導演，更創下墨西哥首次贏得最佳外語片，及首位同時贏得最佳導演及攝影獎的影史紀錄。《羅馬》改編自艾方索的童年故事，聚焦由墨西哥原住民素人演員亞莉札阿帕里希歐（Yalitza Aparicio）飾演的女傭身上，不留痕跡展現1970年代墨西哥的階級、種族、政治、社會等議題。艾方索感謝影藝學院認可一部圍繞在原住民女性的電影，「她是7000萬女傭的其中一個，在影史中一向被忽略在背景裡的一員。」艾方索2007年以《地心引力》成為影史首位獲奧斯卡導演獎的墨西哥導演，事後他獲邀執導許多大成本電影，但決定善用這個機會，「我忽然了解我可以兌現這個禮物，回到我的故鄉墨西哥，用我希望的方式拍一部電影，應用我一路以來靠拍攝高成本電影學習到的工具。」《羅馬》以65釐米拍攝，採杜比全景聲，拍攝期高達110天，並奢華地順電影時序拍攝，後製期長達1年半，堪稱是以暑假爽片規格與成本拍攝的親密小品電影，而艾方索過去常見的長鏡頭、跟拍、遠近鏡頭切換等手法，也像簽名般應用在《羅馬》中。「過去我在拍片時常常以我景仰的電影大師為參考對象，但是這部片，我決定要擁有它。」艾方索有好幾次擺設好鏡頭後，忽然發現那是某部他鍾愛電影的鏡頭，逼自己改換成另一個角度，工作人員質疑：「你為什麼要換？剛才那個鏡頭美極了，現在這個有夠無聊！」艾方索只回：「我知道，但這是我的鏡頭。」。 ,中國時報,{}
2019,2,26,阿茲卡班的逃犯 現身衛武營,奧斯卡金像獎昨(25)日剛出爐，艾方索．柯朗以《羅馬》榮獲最佳導演，但除了《羅馬》之外，台灣影迷下月還可以在高雄衛武營國家藝術文化中心重溫他所執導的《哈利波特：阿茲卡班的逃犯》，現場將以交響樂團搭配電影，與兩千影迷一起感受柯朗用影像說故事的功力。艾方索．柯朗2003年受邀執導《哈利波特：阿茲卡班的逃犯》，因為已是《哈》系列第三集，在拍攝時，柯朗捨棄交代角色關係，自行讓觀眾腦補；柯朗讓三位主角處於青澀的轉變期，同時兼具童心，也逐漸加強了主角們對於人情世故的情緒感受，很值得回味。場面越激烈 配樂越輕柔在音樂上，奧斯卡得主約翰威廉斯以傳統交響樂優雅、恢弘的旋律特質，搭配圓舞曲、搖籃曲、中古世紀樂曲等元素為系列影片定調，這集也可以說是威廉斯在《哈利波特》系列中最精彩的一張配樂，音樂不但呼應劇情，也強化了視覺看到的印象。比如說哈利波特一生氣就把他姑媽變成大氣球，音樂上面反而用了輕鬆的三拍華爾滋，越是激烈的場面，威廉斯讓音樂放得更輕柔，這樣的反差反而讓畫面更加滑稽有趣，也讓影迷印象深刻；哈利騎著鷹馬飛越大湖時的場景，展現了鷹馬飛翔的英姿，音樂沉靜壯闊，更是威廉斯的強項。首登衛武營 四集一次看《哈利波特：阿茲卡班的逃犯》電影交響音樂會將於3月23日舉行，地點在高雄衛武營國家藝術文化中心，音樂會將從晚上六點半開始演出。交響樂團由長榮交響樂團擔綱，指揮由楊士弘擔任，合唱團則是國立實驗合唱團。值得一提的是，這也是《哈利波特》電影交響系列首登高雄衛武營，高雄樂迷將能一口氣體驗哈利波特系列前四集電影交響音樂會，3月9日首迎《哈利波特：神秘的魔法石》，3月10日欣賞《哈利波特：消失的密室》，3月23日《哈利波特：阿茲卡班的逃犯》之後緊接3月24日的《哈利波特：火盃的考驗》。 ,中國時報,"{'現身': 1, '搭配': 2}"
2019,2,26,（奧斯卡）史派克李自虧有車劫    輸《幸福綠皮書》憤離場,史派克李昨以《黑色黨徒》拿下最佳改編劇本，最佳影片卻輸給了《幸福綠皮書》。多年來一直未受奧斯卡青睞的黑人名導史派克李，雖然曾於第88屆奧斯卡獲頒終身成就獎，昨天終於以自編自導的《黑色黨徒》獲得最佳改編劇本。他上台除了飆髒話，還猛酸美國總統川普、鼓勵平權。當最佳影片頒給了對手《幸福綠皮書》，他還當眾表達不滿，一度憤而離場。當《幸》片監製在台上致詞時，史派克李氣到揮舞雙手準備離場，事後在後台被問到對於該片獲獎的感覺，先笑說「我再喝一口香檳」，接著直接跳過問題。他自我解嘲：「我運氣真的不好，每次某人開車載其他人時我就會輸。」除了直指《幸》片，他執導的《為所應為》1990年也在奧斯卡最佳改編劇本輸給題材類似的《溫馨接送情》，但其實當年他是輸給《春風化雨》，而非《溫馨接送情》。 ,自由時報,{'黑色': 2}
2019,2,26,（奧斯卡）《黑豹》擒3獎   漫威電影宇宙首鍍金,漫威電影宇宙10周年，終於以《黑豹》在奧斯卡揚眉吐氣。漫威電影宇宙10周年終於在奧斯卡揚眉吐氣！電影《黑豹》除了成為首部角逐最佳影片的超級英雄電影，昨更獲得最佳服裝設計、美術設計及原創配樂3獎，成為10年來20部電影中首度「鍍金」的作品。《黑豹》在本屆奧斯卡除了最佳影片，其餘入圍的最佳原創配樂、原創歌曲、服裝設計、美術設計、音效剪輯、混音6獎項幾乎都是技術獎，外界雖對該片入圍看法兩極，但最後入圍7項順利拿下3獎。電影《蜘蛛人：新宇宙》昨勇奪奧斯卡最佳動畫長片，官方推特立刻PO出賀圖。●最佳動畫長片《蜘蛛人》   萌秀小金人●除了真人電影，系出同門，但非漫威電影宇宙的動畫《蜘蛛人：新宇宙》，先前在獎季中已大獲全勝。昨再度擊敗皮克斯、迪士尼等勁敵勇奪最佳動畫長片，得獎後在電影官方推特也釋出蜘蛛人手握小金人的賀圖，堪稱漫威英雄最風光的一屆奧斯卡。 ,自由時報,{'服裝': 2}
2019,2,26,（奧斯卡）華裔發光   《包‧子》、《赤手登峰》喜擒小金人,《包‧子》華裔導演石之予與製片貝琪昨一同領獎，在後台高舉獎座。,自由時報,{}
2019,2,26,（奧斯卡）《羅馬》獲外語片 艾方索爽握3金,艾方索柯朗執導的《羅馬》雖與最佳影片獎失之交臂，仍獲3大獎肯定。艾方索曾以《地心引力》獲奧斯卡最佳導演肯定，《羅馬》以他的童年回憶為藍本、從家庭出發，反映出70年代墨西哥的階級、政治、社會等角度，去年已在威尼斯影展拿到最高榮譽金獅獎。他昨感性將獎獻給祖國墨西哥，拿下最佳外語片獎時激動表示，自己看外語片長大，從這些電影獲得很多啟發；2度獲最佳導演獎肯定時，更向世界各地7000萬名國內勞工、原住民女性致敬：「感謝影藝學院認同這部圍繞在原住民女性身上的電影。」 ,自由時報,{}
