年,月,日,標題,內容,報社,關鍵字
2021,4,27,《奧斯卡頒獎》游牧人生3金大贏家 趙婷亞裔女導演第1人 法蘭西絲麥朵曼3度封后,趙婷昨憑《游牧人生》喜獲最佳影片及導演雙獎，成為亞裔女導演第一人。的混音師麥克沃夫史奈德。除《游牧人生》獲得3大獎肯定，本屆共有6部片獲得2獎項，包括《父親》獲最佳男主角、改編劇本，《猶大與黑色彌賽亞》獲最佳男配角、原創歌曲；《靈魂急轉彎》獲最佳動畫長片、原創配樂；《藍調天后》獲最佳服裝設計、化妝與髮型設計；《曼克》獲最佳攝影、美術設計；以及《靜寂的鼓手》獲最佳音效及剪輯，得獎數目相當平均。,自由時報,"{'黑色': 1, '服裝': 1}"
2021,4,26,【奧斯卡】趙婷今天競搶小金人 大熱門尹汝貞累翻了,導演趙婷（左）被看好憑《游牧人生》一舉拿下最佳影片、導演等大獎。第93屆奧斯卡頒獎典禮今天上午登場，以最多少數族裔獲提名人數、最多女性導演獲得提名，被稱為史上最多元的一屆，以《游牧人生》入圍最佳導演的趙婷，除被看好繼李安之後再為華裔爭光，該片也有望拿下最佳影片。73歲韓星尹汝貞以《夢想之地》入圍奧斯卡最佳女配角，獲外界看好獎座已是囊中物。以電影《夢想之地》入圍本屆最佳女配角的73歲韓星尹汝貞，被外界看好獲獎，南韓OCN電視台24日特別播出《尹Story》特輯，與她合作電影《黃真伊》的宋慧喬透露，入圍當天立刻傳訊息恭喜她，沒想到尹汝貞只回覆：「我已經累翻了。」讓宋慧喬笑說：「這就是老師的風格。」第93屆奧斯卡頒獎典禮星光大道及頒獎典禮，於今天上午6點半起於台視轉播。,自由時報,{}
2021,4,30,ROLEX X OSCAR 一探電影與製表職人精神,聯合車站為第93屆奧斯卡綠坊休息室的會場，勞力士已自2016年負責綠坊休息室的招待工作，今年並於車站側翼的拱形天花板下打造大會專屬私人空間。圖 / 勞力士提供 Oyster Perpetual Datejust 36腕表最大特色，在於將「三角坑紋」運用於36毫米的黃金表面。圖 / 勞力士提供 馬丁史柯西斯喜愛的Oyster Perpetual Day-Date腕表，亦多次出現在其電影之中。圖 / 勞力士提供 Oyster Perpetual Datejust 36腕表最大特色，在於將「三角坑紋」運用於36毫米的黃金表面。圖 / 勞力士提供 2021年奧斯卡頒獎典禮甫於日前落幕，演員出席紅毯典禮時，身上穿戴的高級珠寶、名表總為人熱烈討論。但你可知道：在洛杉磯聯合車站（Los Angeles Union Station）裡有個綠色空間，在此處來賓可盡情放鬆、保持社交距離，但這個空間究竟是誰打造的？綠坊休息室 用影史打造時空光廊早從2016年起，勞力士（ROLEX）便成為「綠坊休息室」的負責品牌，並在2017年與美國電影藝術與科學學院正式合作，也與奧斯卡金像獎於同年正式結盟。聯合車站側翼拱形天花板下的私人空間，成為今年綠坊休息室的所在，牆上掛有聯合車站圖案的布料，以綠葉構成的「綠色牆壁」、同時擺設以勞力士經典腕表與電影中的難忘時刻，例如馬龍白蘭度（Marlon Brando）在「現代啟示錄」中飾演的寇茲上校、或保羅·紐曼（Paul Newman）在「金錢本色」的演出，共築了這一方集結珍貴影史回憶的時空光廊。勞力士和電影的淵源甚深，品牌早從2002年推出「創藝推薦資助計畫」，現任勞力士代言人馬丁史柯西斯（Martin Scorsese）與探險家兼電影導演詹姆斯卡麥隆（James Cameron）都曾在計畫中擔任導師；勞力士甚至成為奧斯卡電影博物館的創始支持者，該空間將在今年九月於洛杉磯開幕。電影×名表 經典無懼時間更迭事實上，勞力士也深信電影工業與高級手表間的聯集：兩者皆是文化與知識的傳承、也是不隨時間更迭的藝術臻品。在最新釋出的影片中，勞力士嘗試叩問「匠心傑作（Masterpiece）」的真義，一分鐘的影片最後以Perpetual為關鍵字，並秀出年度新品：Oyster Perpetual Datejust 36腕表，表款呼應品牌年度三大主題之一：別具一格的表面設計，將經典的「三角坑紋」設計，轉化為黃金表面的設計紋飾，表款使用蠔式鋼與黃金。勞力士早在2018年參加威尼斯國際建築雙年展時，便以青銅、電鍍金屬與玻璃為原料，將三角坑紋放大成勞力士展館的外牆設計，摩登而當代的氣韻，將經典設計壯闊具現。,聯合報,"{'紅毯': 1, '珠寶': 1}"
2021,4,30,磁鐵超跑上太空 萬磁王也佩服,「玩命關頭9」動作場面依舊刺激、過癮。圖╱UIP提供 「玩命關頭9」動作場面依舊刺激、過癮。圖╱UIP提供 台灣即將於5月19日領先全球大多數地區上映的「玩命關頭9」，動作場面比前8集再升級，除了預告片中已經揭露的飛車越過攀牙灣、喬治亞首都提比里斯大街上極速狂飆外，網友早先笑稱這個團隊只差還沒上太空，這一集立刻實現，肯定掀起熱烈話題。打從首集的洛城改裝車大賽開始，「玩命關頭」系列經過20年不斷蛻變，馮迪索扮演的唐老大與眾弟兄們上天下地、無所不能，幾乎要讓「不可能的任務」湯姆克魯斯或是007汗顏。這回唐老大碰上疏遠多年的弟弟雅各，為了避免雅各毀滅世界的陰謀得逞，橫跨歐亞兩大洲對決，尤其高潮決戰，飛車、飛機、火箭齊出，超強磁力裝置更把車子變成大磁鐵，讓被吸引而來的其他車輛宛如砲彈連發，漫威影片中的萬磁王也望塵莫及。因為政治因素，喬治亞拒絕台灣護照入境，大多數寶島觀眾也只能透過「玩命關頭9」欣賞當地風光，成為另一大不可錯過的看點。在第3集「東京甩尾」中已被賜死的韓哥，由於4、5、6集時間設定上是「東京甩尾」前傳，再度現身後愈來愈受到觀眾歡迎，因此本集讓他起死回生，還跟日本女孩發展出類似父女的微妙感情，連「東京甩尾」幾位要角都加入愈來愈壯大的唐老大團隊。除了這些老面孔外，「玩命」系列的「姑嫂雙嬌」喬丹娜布魯斯特、蜜雪兒蘿利格茲再度聯手出擊，兩大奧斯卡影后海倫米蘭與莎莉賽隆也分別展現老謀深算與陰險狡詐的惡女面貌。近期憑手遊廣告在台知名度暴衝的卡蒂B亦來助陣，觀眾保證看得目不暇給。,聯合報,"{'現身': 1, '影后': 1}"
2021,4,28,奧斯卡收視探底 影帝爆冷被罵翻,查德威克鮑斯曼以遺作「藍調天后」角逐奧斯卡影帝意外落馬。 第93屆奧斯卡金像獎頒獎典禮北美收視再往下探底，平均觀眾人數跌破千萬，較去年滑落近6成。大多數評論對如此慘況毫不意外，批評典禮氣氛平淡沉悶、絕少亮點，特別挪到壓軸頒發的影帝大獎居然賽果出乎各方意料，連得主安東尼霍普金斯都沒猜到自己會獲獎而缺席，則是最受到抨擊的爭議點。早先已故的黑人男星查德威克鮑斯曼以遺作「藍調天后」橫掃一堆前哨獎的最佳男主角殊榮，遺孀泰勒西蒙每一回上台代夫致詞都讓一堆影迷落淚，他也被視為獲得奧斯卡影帝呼聲最高的入圍者。大多數歐美評論推測主辦單位一定想賭查德威克再度獲獎，好讓泰勒西蒙的致詞為典禮帶來動人的收尾，不料美國影藝學院會員居然選出「父親」安東尼霍普金斯成為最佳男主角，美意落得自討沒趣，還成各方笑柄，更激怒查德威克的粉絲。「好萊塢報導」嘲諷：「至少大家都知道，奧斯卡計票單位真的沒有事先洩露給主辦單位知道。」安東尼霍普金斯在獲知得獎後補發的感言，特別向查德威克致意，展現前輩風範，查德威克的大哥回應他絕對沒有被辜負，倘若他還在世，會是第一個向安東尼恭喜的人，要是他勝出，相信安東尼也會祝福他。,聯合報,{}
2021,4,28,吳興國暴風雨好兆頭,總導演徐克(左起)、執行導演吳興國、美術設計葉錦添、編舞林秀偉共同打造「暴風雨」。圖╱當代傳奇劇場提供 施宏駿(左起)、楊瑞宇、吳興國、林秀偉、朱柏澄、黃若琳造型、姿態都很搶眼。圖╱當代傳奇劇場提供 總導演徐克(左起)、執行導演吳興國、美術設計葉錦添、編舞林秀偉共同打造「暴風雨」。圖╱當代傳奇劇場提供 跨界戲劇大師吳興國經典劇目「暴風雨」，宣告將於國家戲劇院進行封箱演出，27日包含吳興國、林秀偉夫妻在內，全體團員皆扮裝登台，場面熱鬧精彩。巧的是，原訂這場記者會要以林秀偉的一段舞蹈來祈禱天降甘霖、滋潤缺水的台灣土地，沒想到記者會前就下起滂沱大雨，劇團相信這是「遇水則發」的好預兆。魔幻歌舞劇「暴風雨」是吳興國繼劇作「李爾在此」後第二個封箱作品，該劇改編自莎翁同名鉅作，由吳興國與徐克聯手執導，將京劇、音樂劇、原住民歌舞等不同的表演形式融合，故事以復仇開始，以寬恕作結尾，講述魔法師波布羅製造了一場暴風雨和船難，喚醒仇人的良知，並成全女兒與仇人之子的美好姻緣。除了吳興國與徐克雙導演的黃金組合，合作多次的奧斯卡金獎設計葉錦添，不僅設計服裝，這次為「暴風雨」打造炫目魔幻舞台，值得注目的是，吳興國扮演的魔法師身上的長袍，是葉錦添率領3位裁縫師，日以繼夜的花了3個月縫製而成，吳興國的另一半林秀偉則包辦舞蹈編排，別出心裁的將京劇身段與原住民歌舞結合。提到封箱作，吳興國感性地說，「『暴風雨』是莎士比亞寫的最後一個作品，他退休的時候47歲，我今年已經68歲了。」會有退休的想法，一方面希望在身影最華麗時告別，二方面希望能交棒，「想想2004年跟我一起演出『暴風雨』的那些夥伴們，如今都是非常專業、大師級的演員了，所以是時候規劃我的退休、交給他們傳承，也邀請所有的粉絲們一起進劇場，見證這一切。」,聯合報,"{'造型': 1, '服裝': 1}"
2021,4,27,靈魂急轉彎助攻 皮克斯奪第11座動畫長片獎,靈魂急轉彎」透過詼諧的幻想奇觀，探討生死議題，獲得奧斯卡獎最佳動畫長片肯定。圖╱迪士尼提供 靈魂急轉彎」透過詼諧的幻想奇觀，探討生死議題，獲得奧斯卡獎最佳動畫長片肯定。圖╱迪士尼提供 「靈魂急轉彎」拿下今年奧斯卡獎最佳動畫長片，是皮克斯動畫第11度獲得此獎，該片透過繽紛的靈魂世界視角，探討生死議題，導演彼得達克特上台領獎時，特別感謝皮克斯影業願意讓他自由發揮，「當我說想拍一部動畫來探討生命時，他們一口答應，要我去拍」。彼得達克特是皮克斯影業的招牌名導，過去曾執導「天外奇蹟」、「腦筋急轉彎」都大獲好評，有一天突發奇想，想透過皮克斯動畫，闡述生死議題，原本擔心主旨過於艱澀，會被公司高層否決，沒想到最後他們非常喜歡。「靈魂急轉彎」同時也拿下最佳原創音樂，片中不僅出現大量動聽悅耳的爵士樂，還將主角設定為爵士樂手，彼得更說：「這是一封寫給爵士樂的情書，爵士樂可以給予我們的，永遠比我們想像中還要多。」最後更感性作結：「我們應該要像爵士樂手一樣，無論我們身在何處，無論我們擁有什麼，都能將世間萬物化作美麗的藝術。」奧斯卡影帝傑米福克斯為男主角喬賈德納配音，因為典禮限制進場人數，他並未到場，他在自己的IG發文向所有劇組人員致謝，「無比感謝所有人的祝福，我會一直抱持著謙遜的態度」。「靈魂急轉彎」叫好又叫座，更獲各大動畫獎項肯定，迪士尼目前已在籌備前傳動畫短片「22號大戰地球」，之後會在串流媒體Disney+上架。,聯合報,{}
2021,4,27,影帝爆冷悶到底 白人獎不斷,受到新冠肺炎影響、延後快兩個月舉辦的第九十三屆奧斯卡頒獎典禮，主辦單位堅持舉辦實體活動，熱誠雖動人，卻無法改變平淡沉悶的氣氛，而影帝大獎的意外結果，更令多數人期待的感人高潮無法出現，留下一個各方錯愕的收場。從本屆入圍名單公布開始，外界以為「奧斯卡太白」已成過去，美國整體社會氣氛也讓非裔和亞裔更受矚目，一度被推測將出現非白人稱霸演技獎的新歷史時刻。典禮製作人之一、「全境擴散」名導史蒂芬索德柏，強調「這不只是一場典禮，是一部電影，是完美的視覺饗宴」，流程一反常態，導演與影片早在帝后揭曉前頒發，大家料定是要將查德威克鮑斯曼死後榮登影帝的動人場面做為壓軸高潮，結果上屆影帝瓦昆菲尼克斯宣布人不在現場的安東尼霍普金斯得獎，頓時草草結束；歐美評論反諷，這是連主辦單位都沒猜中的反高潮。安東尼霍普金斯與法蘭西絲麥朵曼早都得過帝后的再獲獎，可說是表現爐火純青，卻也巧妙讓今年四大演技獎白人占一半，非裔、亞裔各一，繼續白人稱雄局面。另一個很難扭轉的情況，是在疫情衝擊下，影音串流平台取代傳統戲院，成為不少新片的推出管道，奧斯卡仍無法真心擁抱這些平台推派的強片，小獎可以給，最佳影片和帝后大獎就很難。今年看似Netflix總獎數領先其他片商，卻大都是技術獎，主打力作「藍調天后」影帝影后大熱倒灶，「芝加哥七人案：驚世審判」更成唯一空手的最佳影片入圍者。,聯合報,{'影后': 1}
2021,4,27,最佳男主角 父親每一條皺紋 戲味百轉,安東尼霍普金斯以「父親」奪下影帝，在IG感謝。圖╱摘自IG 安東尼霍普金斯以「父親」奪下影帝，在IG感謝。圖╱摘自IG 八十三歲安東尼霍普金斯以新片「父親」，成為影史最高齡的奧斯卡影帝，這是繼「沉默的羔羊」後，時隔二十九年再度獲得肯定，他日前返回故鄉英國度假，受疫情影響不克到場，仍在IG分享得獎心情，並向一起入圍的已故影星「黑豹」查德維克鮑斯曼致意。安東尼未能到場，頒獎人瓦昆菲尼克斯致詞後，僅能用「影藝學院恭喜他，並會代領該獎項」。安東尼事後拍影片向影藝學院致謝，「我正在老家威爾斯，很可惜無法到場，我都八十三歲了，沒想到還可以獲獎」。安東尼讚賞查德維克在「藍調天后」的表現非常傑出，可惜英年早逝，他感謝導演讓他能演出這部傑出的電影，也很高興家人一路陪伴。安東尼從影近七十年，是歐美影壇公認的瑰寶，他在十五歲巧遇大明星李察波頓，鼓起勇氣向對方要簽名，因而決定投身演藝圈，一九九一年以「沉默的羔羊」才打進好萊塢，也助他勇奪奧斯卡影帝，他也曾演出「長日將盡」、「此情可問天」等經典電影。安東尼這回在「父親」詮釋失智症老人，透過爐火純青的演技，精湛賦予角色鮮活又立體的生命，展現時而俏皮、焦慮、困惑以及憤怒的複雜表演，任何一條皺紋、眼神都充滿戲味，成功帶領觀眾親身體驗患上失智症後的世界。,聯合報,{}
2021,4,27,最佳女主角 游牧刻骨解心鎖 神級演技,法蘭西絲麥朵曼第三度榮登奧斯卡影后。 法蘭西絲麥朵曼第三度榮登奧斯卡影后。 第九十三屆奧斯卡金像獎「最佳女主角」五位入圍者各擁一座風向標，最後由「游牧人生」法蘭西絲麥朵曼拿下，打敗「藍調天后」薇拉戴維絲、「哈樂黛的愛與死」安德拉黛、「女人碎片」凡妮莎寇比和「花漾女子」凱莉墨里根，讓她第三次奪下影后。法蘭西絲麥朵曼過去曾以「冰血暴」、「意外」拿下奧斯卡影后，這次再憑「游牧人生」奪下第三座奧斯卡，是繼美國知名已故演員凱薩琳赫本的四座影史紀錄之後，拿下第二多奧斯卡影后的得主。她上台領獎時，引述「游牧人生」台詞說「我沒有話要說，我的聲音在我的劍裡，我們知道所謂的劍就是我們的工作，而我熱愛工作。」語畢便帥氣下台，她以製片身分領最佳影片時，呼籲大家「進戲院」觀賞今年參與競爭的電影，獲得全場掌聲。法蘭西絲麥朵曼飾演喪失人生所有，四處旅行打臨工，並以露營車為居，這樣的生活讓她人生有了全新啟發，結識了不少朋友，也徹底讓她拋開世俗的枷鎖，並重新體會人生及自由的意義。堪稱在「游牧人生」中盡現人生歷練、交出從影以來最動人表演的法蘭西絲麥朵曼，這次身兼製片的她更在開拍數月前，就先實際開著改裝貨車、親自成為游牧族到處打工為角色作準備，再度展現令人讚嘆的演技範本，深刻細膩詮釋無法放下過去並失去人生重心的埋藏心境，締造生涯另一代表作。,聯合報,{'影后': 5}
